<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHH.US,D,20241227,000000,4.1,4.46,3.7,4.07,1762000,0
PHH.US,D,20241230,000000,4.2,5.2,3.92,4.85,417559,0
PHH.US,D,20241231,000000,4.91,6.9,4.8482,6.29,423605,0
PHH.US,D,20250102,000000,5.88,6.02,4.3,4.6,212451,0
PHH.US,D,20250103,000000,4.64,4.64,4.2,4.4,170625,0
PHH.US,D,20250106,000000,4.42,5.34,4.42,4.71,74324,0
PHH.US,D,20250107,000000,4.97,5.2,4.69,4.99,26128,0
PHH.US,D,20250108,000000,4.99,5.1969,4.6,4.63,38628,0
PHH.US,D,20250110,000000,4.54,5.195,4.54,4.83,85575,0
PHH.US,D,20250113,000000,4.93,5.75,4.74,5.75,206983,0
PHH.US,D,20250114,000000,5.75,6.01,5.5,5.78,83942,0
PHH.US,D,20250115,000000,5.72,5.84,5.36,5.8,154012,0
PHH.US,D,20250116,000000,5.96,6.0712,5.61,5.85,108738,0
PHH.US,D,20250117,000000,5.95,6.05,5.65,5.71,38178,0
PHH.US,D,20250121,000000,5.8,6,5.75,5.89,17122,0
PHH.US,D,20250122,000000,5.74,5.93,5.01,5.25,61263,0
PHH.US,D,20250123,000000,5.49,5.77,5.38,5.7,14673,0
PHH.US,D,20250124,000000,5.98,5.98,5.23,5.49,224416,0
PHH.US,D,20250127,000000,5.51,5.74,5.1,5.35,114531,0
PHH.US,D,20250128,000000,5.3,5.6,5.3,5.34,47904,0
PHH.US,D,20250129,000000,5.4545,5.6999,5.25,5.69,21178,0
PHH.US,D,20250130,000000,5.75,6.65,5.75,6.11,121059,0
PHH.US,D,20250131,000000,5.65,6.3132,5.41,6,114965,0
PHH.US,D,20250203,000000,5.82,6.32,5.795,6.19,16222,0
PHH.US,D,20250204,000000,6.19,6.33,5.85,6.18,18982,0
PHH.US,D,20250205,000000,5.95,6.15,5.0301,5.28,51689,0
PHH.US,D,20250206,000000,5.4243,5.74,5.4,5.48,10179,0
PHH.US,D,20250207,000000,5.32,5.75,5.32,5.6,7493,0
PHH.US,D,20250210,000000,5.6,5.6,5.21,5.28,14449,0
PHH.US,D,20250211,000000,5.2,5.36,4.55,5.26,21666,0
PHH.US,D,20250212,000000,5.27,5.27,5.01,5.12,6580,0
PHH.US,D,20250213,000000,5.15,5.5583,5.132,5.55,8473,0
