<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIKM.US,D,20211111,000000,49.95,52.447,40.45,42.5,363100,0
PIKM.US,D,20211112,000000,39.6,40.15,37.25,37.95,77260.2,0
PIKM.US,D,20211115,000000,37.4,39.95,37.4,38.65,35314,0
PIKM.US,D,20211116,000000,38.05,41.25,37.7785,39.15,32191,0
PIKM.US,D,20211117,000000,38.6,39.287,38.55,38.65,11357.2,0
PIKM.US,D,20211118,000000,39,39,36.45,36.85,10602.2,0
PIKM.US,D,20211119,000000,36.5005,38.5,36.5005,36.85,20519.8,0
PIKM.US,D,20211122,000000,36.85,37.875,28.9,28.9,28655.2,0
PIKM.US,D,20211123,000000,28.65,31.25,28,28.65,5346.4,0
PIKM.US,D,20211124,000000,29.265,31.7,28.45,31.6,13085.2,0
PIKM.US,D,20211126,000000,30.65,31.65,30.2,31.65,881.8,0
PIKM.US,D,20211129,000000,31.5,32.9,31.5,32.45,1831.2,0
PIKM.US,D,20211130,000000,31.85,33.2,30,30.05,1366.6,0
PIKM.US,D,20211201,000000,30,34.45,27.55,28.7,8336.4,0
PIKM.US,D,20211202,000000,28.05,32.25,26.242,32.25,19268.6,0
PIKM.US,D,20211203,000000,32,33.7495,28.0205,31.4,955.2,0
PIKM.US,D,20211206,000000,32,34.45,31.25,34.35,1490.8,0
PIKM.US,D,20211208,000000,34.35,37.9,28.25,35.3,66830,0
PIKM.US,D,20211209,000000,34.4,40.7,33.7125,34.25,55480.4,0
PIKM.US,D,20211210,000000,34.3,40.0495,32.6,37.85,223224.2,0
PIKM.US,D,20211213,000000,36.9,42.1,36.9,39.5,106016.6,0
PIKM.US,D,20211214,000000,39,40.9,38.7,39.95,30692.4,0
PIKM.US,D,20211215,000000,39.6,40,37.35,38,34912.4,0
PIKM.US,D,20211216,000000,37.75,38.95,35,35.95,28747.2,0
PIKM.US,D,20211217,000000,35.4,36.7,33.6,33.75,22168.6,0
PIKM.US,D,20211220,000000,34.05,38.4995,33.75,36.8,18043.8,0
PIKM.US,D,20211221,000000,36.55,38.5,35.05,36.0685,23516.2,0
PIKM.US,D,20211222,000000,34.2,37.75,31.5,35.05,31418,0
PIKM.US,D,20211223,000000,34.3,35.5,33.45,34.85,26151,0
PIKM.US,D,20211227,000000,34.45,35.7495,30.75,34.2,49912,0
PIKM.US,D,20211228,000000,34.2,39.2,32.75,33.45,100491,0
PIKM.US,D,20211229,000000,33,33,31.1,31.45,24118,0
PIKM.US,D,20211230,000000,31.65,32,30.8,30.8,5780.6,0
PIKM.US,D,20211231,000000,30.5,32.1,29.4,31.35,7206.2,0
PIKM.US,D,20220103,000000,31,33.65,30.6,32.45,24102.6,0
PIKM.US,D,20220104,000000,32.629,34.35,31.8,34.3,40242,0
PIKM.US,D,20220105,000000,34.8,35,32.2,32.2,17282.6,0
PIKM.US,D,20220106,000000,32.65,34,31,33.15,19795.2,0
PIKM.US,D,20220107,000000,32.5,35.7995,31.55,32.746,28604.8,0
PIKM.US,D,20220110,000000,32.25,33.45,23.3,23.75,103200,0
PIKM.US,D,20220111,000000,22.7,36.5995,21.5,30.25,4196559.4,0
PIKM.US,D,20220112,000000,35.845,39.1995,32.4,36.5,6101509.4,0
PIKM.US,D,20220113,000000,34.6,36,30.3,30.8,544429.4,0
PIKM.US,D,20220114,000000,30.15,32.75,28.4505,30.3,302444.2,0
PIKM.US,D,20220118,000000,28.9,34.55,28.15,33.45,655768.4,0
PIKM.US,D,20220119,000000,32.5,38.35,31.369,35.95,814043,0
PIKM.US,D,20220120,000000,35,38.25,32.8,35.6,403696.4,0
PIKM.US,D,20220121,000000,35.6,38.65,33.6235,37.8,222503.2,0
PIKM.US,D,20220124,000000,36.25,41.5,33.55,35.5,316763,0
PIKM.US,D,20220125,000000,34.15,34.15,28.8,31.55,301035.4,0
PIKM.US,D,20220126,000000,32.75,35.25,28.85,29.25,114609.4,0
PIKM.US,D,20220127,000000,28.85,33.65,27.2,29,183243.6,0
PIKM.US,D,20220128,000000,28.75,29,24.5,25.35,119685.2,0
PIKM.US,D,20220131,000000,24.65,28.25,23.25,28.25,101355.2,0
PIKM.US,D,20220201,000000,27.85,28.85,27.5,28.3,45283.8,0
PIKM.US,D,20220202,000000,28.25,28.3,25.4,25.5,22425,0
PIKM.US,D,20220203,000000,25.25,25.2995,23.25,23.25,16933.2,0
PIKM.US,D,20220204,000000,22.95,23.5,20.7,21.2,46306.4,0
PIKM.US,D,20220207,000000,21.15,23.15,21.15,22.35,108941.2,0
PIKM.US,D,20220208,000000,21.7,27.5,21.7,23.75,300085.8,0
PIKM.US,D,20220209,000000,23,23.85,22.15,23.4,90810.6,0
PIKM.US,D,20220210,000000,22.6,23.45,21.81,22.45,62213,0
PIKM.US,D,20220211,000000,22.3,23.2,21.15,21.6,62668.4,0
PIKM.US,D,20220214,000000,21.5,21.9,20.5505,20.8,20671.4,0
PIKM.US,D,20220215,000000,20.75,21.5,19.5,20,35435.2,0
PIKM.US,D,20220216,000000,20.1,21.5,19.35,20.3,82728,0
PIKM.US,D,20220217,000000,19.75,20.7,18.25,19.65,88681.8,0
PIKM.US,D,20220218,000000,19.4,20.2495,18.6,19.3,64418.8,0
PIKM.US,D,20220222,000000,18.95,18.95,15,15,55909.2,0
PIKM.US,D,20220223,000000,15,15.55,13.3,13.5,35238.8,0
PIKM.US,D,20220224,000000,12.05,13.05,11.3,12.8,55831.8,0
PIKM.US,D,20220225,000000,12.3,13.25,12.2,12.25,34681.6,0
PIKM.US,D,20220228,000000,12.3,12.9495,9.45,10.35,129190,0
PIKM.US,D,20220301,000000,10.05,10.45,9.5495,9.55,32575.4,0
PIKM.US,D,20220302,000000,9.55,9.65,8.9,9.4,41687.6,0
PIKM.US,D,20220303,000000,9.85,9.85,9,9,23330.6,0
PIKM.US,D,20220304,000000,8.65,8.9,8.4,8.5,23781,0
PIKM.US,D,20220307,000000,8.25,8.4485,7.7,8.05,29760.4,0
PIKM.US,D,20220308,000000,8.0635,8.85,7.6,8.5,34430.2,0
PIKM.US,D,20220309,000000,8.7,9.5645,8.55,9.35,80620.4,0
PIKM.US,D,20220310,000000,9.25,9.35,8.65,8.75,42781.6,0
PIKM.US,D,20220311,000000,8.9,9.1,8.25,8.3,12685.2,0
PIKM.US,D,20220314,000000,8.7,8.7,7.7395,7.9,21970.4,0
PIKM.US,D,20220315,000000,7.85,8.4,7.55,7.75,20081.2,0
PIKM.US,D,20220316,000000,7.8,9.9,7.8,9.2,91633.2,0
PIKM.US,D,20220317,000000,17,30.95,15.35,23.75,24878902,0
PIKM.US,D,20220318,000000,28.4,37.7,27.85,28.75,22026196.6,0
PIKM.US,D,20220321,000000,34.25,36,26.3,28.95,5317013.2,0
PIKM.US,D,20220322,000000,26.3,27,23,25.85,919084.2,0
PIKM.US,D,20220323,000000,23.9,26.65,23.75,24.35,533824,0
PIKM.US,D,20220324,000000,24.8,24.8,21.3,21.3,278363.6,0
PIKM.US,D,20220325,000000,21.4,31,20.05,26.1,7882678.6,0
PIKM.US,D,20220328,000000,24.85,26.25,22.05,22.55,400726,0
PIKM.US,D,20220329,000000,22.6,29.5,22.55,25.65,1456120.6,0
PIKM.US,D,20220330,000000,24.5,26.8355,23.5,25.45,342325.2,0
PIKM.US,D,20220331,000000,25.95,28.45,23.3,24.1,291998.6,0
PIKM.US,D,20220401,000000,22.25,23.25,20.15,20.35,225390.8,0
PIKM.US,D,20220404,000000,20.8,21.75,20.1,20.3,103799.6,0
PIKM.US,D,20220405,000000,20,20.7945,18.8,20.05,89312.2,0
PIKM.US,D,20220406,000000,18.85,22.3,18.85,19.3,233690.2,0
PIKM.US,D,20220407,000000,19.05,20.3,18.1,18.55,48351.8,0
PIKM.US,D,20220408,000000,18.35,18.85,16.35,17.05,56072.2,0
PIKM.US,D,20220411,000000,16.45,16.8995,14.5505,15.55,41001.2,0
PIKM.US,D,20220412,000000,15.65,16.7,13.35,13.6,135335.4,0
PIKM.US,D,20220413,000000,13.7,14.75,13.2,13.55,44020.8,0
PIKM.US,D,20220414,000000,13.4,14.75,12.758,13.9,152408.2,0
PIKM.US,D,20220418,000000,14,14,12.35,12.5,49255,0
PIKM.US,D,20220419,000000,13,13.45,12.3035,12.95,47523.8,0
PIKM.US,D,20220420,000000,12.55,12.85,11.65,11.85,34963.4,0
PIKM.US,D,20220421,000000,11.85,11.925,10.8,11.05,25827.2,0
PIKM.US,D,20220422,000000,10.85,12.3495,10.1,10.55,95087.2,0
PIKM.US,D,20220425,000000,10.15,11.4,10.15,11.1,23721,0
PIKM.US,D,20220426,000000,11,11.125,10.1,10.3,20640.4,0
PIKM.US,D,20220427,000000,10.35,10.9,9.9,10.05,38902.8,0
PIKM.US,D,20220428,000000,9.85,10.35,9.25,10.3,18858,0
