<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLMJF.US,D,20210924,000000,9.88,9.88,9.705,9.8,1350,0
PLMJF.US,D,20210927,000000,9.65,9.67,9.55,9.6201,404091,0
PLMJF.US,D,20210928,000000,9.64,9.69,9.61,9.64,41094,0
PLMJF.US,D,20210929,000000,9.66,9.68,9.6598,9.68,3110,0
PLMJF.US,D,20211004,000000,9.69,9.72,9.69,9.72,1478,0
PLMJF.US,D,20211006,000000,9.67,9.685,9.67,9.685,2101,0
PLMJF.US,D,20211007,000000,9.7,9.73,9.7,9.72,2101,0
PLMJF.US,D,20211012,000000,9.74,9.75,9.74,9.74,2630,0
PLMJF.US,D,20211026,000000,9.69,9.71,9.69,9.71,28285,0
PLMJF.US,D,20211027,000000,9.67,9.69,9.67,9.68,71548,0
PLMJF.US,D,20211028,000000,9.68,9.7,9.67,9.69,272527,0
PLMJF.US,D,20211029,000000,9.67,9.7,9.65,9.69,410203,0
PLMJF.US,D,20211101,000000,9.67,9.7,9.67,9.7,3100,0
PLMJF.US,D,20211102,000000,9.68,9.685,9.65,9.65,51598,0
PLMJF.US,D,20211103,000000,9.66,9.685,9.66,9.67,13914,0
PLMJF.US,D,20211104,000000,9.67,9.67,9.67,9.67,1235,0
PLMJF.US,D,20211108,000000,9.68,9.69,9.68,9.69,15022,0
PLMJF.US,D,20211109,000000,9.7,9.715,9.7,9.7,142349,0
PLMJF.US,D,20211110,000000,9.68,9.72,9.68,9.695,1706,0
PLMJF.US,D,20211112,000000,9.74,9.74,9.74,9.74,101,0
PLMJF.US,D,20211115,000000,9.73,9.8,9.67,9.72,93582,0
PLMJF.US,D,20211116,000000,9.68,9.71,9.68,9.7,11719,0
PLMJF.US,D,20211117,000000,9.69,9.7,9.68,9.7,28526,0
PLMJF.US,D,20211118,000000,9.71,9.71,9.7,9.7,5889,0
PLMJF.US,D,20211119,000000,9.67,9.7,9.67,9.7,2711,0
PLMJF.US,D,20211122,000000,9.69,9.7,9.6799,9.7,514534,0
PLMJF.US,D,20211123,000000,9.7,9.71,9.7,9.71,18835,0
PLMJF.US,D,20211126,000000,9.7,9.7,9.7,9.7,909,0
PLMJF.US,D,20211129,000000,9.71,9.73,9.69,9.69,3360,0
PLMJF.US,D,20211130,000000,9.72,9.74,9.72,9.74,700,0
PLMJF.US,D,20211202,000000,9.71,9.72,9.68,9.72,4501,0
PLMJF.US,D,20211203,000000,9.6921,9.7,9.68,9.68,500,0
PLMJF.US,D,20211206,000000,9.68,9.7,9.68,9.7,3329,0
PLMJF.US,D,20211207,000000,9.7,9.7,9.7,9.7,460,0
PLMJF.US,D,20211208,000000,9.6801,9.71,9.6801,9.7089,101945,0
PLMJF.US,D,20211209,000000,9.7,9.72,9.7,9.72,6485,0
PLMJF.US,D,20211210,000000,9.7,9.72,9.7,9.7,1219,0
PLMJF.US,D,20211213,000000,9.7,9.705,9.7,9.7,2200,0
PLMJF.US,D,20211214,000000,9.71,9.72,9.67,9.7,32072,0
PLMJF.US,D,20211215,000000,9.7,9.71,9.7,9.7,9518,0
