<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLMWF.US,D,20210928,000000,0.53,0.5501,0.5002,0.5501,90901,0
PLMWF.US,D,20210929,000000,1.81,1.85,0.6,0.62,4558,0
PLMWF.US,D,20210930,000000,0.5501,0.5501,0.55,0.55,321,0
PLMWF.US,D,20211004,000000,0.65,0.65,0.6,0.62,853,0
PLMWF.US,D,20211005,000000,0.65,0.7199,0.500201,0.5945,13048,0
PLMWF.US,D,20211006,000000,0.55,0.6,0.55,0.6,1028,0
PLMWF.US,D,20211014,000000,0.599999,0.6201,0.59,0.6,38226,0
PLMWF.US,D,20211015,000000,0.6,0.6,0.6,0.6,700,0
PLMWF.US,D,20211020,000000,0.61,0.62,0.5797,0.61,48000,0
PLMWF.US,D,20211025,000000,0.719003,0.719003,0.719003,0.719003,100,0
PLMWF.US,D,20211026,000000,0.72,0.95,0.72,0.75,11202,0
PLMWF.US,D,20211027,000000,0.88,0.88,0.7301,0.7301,3809,0
PLMWF.US,D,20211028,000000,0.78,0.78,0.7302,0.75,29500,0
PLMWF.US,D,20211029,000000,0.74,0.75,0.66,0.74,19793,0
PLMWF.US,D,20211101,000000,0.7001,0.75,0.7001,0.74,1969,0
PLMWF.US,D,20211102,000000,0.7401,0.76,0.7044,0.74,14387,0
PLMWF.US,D,20211103,000000,0.7012,0.7179,0.6612,0.7179,21400,0
PLMWF.US,D,20211104,000000,0.708799,0.708799,0.681,0.681,5022,0
PLMWF.US,D,20211105,000000,0.72,0.727,0.67,0.7,16700,0
PLMWF.US,D,20211108,000000,0.6979,0.6979,0.66,0.697539,44875,0
PLMWF.US,D,20211109,000000,0.7,0.707,0.7,0.707,3294,0
PLMWF.US,D,20211110,000000,0.76,0.76,0.72,0.7202,2425,0
PLMWF.US,D,20211111,000000,0.74,0.74,0.74,0.74,186,0
PLMWF.US,D,20211112,000000,0.76,0.76,0.7,0.71,47073,0
PLMWF.US,D,20211115,000000,0.7501,0.77,0.65,0.7,79300,0
PLMWF.US,D,20211116,000000,0.7,0.7,0.6999,0.7,8100,0
PLMWF.US,D,20211117,000000,0.717,0.717,0.7,0.7,4300,0
PLMWF.US,D,20211118,000000,0.7,0.7599,0.7,0.7201,5300,0
PLMWF.US,D,20211119,000000,0.69,0.69,0.683703,0.69,3998,0
PLMWF.US,D,20211122,000000,0.7,0.7001,0.66,0.7,37573,0
PLMWF.US,D,20211123,000000,0.69,0.7,0.675,0.69,2696,0
PLMWF.US,D,20211124,000000,0.666,0.7499,0.66,0.69,56586,0
PLMWF.US,D,20211129,000000,0.67,0.6999,0.65,0.6503,20209,0
PLMWF.US,D,20211130,000000,0.6403,0.642,0.634,0.634,36892,0
PLMWF.US,D,20211201,000000,0.64,0.6998,0.64,0.6895,106996,0
PLMWF.US,D,20211202,000000,0.6402,0.7099,0.6401,0.7099,1276,0
PLMWF.US,D,20211203,000000,0.705,0.705,0.705,0.705,102,0
PLMWF.US,D,20211206,000000,0.7,0.7,0.7,0.7,100,0
PLMWF.US,D,20211210,000000,0.68,0.68,0.6501,0.6501,2700,0
PLMWF.US,D,20211214,000000,0.6401,0.6401,0.6401,0.6401,800,0
