<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PMDI.US,D,20050225,000000,7.71539,7.76172,7.6498,7.70471,12293.064415319,0
PMDI.US,D,20050228,000000,7.76729,7.76729,7.39428,7.76729,81300.727880889,0
PMDI.US,D,20050301,000000,7.76729,7.77865,7.67541,7.76172,25569.912490071,0
PMDI.US,D,20050302,000000,7.76729,7.78528,7.6498,7.6498,5079.7087447177,0
PMDI.US,D,20050303,000000,7.59516,7.59516,7.49174,7.58277,33933.131427126,0
PMDI.US,D,20050304,000000,7.58277,7.58277,7.58277,7.58277,159.73261567104,0
PMDI.US,D,20050307,000000,7.54788,8.07358,7.54788,7.87489,99332.530309555,0
PMDI.US,D,20050308,000000,8.01761,8.01761,7.63836,7.63836,32945.116440127,0
PMDI.US,D,20050309,000000,7.66238,7.68099,7.46197,7.53428,27210.609754346,0
PMDI.US,D,20050310,000000,7.46197,7.48616,7.39428,7.48616,24750.092773878,0
PMDI.US,D,20050311,000000,7.49788,7.55904,7.49788,7.54788,15900.271166567,0
PMDI.US,D,20050314,000000,7.59516,7.62143,7.51594,7.51594,23272.301620947,0
PMDI.US,D,20050315,000000,7.47907,7.47907,7.42452,7.46197,6225.3406836035,0
PMDI.US,D,20050316,000000,7.47907,7.5406,7.47907,7.53428,9998.6270418725,0
PMDI.US,D,20050317,000000,7.53428,7.53428,7.34643,7.45478,12784.956245036,0
PMDI.US,D,20050318,000000,7.50979,7.52303,7.45478,7.51594,9020.132541901,0
PMDI.US,D,20050321,000000,7.56425,7.70471,7.56425,7.70471,4754.9543539164,0
PMDI.US,D,20050322,000000,7.76729,7.76729,7.69838,7.70471,44255.455027908,0
PMDI.US,D,20050323,000000,7.71539,7.71539,7.62143,7.6498,2295.495205339,0
PMDI.US,D,20050324,000000,7.66238,7.66238,7.60867,7.60867,1146.6897707776,0
PMDI.US,D,20050328,000000,7.58277,7.6498,7.5406,7.62143,14098.783454728,0
PMDI.US,D,20050329,000000,7.54788,7.70471,7.54788,7.68099,45736.419676513,0
PMDI.US,D,20050330,000000,7.62143,7.64299,7.6015,7.63836,14263.805229857,0
PMDI.US,D,20050331,000000,7.56425,7.61435,7.44297,7.52861,6886.4856160168,0
PMDI.US,D,20050401,000000,7.46821,7.58277,7.39428,7.55904,10819.504589957,0
PMDI.US,D,20050404,000000,7.6256,7.6256,7.47907,7.47907,37207.121132435,0
PMDI.US,D,20050405,000000,7.53428,7.5406,7.51594,7.51594,3437.9536485491,0
PMDI.US,D,20050406,000000,7.47907,7.50979,7.47907,7.50979,1474.6176572547,0
PMDI.US,D,20050407,000000,7.49174,7.49174,7.49174,7.49174,159.73261567104,0
PMDI.US,D,20050408,000000,7.49174,7.50347,7.49174,7.49174,3606.148919355,0
PMDI.US,D,20050411,000000,7.46821,7.49788,7.39428,7.45478,2295.495205339,0
PMDI.US,D,20050412,000000,7.46197,7.46821,7.46197,7.46821,3437.9536485491,0
PMDI.US,D,20050413,000000,7.44825,7.44825,7.36866,7.36866,6555.3842338641,0
PMDI.US,D,20050414,000000,7.30816,7.34643,7.30816,7.34643,3772.2285263772,0
PMDI.US,D,20050418,000000,7.28972,7.28972,7.17449,7.22913,4754.9543539164,0
PMDI.US,D,20050419,000000,7.16834,7.21174,7.14963,7.14963,4260.9468604171,0
PMDI.US,D,20050420,000000,7.0948,7.0948,7.0948,7.0948,819.81971619247,0
PMDI.US,D,20050421,000000,6.99733,7.0585,6.94259,6.94259,11143.201148866,0
PMDI.US,D,20050422,000000,6.97313,6.97313,6.97313,6.97313,10325.497096457,0
PMDI.US,D,20050425,000000,7.02825,7.0585,6.97313,7.01577,15411.552832527,0
PMDI.US,D,20050426,000000,6.99733,7.01577,6.94259,6.94259,20320.950642656,0
PMDI.US,D,20050427,000000,6.89995,7.45478,6.89995,7.36866,60323.92146528,0
PMDI.US,D,20050428,000000,7.40041,7.59516,7.39428,7.56425,8196.0814981411,0
PMDI.US,D,20050429,000000,7.62143,7.79102,7.51594,7.79102,70154.353236346,0
PMDI.US,D,20050502,000000,7.85684,8.38649,7.85684,8.30652,104415.41254995,0
PMDI.US,D,20050503,000000,8.44303,8.44303,8.179,8.179,69173.743072591,0
PMDI.US,D,20050504,000000,8.21245,8.29092,8.20556,8.20556,4098.0407490705,0
PMDI.US,D,20050505,000000,8.20556,8.51099,8.19194,8.48537,38187.73129619,0
PMDI.US,D,20050506,000000,8.49947,8.66782,8.49947,8.63984,73433.632101117,0
PMDI.US,D,20050509,000000,8.70762,8.8395,8.65695,8.65695,55241.039224887,0
PMDI.US,D,20050510,000000,8.64522,8.72378,8.58378,8.66782,5243.6726879562,0
PMDI.US,D,20050511,000000,8.73644,8.75111,8.62084,8.65242,14263.805229857,0
PMDI.US,D,20050512,000000,8.66327,8.66782,8.56053,8.63341,6555.3842338641,0
PMDI.US,D,20050513,000000,8.63341,8.63341,8.53312,8.58378,11313.512083455,0
PMDI.US,D,20050516,000000,8.56053,8.56053,8.30652,8.37081,21802.973123153,0
PMDI.US,D,20050517,000000,8.34574,8.34574,8.24166,8.32051,184896.32071465,0
PMDI.US,D,20050518,000000,8.31437,8.35955,8.179,8.179,17208.809216799,0
PMDI.US,D,20050519,000000,8.16359,8.22446,8.13306,8.22446,12784.956245036,0
PMDI.US,D,20050520,000000,8.16359,8.21833,8.02274,8.21245,10819.504589957,0
PMDI.US,D,20050523,000000,8.21245,8.21245,8.10062,8.15091,7210.1821749264,0
PMDI.US,D,20050524,000000,8.10062,8.24857,8.07784,8.13306,134079.13446152,0
PMDI.US,D,20050525,000000,8.15091,8.15668,8.15091,8.15668,87368.451612605,0
PMDI.US,D,20050526,000000,8.21245,8.24166,8.179,8.23477,4754.9543539164,0
PMDI.US,D,20050527,000000,8.24166,8.35955,8.19865,8.30123,9507.793044049,0
PMDI.US,D,20050531,000000,8.33525,8.33525,8.21833,8.21833,22785.698950692,0
