<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PPYA.US,D,20241219,000000,11.18,11.34,11.18,11.34,4061,0
PPYA.US,D,20241220,000000,11.34,11.34,11.34,11.34,185,0
PPYA.US,D,20241224,000000,11.33,11.33,11.33,11.33,470,0
PPYA.US,D,20241227,000000,11.2,11.2,11.2,11.2,204,0
PPYA.US,D,20241230,000000,11.27,11.28,11.26,11.27,1279,0
PPYA.US,D,20241231,000000,11.25,11.25,11.25,11.25,180,0
PPYA.US,D,20250107,000000,11.25,11.25,11.25,11.25,995,0
PPYA.US,D,20250110,000000,11.84,12.37,11.3,11.3,5614,0
PPYA.US,D,20250113,000000,11.21,11.6,11.21,11.6,514,0
PPYA.US,D,20250114,000000,11.89,12.47,11.41,11.41,12919,0
PPYA.US,D,20250115,000000,11.51,11.51,11.51,11.51,21662,0
PPYA.US,D,20250116,000000,11.55,11.75,11.3,11.3,21677,0
PPYA.US,D,20250117,000000,11.62,13.26,11.62,12,18022,0
PPYA.US,D,20250121,000000,12.65,13.44,11.4,11.4,12677,0
PPYA.US,D,20250122,000000,11.4,11.4,11.35,11.4,3632,0
