<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PQJA.US,D,20250103,000000,25.14,25.1859,25.14,25.1859,100,0
PQJA.US,D,20250106,000000,25.43,25.43,25.3047,25.3047,225,0
PQJA.US,D,20250107,000000,25.2,25.2,25.15,25.1644,7570,0
PQJA.US,D,20250108,000000,25.1,25.1094,25.06,25.1094,1000,0
PQJA.US,D,20250110,000000,25.08,25.08,24.8889,24.8889,200,0
PQJA.US,D,20250113,000000,24.9292,24.9292,24.9221,24.9221,500,0
PQJA.US,D,20250114,000000,24.99,24.99,24.8753,24.8876,509,0
PQJA.US,D,20250115,000000,25.2,25.2,25.1986,25.1986,550,0
PQJA.US,D,20250116,000000,25.2,25.2296,25.1086,25.1086,417,0
PQJA.US,D,20250117,000000,25.34,25.36,25.31,25.3491,623,0
PQJA.US,D,20250121,000000,25.33,25.45,25.33,25.4298,714,0
PQJA.US,D,20250123,000000,25.49,25.6,25.49,25.5983,694,0
PQJA.US,D,20250124,000000,25.6302,25.65,25.53,25.5524,3622,0
PQJA.US,D,20250127,000000,25.2,25.2,25.08,25.1466,2453,0
PQJA.US,D,20250128,000000,25.2916,25.4227,25.2916,25.3737,1193,0
PQJA.US,D,20250129,000000,25.06,25.42,24.98,25.3575,37246,0
PQJA.US,D,20250130,000000,25.38,25.4308,25.32,25.4308,8516,0
PQJA.US,D,20250131,000000,25.63,25.63,25.389,25.389,5690,0
PQJA.US,D,20250203,000000,25.32,25.32,25.27,25.2993,7395,0
PQJA.US,D,20250204,000000,25.43,25.49,25.43,25.4659,1110,0
PQJA.US,D,20250205,000000,25.4943,25.5184,25.4943,25.5184,315,0
PQJA.US,D,20250207,000000,25.49,25.52,25.475,25.475,5317,0
PQJA.US,D,20250210,000000,25.62,25.62,25.6001,25.6001,500,0
PQJA.US,D,20250212,000000,25.54,25.5688,25.5399,25.5623,2481,0
PQJA.US,D,20250213,000000,25.74,25.74,25.7,25.7,882,0
