<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRLH.US,D,20220210,000000,9.86,9.86,9.765,9.85,2379,0
PRLH.US,D,20220211,000000,9.97,10.0331,9.75,10.0331,2164,0
PRLH.US,D,20220214,000000,9.85,9.85,9.85,9.85,356,0
PRLH.US,D,20220215,000000,9.78,10.58,9.78,9.82,168226,0
PRLH.US,D,20220216,000000,9.79,9.8,9.79,9.8,1600,0
PRLH.US,D,20220217,000000,9.79,9.875,9.79,9.79,6068,0
PRLH.US,D,20220218,000000,9.8,9.8,9.8,9.8,1402,0
PRLH.US,D,20220224,000000,9.82,9.84,9.8,9.84,2156,0
PRLH.US,D,20220301,000000,9.83,9.84,9.83,9.84,10351,0
PRLH.US,D,20220303,000000,9.86,9.88,9.86,9.86,650253,0
PRLH.US,D,20220304,000000,9.88,9.88,9.86,9.88,87282,0
PRLH.US,D,20220307,000000,9.88,9.88,9.88,9.88,11430,0
PRLH.US,D,20220308,000000,9.87,9.87,9.87,9.87,10233,0
PRLH.US,D,20220311,000000,9.89,9.89,9.85,9.89,37262,0
PRLH.US,D,20220316,000000,9.89,9.9,9.85,9.89,18891,0
PRLH.US,D,20220317,000000,9.89,9.89,9.89,9.89,6941,0
PRLH.US,D,20220318,000000,9.9,9.9,9.89,9.9,48898,0
PRLH.US,D,20220321,000000,9.9,9.9,9.9,9.9,90333,0
PRLH.US,D,20220322,000000,9.9,9.9,9.84,9.9,59051,0
PRLH.US,D,20220323,000000,9.9,9.9,9.9,9.9,5071,0
PRLH.US,D,20220325,000000,9.91,9.91,9.85,9.89,12749,0
PRLH.US,D,20220328,000000,9.86,9.86,9.85,9.85,35740,0
PRLH.US,D,20220329,000000,9.85,9.85,9.85,9.85,7659,0
PRLH.US,D,20220330,000000,9.86,9.87,9.86,9.87,450,0
PRLH.US,D,20220331,000000,9.86,9.88,9.86,9.88,49667,0
PRLH.US,D,20220401,000000,9.9,9.91,9.9,9.9,32061,0
PRLH.US,D,20220404,000000,9.87,9.87,9.87,9.87,377,0
PRLH.US,D,20220405,000000,9.87,9.9,9.87,9.9,5032,0
PRLH.US,D,20220406,000000,9.88,9.88,9.87,9.87,30135,0
PRLH.US,D,20220407,000000,9.89,9.89,9.88,9.88,27700,0
PRLH.US,D,20220408,000000,9.88,9.9,9.88,9.88,700830,0
PRLH.US,D,20220411,000000,9.9,9.92,9.9,9.92,79936,0
PRLH.US,D,20220413,000000,9.88,9.94,9.88,9.94,7110,0
PRLH.US,D,20220414,000000,9.91,9.91,9.91,9.91,6078,0
PRLH.US,D,20220426,000000,9.91,9.91,9.91,9.91,27000,0
PRLH.US,D,20220427,000000,9.91,9.93,9.91,9.93,8888,0
PRLH.US,D,20220428,000000,9.91,9.93,9.91,9.93,36559,0
PRLH.US,D,20220502,000000,9.93,9.94,9.93,9.93,26111,0
PRLH.US,D,20220506,000000,9.98,9.98,9.91,9.97,25925,0
PRLH.US,D,20220517,000000,9.9,9.905,9.87,9.9,2200,0
PRLH.US,D,20220520,000000,9.85,9.85,9.84,9.84,12433,0
PRLH.US,D,20220526,000000,9.87,9.87,9.87,9.87,1072,0
PRLH.US,D,20220607,000000,9.895,9.895,9.895,9.895,99022,0
PRLH.US,D,20220613,000000,9.9,9.9101,9.9,9.91,62741,0
PRLH.US,D,20220622,000000,9.875,9.875,9.862,9.862,40010,0
PRLH.US,D,20220629,000000,9.89,9.91,9.89,9.89,33335,0
PRLH.US,D,20220630,000000,9.89,9.89,9.89,9.89,75133,0
PRLH.US,D,20220701,000000,9.9,9.9,9.9,9.9,645,0
PRLH.US,D,20220705,000000,9.875,9.93,9.875,9.93,226248,0
PRLH.US,D,20220706,000000,9.93,9.93,9.93,9.93,718,0
PRLH.US,D,20220708,000000,9.88,9.92,9.88,9.92,1023,0
PRLH.US,D,20220711,000000,9.93,9.93,9.93,9.93,359,0
PRLH.US,D,20220712,000000,9.91,9.91,9.91,9.91,842,0
PRLH.US,D,20220718,000000,9.91,9.91,9.9,9.9,1547,0
PRLH.US,D,20220721,000000,9.9,9.92,9.9,9.92,4517,0
PRLH.US,D,20220722,000000,9.95,9.96,9.95,9.96,716,0
PRLH.US,D,20220725,000000,9.9299,9.94,9.9296,9.94,8062,0
PRLH.US,D,20220726,000000,9.94,9.95,9.94,9.95,3400,0
PRLH.US,D,20220727,000000,9.95,9.95,9.88,9.945,107668,0
PRLH.US,D,20220728,000000,9.96,9.96,9.96,9.96,112,0
PRLH.US,D,20220729,000000,9.95,9.95,9.94,9.94,5700,0
PRLH.US,D,20220801,000000,9.96,9.97,9.96,9.97,2256,0
PRLH.US,D,20220803,000000,9.97,9.97,9.97,9.97,7160,0
PRLH.US,D,20220808,000000,9.93,9.935,9.93,9.935,568,0
PRLH.US,D,20220809,000000,9.95,9.96,9.94,9.94,24502,0
PRLH.US,D,20220810,000000,9.97,9.97,9.97,9.97,1300,0
PRLH.US,D,20220811,000000,9.96,9.97,9.96,9.97,3970,0
PRLH.US,D,20220812,000000,9.96,9.98,9.96,9.98,27101,0
PRLH.US,D,20220815,000000,9.98,9.98,9.98,9.98,10011,0
PRLH.US,D,20220817,000000,9.98,9.98,9.98,9.98,499,0
PRLH.US,D,20220825,000000,9.975,10.02,9.97,9.98,688,0
PRLH.US,D,20220829,000000,9.98,9.98,9.98,9.98,1598,0
PRLH.US,D,20220830,000000,9.97,9.97,9.97,9.97,285,0
PRLH.US,D,20220831,000000,10.01,10.01,10.01,10.01,500001,0
PRLH.US,D,20220901,000000,10.09,10.09,10.09,10.09,145,0
PRLH.US,D,20220912,000000,9.98,9.99,9.9606,9.9606,2042,0
PRLH.US,D,20220913,000000,9.96,9.99,9.95,9.95,16660,0
PRLH.US,D,20220914,000000,9.95,9.99,9.95,9.99,6775,0
PRLH.US,D,20220916,000000,9.97,9.99,9.95,9.97,2120,0
PRLH.US,D,20220919,000000,9.97,10.01,9.97,10,6253,0
PRLH.US,D,20220920,000000,10,10,10,10,452315,0
PRLH.US,D,20220922,000000,10.02,10.02,10.02,10.02,166922,0
PRLH.US,D,20220923,000000,9.98,9.98,9.97,9.98,800,0
PRLH.US,D,20220926,000000,9.96,9.97,9.95,9.95,14900,0
PRLH.US,D,20220927,000000,9.95,9.95,9.95,9.95,185,0
PRLH.US,D,20221003,000000,10.08,10.08,10.08,10.08,3202,0
PRLH.US,D,20221010,000000,10.04,10.04,10.04,10.04,300001,0
PRLH.US,D,20221011,000000,10.03,10.0402,10.03,10.03,25022,0
PRLH.US,D,20221012,000000,10.03,10.04,9.98,10.03,15300,0
PRLH.US,D,20221013,000000,10.03,10.03,10.03,10.03,150000,0
PRLH.US,D,20221018,000000,10.04,10.04,10.04,10.04,530607,0
PRLH.US,D,20221020,000000,10.05,10.06,10.04,10.06,324391,0
PRLH.US,D,20221021,000000,10.07,10.09,10.06,10.06,2563,0
PRLH.US,D,20221025,000000,10.06,10.08,10.06,10.08,300,0
PRLH.US,D,20221026,000000,10.1,10.1,10.1,10.1,2002,0
PRLH.US,D,20221028,000000,10.06,10.06,10.06,10.06,3524,0
PRLH.US,D,20221101,000000,10.07,10.07,10.07,10.07,4300,0
PRLH.US,D,20221102,000000,10.08,10.125,10.08,10.125,288910,0
PRLH.US,D,20221104,000000,10.11,10.11,10.11,10.11,720,0
PRLH.US,D,20221107,000000,10.06,10.06,10.06,10.06,323,0
PRLH.US,D,20221108,000000,10.07,10.07,10.07,10.07,405,0
PRLH.US,D,20221109,000000,10.07,10.07,10.07,10.07,106259,0
PRLH.US,D,20221110,000000,10.07,10.07,10.07,10.07,509,0
PRLH.US,D,20221114,000000,10.07,10.14,10.07,10.08,109549,0
PRLH.US,D,20221115,000000,10.12,10.15,10.12,10.14,5519,0
PRLH.US,D,20221116,000000,10.155,10.175,10.145,10.17,64899,0
PRLH.US,D,20221117,000000,10.17,10.17,10.15,10.15,3002,0
PRLH.US,D,20221118,000000,10.15,10.15,10.15,10.15,1530,0
PRLH.US,D,20221122,000000,10.15,10.17,10.15,10.1607,96679,0
PRLH.US,D,20221123,000000,10.17,10.175,10.16,10.16,26000,0
PRLH.US,D,20221201,000000,10.16,10.16,10.16,10.16,4247,0
PRLH.US,D,20221205,000000,10.175,10.18,10.175,10.18,5933,0
PRLH.US,D,20221206,000000,10.18,10.18,10.18,10.18,1335,0
PRLH.US,D,20221207,000000,10.185,10.19,10.185,10.19,5543,0
PRLH.US,D,20221208,000000,10.19,10.19,10.19,10.19,1218,0
PRLH.US,D,20221209,000000,10.19,10.19,10.19,10.19,1612,0
PRLH.US,D,20221213,000000,10.205,10.21,10.2,10.21,5392,0
PRLH.US,D,20221215,000000,10.21,10.21,10.21,10.21,4000,0
PRLH.US,D,20221220,000000,10.21,10.21,10.21,10.21,249,0
PRLH.US,D,20221227,000000,10.22,10.2217,10.22,10.22,15754,0
PRLH.US,D,20221228,000000,10.23,10.23,10.23,10.23,262,0
PRLH.US,D,20230104,000000,10.23,10.2444,10.23,10.2444,15412,0
PRLH.US,D,20230105,000000,10.31,10.31,10.24,10.24,6000,0
PRLH.US,D,20230106,000000,10.25,10.25,10.24,10.24,1385,0
PRLH.US,D,20230109,000000,10.24,10.25,10.24,10.25,277,0
PRLH.US,D,20230112,000000,10.26,10.26,10.26,10.26,900,0
PRLH.US,D,20230117,000000,10.26,10.32,10.26,10.28,56214,0
PRLH.US,D,20230118,000000,10.32,10.32,10.27,10.27,148481,0
PRLH.US,D,20230119,000000,10.29,10.29,10.28,10.29,52809,0
PRLH.US,D,20230120,000000,10.3,10.3,10.3,10.3,449,0
PRLH.US,D,20230123,000000,10.31,10.33,10.3075,10.32,40062,0
PRLH.US,D,20230124,000000,10.32,10.33,10.305,10.31,25272,0
PRLH.US,D,20230125,000000,10.32,10.38,10.32,10.35,169807,0
PRLH.US,D,20230126,000000,10.31,10.3176,10.3,10.3176,6000,0
PRLH.US,D,20230127,000000,10.315,10.33,10.315,10.32,1332998,0
PRLH.US,D,20230130,000000,10.32,10.32,10.31,10.32,137850,0
PRLH.US,D,20230131,000000,10.32,10.34,10.32,10.34,119002,0
PRLH.US,D,20230201,000000,10.33,10.34,10.33,10.33,4100,0
PRLH.US,D,20230202,000000,10.33,10.34,10.33,10.34,470,0
PRLH.US,D,20230206,000000,10.35,10.37,10.34,10.35,80858,0
PRLH.US,D,20230207,000000,10.35,10.4,10.34,10.34,1384786,0
PRLH.US,D,20230208,000000,10.34,10.34,10.335,10.335,3293,0
PRLH.US,D,20230209,000000,10.34,10.37,10.34,10.34,3526,0
PRLH.US,D,20230210,000000,10.4,10.4,10.34,10.3401,46661,0
PRLH.US,D,20230213,000000,10.34,10.7278,10.34,10.365,62689,0
PRLH.US,D,20230214,000000,10.375,10.385,10.375,10.385,397,0
PRLH.US,D,20230215,000000,10.38,10.38,10.35,10.36,5031,0
PRLH.US,D,20230216,000000,10.37,10.375,10.37,10.375,7094,0
PRLH.US,D,20230217,000000,10.38,10.38,10.38,10.38,230,0
PRLH.US,D,20230221,000000,10.37,10.38,10.37,10.38,15451,0
PRLH.US,D,20230223,000000,10.38,10.38,10.38,10.38,42865,0
PRLH.US,D,20230301,000000,10.38,10.48,10.36,10.36,90419,0
PRLH.US,D,20230302,000000,10.38,10.45,10.36,10.39,63231,0
PRLH.US,D,20230307,000000,10.44,10.44,10.44,10.44,390,0
PRLH.US,D,20230308,000000,10.4085,10.4085,10.4085,10.4085,900000,0
PRLH.US,D,20230309,000000,10.4336,10.4336,10.4336,10.4336,158,0
PRLH.US,D,20230310,000000,10.42,10.42,10.41,10.41,1107,0
PRLH.US,D,20230313,000000,10.41,10.425,10.41,10.425,54422,0
PRLH.US,D,20230315,000000,10.41,10.41,10.41,10.41,100067,0
PRLH.US,D,20230322,000000,10.4173,10.4173,10.4173,10.4173,422,0
PRLH.US,D,20230323,000000,10.41,10.44,10.41,10.44,8527,0
PRLH.US,D,20230328,000000,10.42,10.43,10.42,10.42,1688,0
PRLH.US,D,20230329,000000,10.42,10.44,10.42,10.435,794147,0
PRLH.US,D,20230330,000000,10.43,10.43,10.43,10.43,242,0
PRLH.US,D,20230331,000000,10.43,10.44,10.43,10.44,27748,0
PRLH.US,D,20230403,000000,10.43,10.44,10.43,10.44,12237,0
PRLH.US,D,20230404,000000,10.43,10.43,10.43,10.43,3164,0
PRLH.US,D,20230405,000000,10.43,10.44,10.43,10.44,204525,0
PRLH.US,D,20230406,000000,10.44,10.44,10.44,10.44,3700,0
PRLH.US,D,20230411,000000,10.445,10.445,10.44,10.44,1927,0
PRLH.US,D,20230412,000000,10.45,10.45,10.45,10.45,303065,0
PRLH.US,D,20230413,000000,10.45,10.47,10.45,10.47,111422,0
PRLH.US,D,20230414,000000,10.46,10.46,10.45,10.45,309208,0
PRLH.US,D,20230417,000000,10.45,10.46,10.45,10.45,10550,0
PRLH.US,D,20230419,000000,10.46,10.48,10.455,10.48,758281,0
PRLH.US,D,20230420,000000,10.4627,10.4627,10.4627,10.4627,451,0
PRLH.US,D,20230424,000000,10.47,10.47,10.46,10.4636,8499,0
PRLH.US,D,20230425,000000,10.47,10.47,10.46,10.46,9939,0
PRLH.US,D,20230426,000000,10.48,10.48,10.47,10.47,823,0
PRLH.US,D,20230427,000000,10.48,10.48,10.475,10.48,105452,0
PRLH.US,D,20230428,000000,10.66,10.7004,10.47,10.49,19143,0
PRLH.US,D,20230501,000000,10.65,10.701,10.47,10.47,36407,0
PRLH.US,D,20230502,000000,10.6843,10.6843,10.48,10.5,102872,0
PRLH.US,D,20230503,000000,10.49,10.51,10.48,10.48,2291,0
PRLH.US,D,20230508,000000,10.48,10.48,10.48,10.48,3299,0
PRLH.US,D,20230509,000000,10.48,10.48,10.48,10.48,1973,0
PRLH.US,D,20230510,000000,10.48,10.48,10.48,10.48,212,0
PRLH.US,D,20230511,000000,10.48,10.49,10.48,10.49,5941,0
PRLH.US,D,20230512,000000,10.49,10.49,10.49,10.49,988,0
