<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRLHU.US,D,20240731,000000,11.28,11.28,11.28,11.28,102,0
PRLHU.US,D,20240801,000000,11.04,11.04,11.04,11.04,102,0
PRLHU.US,D,20240805,000000,11.6,11.6,11.6,11.6,104,0
PRLHU.US,D,20240806,000000,11.35,12.2,11.35,11.7,4591,0
PRLHU.US,D,20240807,000000,11.32,12.41,11.32,12.41,503,0
PRLHU.US,D,20240808,000000,11.3,12.1,11.3,11.88,1119,0
PRLHU.US,D,20240809,000000,11.85,12.1,11.85,12.1,1120,0
PRLHU.US,D,20240812,000000,11.5,11.5,11.11,11.4,606,0
PRLHU.US,D,20240813,000000,11.5,11.5,11.14,11.19,2226,0
PRLHU.US,D,20240814,000000,12.02,12.02,11.03,11.03,531,0
PRLHU.US,D,20240815,000000,11.07,11.07,11.05,11.05,354,0
PRLHU.US,D,20240826,000000,11.02,11.03,11.02,11.03,201,0
PRLHU.US,D,20240827,000000,11.03,11.03,11.03,11.03,138,0
PRLHU.US,D,20240829,000000,11.01,11.01,11.01,11.01,100,0
PRLHU.US,D,20240830,000000,11.03,11.03,11.03,11.03,100,0
PRLHU.US,D,20240905,000000,11.05,11.05,11,11,1384,0
PRLHU.US,D,20240916,000000,11.01,11.01,11.01,11.01,400,0
PRLHU.US,D,20240924,000000,11.04,11.04,11.01,11.01,600,0
PRLHU.US,D,20240925,000000,11.07,11.07,11.07,11.07,465,0
PRLHU.US,D,20241008,000000,10.78,10.78,10.78,10.78,400,0
PRLHU.US,D,20241016,000000,11.1,11.19,10.98,11.19,1476,0
PRLHU.US,D,20241127,000000,11.24,11.25,11.24,11.25,300,0
PRLHU.US,D,20241213,000000,12,12,11.99,12,2620,0
