<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PROCF.US,D,20211001,000000,10.38,10.4,9.5,9.6,806284,0
PROCF.US,D,20211004,000000,9.8,9.925,8.13,9.65,459722,0
PROCF.US,D,20211005,000000,9.46,9.8,8.9,9.8,95806,0
PROCF.US,D,20211006,000000,8.98,10.25,8.98,10.07,112867,0
PROCF.US,D,20211007,000000,9.91,10.14,9.7,10,152202,0
PROCF.US,D,20211008,000000,10.21,10.21,9.3999,10.07,192851,0
PROCF.US,D,20211011,000000,9.74,9.8,9.52,9.68,21284,0
PROCF.US,D,20211012,000000,10.02,10.5,9.53,9.65,73381,0
PROCF.US,D,20211013,000000,9.85,9.9822,8.98,9.39,272070,0
PROCF.US,D,20211014,000000,9.31,10,9.125,9.34,475326,0
PROCF.US,D,20211015,000000,9.52,9.73,8.735,9.65,207729,0
PROCF.US,D,20211018,000000,9.61,9.9,9.2,9.33,59662,0
PROCF.US,D,20211019,000000,9.69,9.76,9.42,9.52,36812,0
PROCF.US,D,20211020,000000,9.83,10.42,9.83,10.42,87615,0
PROCF.US,D,20211021,000000,11,11.37,9.92,10.25,120583,0
PROCF.US,D,20211022,000000,11.98,11.98,9.82,10.17,163103,0
PROCF.US,D,20211025,000000,10.5,10.8435,9.4,9.77,143316,0
PROCF.US,D,20211026,000000,9.83,9.95,9,9.81,232112,0
PROCF.US,D,20211027,000000,9.59,10.05,9.59,9.9,108279,0
PROCF.US,D,20211028,000000,9.96,10.1726,9.92,10.02,91256,0
PROCF.US,D,20211029,000000,10.263,10.81,9.665,10.4,124631,0
PROCF.US,D,20211101,000000,10.32,10.4051,10.03,10.27,25627,0
PROCF.US,D,20211102,000000,10.25,10.25,9.43,9.88,72944,0
PROCF.US,D,20211103,000000,9.97,10.18,9.7,9.75,15030,0
PROCF.US,D,20211104,000000,9.75,10.488,9.61,9.86,63355,0
PROCF.US,D,20211105,000000,9.979,10.01,9.81,10,3046,0
PROCF.US,D,20211108,000000,9.9,10.52,9.77,9.87,29082,0
PROCF.US,D,20211109,000000,9.84,10.08,9.73,9.74,25115,0
PROCF.US,D,20211110,000000,9.72,10.251,9.72,9.75,7943,0
PROCF.US,D,20211111,000000,9.75,9.8027,9.75,9.8027,3158,0
PROCF.US,D,20211112,000000,9.8927,10.3,9.76,10.3,40006,0
PROCF.US,D,20211115,000000,10.08,10.08,10.01,10.01,997,0
PROCF.US,D,20211116,000000,9.8634,9.9,9.74,9.9,3494,0
PROCF.US,D,20211117,000000,9.84,10,9.7,9.95,21057,0
PROCF.US,D,20211118,000000,9.88,10,9.85,9.85,3170,0
PROCF.US,D,20211119,000000,10.5,10.5,9.81,9.81,12950,0
PROCF.US,D,20211122,000000,9.7201,9.9,9.72,9.86,10198,0
PROCF.US,D,20211123,000000,10.15,10.17,9.72,9.84,25904,0
PROCF.US,D,20211124,000000,9.72,10.05,9.72,9.84,1019,0
PROCF.US,D,20211126,000000,9.75,9.98,8.11,9.41,67871,0
PROCF.US,D,20211129,000000,9.99,10.02,9.45,9.59,47999,0
PROCF.US,D,20211130,000000,9.59,10.26,9.322,10.26,57922,0
PROCF.US,D,20211201,000000,10,10.48,9.68,9.9,13343,0
PROCF.US,D,20211202,000000,9.7,10.41,9.67,9.9,158173,0
PROCF.US,D,20211203,000000,10.14,10.2,9.32,9.87,39880,0
PROCF.US,D,20211206,000000,10.2,10.2,9.12,9.14,35662,0
PROCF.US,D,20211207,000000,9.53,10.2,9.5,9.89,71544,0
PROCF.US,D,20211208,000000,9.76,10.15,9.76,10,15283,0
PROCF.US,D,20211209,000000,10.15,10.49,9.8,10.24,88929,0
PROCF.US,D,20211210,000000,10.1,10.1,9.85,10,7776,0
PROCF.US,D,20211213,000000,10.4,10.4,8.8,9.15,78693,0
PROCF.US,D,20211214,000000,9.505,9.54,9,9,28688,0
PROCF.US,D,20211215,000000,8.85,9.35,8.42,9.34,18483,0
PROCF.US,D,20211216,000000,9.13,9.355,9.13,9.3,5624,0
PROCF.US,D,20211217,000000,9.38,10,8.459,8.85,13021,0
PROCF.US,D,20211220,000000,9.29,9.71,8.74,9.5,13059,0
PROCF.US,D,20211221,000000,9.34,9.45,9,9.05,9779,0
PROCF.US,D,20211222,000000,9.43,10,9.05,9.63,23004,0
PROCF.US,D,20211223,000000,9.85,9.85,9.28,9.58,20034,0
PROCF.US,D,20211227,000000,9.24,9.98,9.24,9.45,28234,0
PROCF.US,D,20211228,000000,9.6,9.84,9.37,9.5,7634,0
PROCF.US,D,20211229,000000,9.31,9.85,9.31,9.81,8273,0
