<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRST.US,D,20210208,000000,10.2001,10.25,10.08,10.1899,975093,0
PRST.US,D,20210209,000000,10.21,10.22,10.1,10.2,175917,0
PRST.US,D,20210210,000000,10.15,10.24,10.11,10.24,349677,0
PRST.US,D,20210211,000000,10.22,10.36,10.17,10.21,182580,0
PRST.US,D,20210212,000000,10.28,10.28,10.15,10.16,76566,0
PRST.US,D,20210216,000000,10.24,10.305,10.19,10.28,44601,0
PRST.US,D,20210217,000000,10.24,10.3319,10.2,10.2,210365,0
PRST.US,D,20210218,000000,10.2001,10.225,10.15,10.16,23313,0
PRST.US,D,20210219,000000,10.17,10.205,10.1399,10.16,90388,0
PRST.US,D,20210222,000000,10.16,10.2,10.06,10.09,368957,0
PRST.US,D,20210223,000000,10.08,10.23,10.04,10.22,241970,0
PRST.US,D,20210224,000000,10.26,10.26,10.07,10.18,76758,0
PRST.US,D,20210225,000000,10.15,10.15,10.06,10.15,1034404,0
PRST.US,D,20210226,000000,10.12,10.14,10.04,10.09,192252,0
PRST.US,D,20210301,000000,10.1,10.15,10.02,10.06,145482,0
PRST.US,D,20210302,000000,10.06,10.07,9.86,9.93,193242,0
PRST.US,D,20210303,000000,9.97,10,9.9,9.9,309954,0
PRST.US,D,20210304,000000,9.91,9.9903,9.7401,9.99,198572,0
PRST.US,D,20210305,000000,9.98,9.99,9.8,9.95,25095,0
PRST.US,D,20210308,000000,9.91,9.925,9.88,9.895,21958,0
PRST.US,D,20210309,000000,9.92,9.95,9.92,9.9301,10312,0
PRST.US,D,20210310,000000,9.95,9.99,9.845,9.88,721995,0
PRST.US,D,20210311,000000,9.9,10,9.9,9.99,89035,0
PRST.US,D,20210312,000000,9.91,9.96,9.91,9.95,8547,0
PRST.US,D,20210315,000000,9.98,10.0022,9.86,9.87,120756,0
PRST.US,D,20210316,000000,9.9,9.96,9.81,9.81,233506,0
PRST.US,D,20210317,000000,9.87,9.9,9.82,9.89,36247,0
PRST.US,D,20210318,000000,9.86,9.86,9.83,9.83,3723,0
PRST.US,D,20210319,000000,9.83,9.89,9.83,9.83,198248,0
PRST.US,D,20210322,000000,9.83,9.85,9.82,9.85,9013,0
PRST.US,D,20210323,000000,9.87,9.87,9.81,9.81,11536,0
PRST.US,D,20210324,000000,9.9,9.9,9.76,9.8,188634,0
PRST.US,D,20210325,000000,9.8,9.84,9.73,9.83,119042,0
PRST.US,D,20210326,000000,9.83,9.95,9.82,9.82,9957,0
