<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSIG.US,D,20240722,000000,3.29,3.29,2.25,2.7,463738,0
PSIG.US,D,20240723,000000,2.27,2.3,1.81,1.9201,523817,0
PSIG.US,D,20240724,000000,1.7,2.1194,1.67,1.72,285201,0
PSIG.US,D,20240725,000000,1.56,2.17,1.55,2.07,1597436,0
PSIG.US,D,20240726,000000,1.75,1.78,1.34,1.42,716264,0
PSIG.US,D,20240729,000000,1.38,1.4299,1.14,1.2,312099,0
PSIG.US,D,20240730,000000,1.19,1.5,1.115,1.36,467439,0
PSIG.US,D,20240731,000000,1.34,1.4,1.06,1.11,204930,0
PSIG.US,D,20240801,000000,1.1235,1.17,0.91,0.9295,300123,0
PSIG.US,D,20240802,000000,0.8404,0.874999,0.751,0.76,1120318,0
PSIG.US,D,20240805,000000,0.7187,0.739,0.65,0.732,267742,0
PSIG.US,D,20240806,000000,0.71,0.97,0.7,0.87,585508,0
PSIG.US,D,20240807,000000,0.8,0.855,0.78,0.8,345601,0
PSIG.US,D,20240808,000000,0.8065,0.86,0.69,0.69,188438,0
PSIG.US,D,20240809,000000,0.736,1.04,0.7113,1.01,2374993,0
PSIG.US,D,20240812,000000,1.43,2.82,1.35,2.3,182756240,0
PSIG.US,D,20240813,000000,2.03,2.5,1.6,2.42,7953104,0
PSIG.US,D,20240814,000000,2.1,2.64,1.8,2.01,7523998,0
PSIG.US,D,20240815,000000,1.96,2.12,1.72,1.85,1031571,0
PSIG.US,D,20240816,000000,1.76,1.8465,1.23,1.44,1334138,0
PSIG.US,D,20240819,000000,1.5,1.59,1.41,1.48,269550,0
PSIG.US,D,20240820,000000,1.47,1.52,1.43,1.48,200372,0
PSIG.US,D,20240821,000000,1.51,1.51,0.85,1.07,1181706,0
PSIG.US,D,20240822,000000,1.09,1.11,0.9538,0.98,263532,0
PSIG.US,D,20240823,000000,0.9866,1.05,0.92665,0.97,176393,0
PSIG.US,D,20240826,000000,0.95,1,0.91,0.938,100494,0
PSIG.US,D,20240827,000000,0.95,0.95,0.752,0.89,151439,0
PSIG.US,D,20240828,000000,0.88,0.88,0.7734,0.800521,182652,0
PSIG.US,D,20240829,000000,0.81,0.889899,0.801,0.8271,50336,0
PSIG.US,D,20240830,000000,0.81,0.89,0.8093,0.86,57406,0
PSIG.US,D,20240903,000000,0.858,0.859,0.8,0.851899,92152,0
