<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSTX.US,D,20200710,000000,17,17.43,15.2,15.35,7940500,0
PSTX.US,D,20200713,000000,15.75,16,13.16,13.48,1912904,0
PSTX.US,D,20200714,000000,13.75,14.21,11.35,13.01,1005769,0
PSTX.US,D,20200715,000000,13.24,14.43,13.06,14.02,521773,0
PSTX.US,D,20200716,000000,14.54,15.9,13.75,15.5,1040763,0
PSTX.US,D,20200717,000000,15.45,17.62,15.4,16.1,743055,0
PSTX.US,D,20200720,000000,16.26,17.15,15.7601,16.25,406454,0
PSTX.US,D,20200721,000000,16.07,16.55,14.65,15.04,513006,0
PSTX.US,D,20200722,000000,14.78,15.95,14.6801,15.78,334210,0
PSTX.US,D,20200723,000000,15.64,16.08,15.09,15.62,312105,0
PSTX.US,D,20200724,000000,15.47,16.02,14.455,15.44,291703,0
PSTX.US,D,20200727,000000,15.13,15.79,13.89,14.3,703544,0
PSTX.US,D,20200728,000000,14.01,15.5,12.7,13.03,404044,0
PSTX.US,D,20200729,000000,13.15,14.2,12.75,12.96,285626,0
PSTX.US,D,20200730,000000,12.79,13.57,12.755,13.33,247125,0
PSTX.US,D,20200731,000000,13.75,13.75,11.77,12.98,428425,0
PSTX.US,D,20200803,000000,13.56,13.63,12.5,13.41,244782,0
PSTX.US,D,20200804,000000,13.75,14.1499,12.65,13.08,343021,0
PSTX.US,D,20200805,000000,13.4,13.99,12.755,12.9,521210,0
PSTX.US,D,20200806,000000,12.81,13.4,12.53,12.68,352786,0
PSTX.US,D,20200807,000000,12.56,13.18,12.453,12.83,225484,0
PSTX.US,D,20200810,000000,12.73,13.05,12.28,12.96,245373,0
PSTX.US,D,20200811,000000,12.91,13,11.7,12,383670,0
PSTX.US,D,20200812,000000,11.85,12.49,11,11.5,337828,0
PSTX.US,D,20200813,000000,11.53,13.25,11.5106,12.99,478691,0
PSTX.US,D,20200814,000000,12.77,13.78,12.32,13.1,625603,0
PSTX.US,D,20200817,000000,13.11,13.61,12.62,13,677150,0
PSTX.US,D,20200818,000000,8.76,9.58,8.38,9.06,2215335,0
PSTX.US,D,20200819,000000,9.71,9.8494,8.75,8.86,923396,0
PSTX.US,D,20200820,000000,8.82,10.1499,8.75,9.11,715263,0
PSTX.US,D,20200821,000000,9.42,9.7,8.4001,8.61,709072,0
PSTX.US,D,20200824,000000,8.66,8.71,7.63,8.55,808317,0
PSTX.US,D,20200825,000000,8.35,8.35,7.9,8.09,688358,0
PSTX.US,D,20200826,000000,8.09,8.95,7.91,8.8,719988,0
PSTX.US,D,20200827,000000,8.71,8.865,8.36,8.61,212037,0
PSTX.US,D,20200828,000000,8.52,9.4499,8.37,9.23,495538,0
PSTX.US,D,20200831,000000,8.99,9.55,8.85,9.39,381420,0
PSTX.US,D,20200901,000000,9.3,9.86,9.08,9.36,250029,0
PSTX.US,D,20200902,000000,9.3,9.87,9.26,9.43,345112,0
PSTX.US,D,20200903,000000,9.41,9.735,9.095,9.53,186816,0
PSTX.US,D,20200904,000000,9.45,9.59,9.1,9.3,197649,0
PSTX.US,D,20200908,000000,9.13,9.89,9.1,9.36,202892,0
PSTX.US,D,20200909,000000,9.22,10.36,9.22,9.48,414221,0
PSTX.US,D,20200910,000000,9.57,10.24,9.26,9.35,162614,0
PSTX.US,D,20200911,000000,9.37,10.0899,9.11,9.5,269984,0
PSTX.US,D,20200914,000000,9.51,10,9.5,9.89,204490,0
PSTX.US,D,20200915,000000,9.93,10.4241,9.7,9.92,231393,0
PSTX.US,D,20200916,000000,10.04,10.25,9.6,9.76,288393,0
PSTX.US,D,20200917,000000,9.54,10.015,9.35,9.5,301960,0
PSTX.US,D,20200918,000000,9.34,10.14,9.34,9.67,2141460,0
PSTX.US,D,20200921,000000,9.39,9.79,9.38,9.55,197404,0
PSTX.US,D,20200922,000000,9.64,10.19,9.1,10.08,224076,0
PSTX.US,D,20200923,000000,9.96,10.08,9.46,9.5,132447,0
PSTX.US,D,20200924,000000,9.44,9.74,9.1,9.18,153918,0
PSTX.US,D,20200925,000000,9.18,9.8,9.175,9.43,111731,0
PSTX.US,D,20200928,000000,9.54,9.7,9.3,9.36,71523,0
PSTX.US,D,20200929,000000,9.25,9.31,8.66,9,254822,0
PSTX.US,D,20200930,000000,9,9.19,8.75,8.87,160377,0
PSTX.US,D,20201001,000000,8.92,8.94,8.2,8.5,248245,0
PSTX.US,D,20201002,000000,8.36,8.595,8.12,8.29,131190,0
PSTX.US,D,20201005,000000,8.38,8.87,8.11,8.7,171249,0
PSTX.US,D,20201006,000000,8.69,9.1,8.45,8.9,126865,0
PSTX.US,D,20201007,000000,8.97,9.49,8.92,9.47,197194,0
PSTX.US,D,20201008,000000,9.47,9.525,9.02,9.16,133285,0
PSTX.US,D,20201009,000000,9.26,9.295,8.79,9.06,80949,0
PSTX.US,D,20201012,000000,8.95,9.86,8.87,9.8,99096,0
PSTX.US,D,20201013,000000,9.74,10.44,9.54,10.43,91570,0
PSTX.US,D,20201014,000000,10.52,11.09,9.47,11,182046,0
PSTX.US,D,20201015,000000,10.8,11.485,10.36,11.33,98617,0
PSTX.US,D,20201016,000000,11.35,11.5,10.9,11.31,135462,0
PSTX.US,D,20201019,000000,11.35,11.35,10.53,10.82,110334,0
PSTX.US,D,20201020,000000,10.92,11.07,10.4,10.83,68372,0
PSTX.US,D,20201021,000000,10.89,10.94,9.98,10,40624,0
PSTX.US,D,20201022,000000,10.04,11.36,10.02,11,63915,0
PSTX.US,D,20201023,000000,11.04,11.1599,10.83,10.98,56547,0
PSTX.US,D,20201026,000000,10.95,11.5,10.63,11.5,65141,0
PSTX.US,D,20201027,000000,11.515,11.8,11.33,11.7,73205,0
PSTX.US,D,20201028,000000,11.36,11.55,10.52,11.09,139433,0
PSTX.US,D,20201029,000000,11.09,11.48,10.9,11.37,82479,0
PSTX.US,D,20201030,000000,11.25,11.6,10.9,11.51,79036,0
PSTX.US,D,20201102,000000,11.65,11.99,10.35,10.81,110407,0
PSTX.US,D,20201103,000000,11.23,11.23,10.82,11,48676,0
PSTX.US,D,20201104,000000,10.81,11.28,10.8,11.07,78878,0
PSTX.US,D,20201105,000000,11.32,11.4,10.925,11.28,59635,0
PSTX.US,D,20201106,000000,11.15,11.22,10.06,10.14,83043,0
PSTX.US,D,20201109,000000,10.57,11.6795,10.28,10.3,101323,0
PSTX.US,D,20201110,000000,10.48,10.62,9.93,9.95,101764,0
PSTX.US,D,20201111,000000,10.12,10.46,9.96,10.46,70500,0
PSTX.US,D,20201112,000000,10.41,10.92,10.365,10.64,58593,0
PSTX.US,D,20201113,000000,10.58,10.6899,10.42,10.5,85498,0
PSTX.US,D,20201116,000000,10.68,11.2,10.54,10.95,73141,0
PSTX.US,D,20201117,000000,10.95,11.56,10.55,11.07,63061,0
PSTX.US,D,20201118,000000,11.19,11.47,10.885,10.93,44048,0
PSTX.US,D,20201119,000000,11.06,11.82,10.97,11.06,112949,0
PSTX.US,D,20201120,000000,10.83,11.35,10.58,11.03,64571,0
PSTX.US,D,20201123,000000,10.87,11.5,10.82,11.22,50918,0
PSTX.US,D,20201124,000000,11.22,11.405,10.82,11.1,64009,0
PSTX.US,D,20201125,000000,11.01,11.59,10.77,11.46,48125,0
PSTX.US,D,20201127,000000,11.41,11.85,11.41,11.6,45696,0
PSTX.US,D,20201130,000000,11.48,11.82,11.33,11.61,104370,0
PSTX.US,D,20201201,000000,11.57,12,11.33,11.5,54729,0
PSTX.US,D,20201202,000000,11.33,11.5,10.71,10.95,62108,0
PSTX.US,D,20201203,000000,10.82,11.4,10.82,11.15,45547,0
PSTX.US,D,20201204,000000,11.24,11.24,10.51,10.68,51838,0
PSTX.US,D,20201207,000000,11,11.31,10.74,10.99,144401,0
