<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTLE.US,D,20241016,000000,4.25,4.67,4,4.07,2694300,0
PTLE.US,D,20241017,000000,4.1,4.49,4.04,4.14,302578,0
PTLE.US,D,20241018,000000,4.23,4.64,4.21,4.5,238559,0
PTLE.US,D,20241021,000000,4.37,4.8,4.3676,4.47,206305,0
PTLE.US,D,20241022,000000,4.45,4.59,4.26,4.3,144320,0
PTLE.US,D,20241023,000000,4.24,4.29,4.1532,4.18,90867,0
PTLE.US,D,20241024,000000,4.07,4.22,4.02,4.1101,41049,0
PTLE.US,D,20241025,000000,4.13,4.1682,4.07,4.11,15990,0
PTLE.US,D,20241028,000000,4.01,4.1799,4.01,4.14,37372,0
PTLE.US,D,20241029,000000,4.07,4.135,4.07,4.11,17227,0
PTLE.US,D,20241030,000000,4.08,4.17,4.05,4.17,44117,0
PTLE.US,D,20241031,000000,4.11,4.24,4.04,4.16,83461,0
PTLE.US,D,20241101,000000,4.11,4.19,4.0701,4.16,40506,0
PTLE.US,D,20241104,000000,4.07,4.18,4.07,4.18,43705,0
PTLE.US,D,20241105,000000,4.2,4.24,4.1,4.17,37775,0
PTLE.US,D,20241106,000000,4.1557,4.23,4.09,4.17,115570,0
PTLE.US,D,20241107,000000,4.09,4.09,2.9001,3.01,848377,0
PTLE.US,D,20241108,000000,3,3.1,3,3.04,279586,0
PTLE.US,D,20241111,000000,3.12,3.5,3.1,3.1,77126,0
PTLE.US,D,20241112,000000,3.044,3.0794,2.0101,2.52,726297,0
PTLE.US,D,20241113,000000,2.52,2.65,2.4117,2.47,26694,0
PTLE.US,D,20241114,000000,2.56,2.9,2.5,2.87,54948,0
PTLE.US,D,20241115,000000,2.79,4.79,2.79,3.25,11201930,0
PTLE.US,D,20241118,000000,2.8,3.74,2.8,3.46,556830,0
PTLE.US,D,20241119,000000,3.7,3.97,3.57,3.94,1176814,0
PTLE.US,D,20241120,000000,3.94,4.15,3.88,4,358162,0
PTLE.US,D,20241121,000000,4.06,4.378,4.06,4.18,158499,0
PTLE.US,D,20241122,000000,4.1,5.5,3.8,4.84,3025768,0
PTLE.US,D,20241125,000000,4.8,6.79,4.8,6.69,3266967,0
PTLE.US,D,20241126,000000,6.7591,7.3,6.25,7.3,2425364,0
PTLE.US,D,20241127,000000,7.01,7.39,6.4,6.88,1115018,0
PTLE.US,D,20241129,000000,6.81,7.28,6.6,7.1,455697,0
PTLE.US,D,20241202,000000,7.25,7.29,6.91,6.91,229904,0
PTLE.US,D,20241203,000000,7,7.25,6.91,7.09,186964,0
PTLE.US,D,20241204,000000,7,7.53,6.65,7.21,1498951,0
PTLE.US,D,20241205,000000,7.35,7.85,7.2,7.39,548966,0
PTLE.US,D,20241206,000000,7.47,7.47,6.71,6.94,676781,0
PTLE.US,D,20241209,000000,7.01,7.75,6.7852,7.62,156796,0
PTLE.US,D,20241210,000000,7.62,8.1,7.4,7.76,379012,0
PTLE.US,D,20241211,000000,7.57,8.9,7.57,8.37,831669,0
PTLE.US,D,20241212,000000,8.37,8.72,5.54,8.1,992719,0
PTLE.US,D,20241213,000000,8.3,10.188,7.39,9.48,439690,0
PTLE.US,D,20241216,000000,9.48,9.79,8.5867,8.7,517802,0
PTLE.US,D,20241217,000000,8.42,9.11,7.72,7.78,217393,0
PTLE.US,D,20241218,000000,7.79,8.1604,6.82,7.76,500480,0
PTLE.US,D,20241219,000000,7.55,8.6,7.23,8.43,1949030,0
PTLE.US,D,20241220,000000,8.4,9.29,8.21,8.95,1618724,0
PTLE.US,D,20241223,000000,9.3,9.85,8.8,9.57,1624423,0
PTLE.US,D,20241224,000000,9.72,9.85,9.5,9.85,395872,0
PTLE.US,D,20241226,000000,9.92,10.3,9.28,10.3,1527748,0
PTLE.US,D,20241227,000000,10.22,10.79,9.3114,9.63,2442920,0
PTLE.US,D,20241230,000000,9.5,10.54,8,10.31,1268716,0
PTLE.US,D,20241231,000000,10.45,11.1235,10.1706,10.44,1145517,0
PTLE.US,D,20250102,000000,10.49,12.84,10.04,12.19,2022092,0
PTLE.US,D,20250103,000000,11.84,12.5609,7.39,7.39,1041377,0
PTLE.US,D,20250106,000000,9.75,10.79,8.5,10.17,875739,0
PTLE.US,D,20250107,000000,9.86,11.18,9.18,11,749163,0
PTLE.US,D,20250108,000000,10.99,12.82,10.6,12.055,1514312,0
PTLE.US,D,20250110,000000,12.06,13.979,11.7,12.32,1796544,0
PTLE.US,D,20250113,000000,12.6,14.92,12.29,14.69,3215536,0
PTLE.US,D,20250114,000000,14.66,15.78,14,14.52,2287957,0
PTLE.US,D,20250115,000000,14.5,14.55,2.88,4.35,7875320,0
PTLE.US,D,20250116,000000,3.405,3.6,2.75,3.25,2384277,0
PTLE.US,D,20250117,000000,3,3.2028,2.75,2.98,1358988,0
PTLE.US,D,20250121,000000,2.75,2.79,2.15,2.43,1171780,0
PTLE.US,D,20250122,000000,2.28,3.75,2.24,3.2,4410516,0
