<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PXDT.US,D,20230801,000000,9.9,9.99,6.6106,8,720638,0
PXDT.US,D,20230802,000000,8.1,10.51,7.5001,7.51,527489,0
PXDT.US,D,20230803,000000,9,9,7.82,8.36,52824,0
PXDT.US,D,20230804,000000,9,9.04,8.3998,8.95,95401,0
PXDT.US,D,20230807,000000,9.47,9.5,8.7,8.92,63493,0
PXDT.US,D,20230808,000000,9,9,8.71,8.82,36263,0
PXDT.US,D,20230809,000000,8.9,8.96,8.26,8.43,55504,0
PXDT.US,D,20230810,000000,8.32,8.55,8.05,8.06,14044,0
PXDT.US,D,20230811,000000,8.09,8.189,7.55,7.7,33427,0
PXDT.US,D,20230814,000000,7.84,7.9,7.2,7.86,25783,0
PXDT.US,D,20230815,000000,8.29,8.29,7.9,7.99,2711,0
PXDT.US,D,20230816,000000,8.09,8.45,7.8,7.8,10408,0
PXDT.US,D,20230817,000000,7.89,8.072,6.93,6.99,15252,0
PXDT.US,D,20230818,000000,7.32,7.89,7.01,7.59,7991,0
PXDT.US,D,20230821,000000,8.44,8.44,7.6,7.9,9340,0
PXDT.US,D,20230822,000000,8.15,8.15,7.9,7.9943,4117,0
PXDT.US,D,20230823,000000,8,8,7.44,7.97,15100,0
PXDT.US,D,20230824,000000,8,8.16,7.51,7.77,11239,0
PXDT.US,D,20230825,000000,8.4,8.4,7.75,7.9,3513,0
PXDT.US,D,20230828,000000,8.07,8.07,7.91,7.92,4974,0
PXDT.US,D,20230829,000000,8.16,8.16,8,8,1017,0
PXDT.US,D,20230830,000000,8.07,8.07,8.07,8.07,510,0
PXDT.US,D,20230831,000000,8.21,8.39,8,8,1328,0
PXDT.US,D,20230901,000000,8.45,8.45,8.002,8.125,1985,0
PXDT.US,D,20230905,000000,8.3,8.3,8.1172,8.1648,4965,0
PXDT.US,D,20230906,000000,8.83,8.83,8.1,8.24,1385,0
PXDT.US,D,20230907,000000,8.25,8.25,7.8,7.8,4308,0
PXDT.US,D,20230908,000000,8.25,8.25,8,8,691,0
PXDT.US,D,20230911,000000,8.49,8.49,8.1,8.1,1430,0
PXDT.US,D,20230912,000000,8.14,8.14,8.14,8.14,311,0
PXDT.US,D,20230913,000000,8.3,8.3,8.02,8.02,1218,0
PXDT.US,D,20230914,000000,8.13,8.13,8.02,8.05,1917,0
PXDT.US,D,20230915,000000,7.86,8.4794,7.86,8.06,3289,0
PXDT.US,D,20230918,000000,8.15,8.45,7.93,7.94,2686,0
PXDT.US,D,20230919,000000,8.02,8.174,8.02,8.174,941,0
PXDT.US,D,20230920,000000,8.17,8.17,7.95,7.95,3059,0
PXDT.US,D,20230921,000000,8.7,9.03,8.44,8.85,42355,0
PXDT.US,D,20230922,000000,9,9.14,8.882,9.11,31674,0
PXDT.US,D,20230925,000000,10.2,10.2,9.3,9.875,80281,0
PXDT.US,D,20230926,000000,10.09,10.39,9.91,9.91,85181,0
PXDT.US,D,20230927,000000,9.99,9.99,8.36,8.42,46995,0
PXDT.US,D,20230928,000000,9,9,8.45,8.71,8592,0
PXDT.US,D,20230929,000000,9.48,9.48,8.71,8.76,8203,0
PXDT.US,D,20231002,000000,9,9,8.7226,8.98,6583,0
PXDT.US,D,20231003,000000,9,9,8.6,8.81,14767,0
PXDT.US,D,20231004,000000,8.99,8.99,8.8,8.8,2624,0
PXDT.US,D,20231005,000000,8.98,9,8.8,9,3022,0
PXDT.US,D,20231006,000000,8.87,9,8.87,9,3963,0
PXDT.US,D,20231009,000000,9,9,8.98,8.98,4164,0
PXDT.US,D,20231010,000000,9,9,8.92,8.92,3708,0
PXDT.US,D,20231011,000000,8.93,9,8.92,8.95,3633,0
