<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QBIG.US,D,20241206,000000,30.985,31.2422,30.905,31.2422,22821,0
QBIG.US,D,20241209,000000,31.25,31.27,30.97,31.1572,29296,0
QBIG.US,D,20241210,000000,31.37,31.53,31.099,31.1458,19058,0
QBIG.US,D,20241211,000000,31.51,32.01,31.51,31.9854,46126,0
QBIG.US,D,20241212,000000,33,33,31.7881,31.87,19082,0
QBIG.US,D,20241213,000000,32.39,32.57,32.109,32.43,65949,0
QBIG.US,D,20241216,000000,33.12,33.49,32.7425,33.26,283871,0
QBIG.US,D,20241217,000000,33.3,33.47,32.83,33.47,136468,0
QBIG.US,D,20241218,000000,33.51,33.6,31.75,31.86,139386,0
QBIG.US,D,20241219,000000,32.42,32.42,31.869,31.88,167094,0
QBIG.US,D,20241220,000000,31.88,32.5444,31.45,32.11,97017,0
QBIG.US,D,20241223,000000,32.42,32.62,32.19,32.59,138533,0
QBIG.US,D,20241224,000000,32.8,33.14,32.76,33.14,85141,0
QBIG.US,D,20241226,000000,33.18,33.1925,32.8357,33.11,72892,0
QBIG.US,D,20241227,000000,33.05,33.05,32.13,32.49,37063,0
QBIG.US,D,20241230,000000,32.04,32.315,31.8289,32.09,95709,0
QBIG.US,D,20241231,000000,32.22,32.22,31.62,31.67,76900,0
QBIG.US,D,20250102,000000,31.82,31.9501,31.19,31.54,43080,0
QBIG.US,D,20250103,000000,31.78,32.15,31.77,32.15,122007,0
QBIG.US,D,20250106,000000,32.68,32.98,32.57,32.76,72096,0
QBIG.US,D,20250107,000000,32.92,32.92,31.76,31.87,70769,0
QBIG.US,D,20250108,000000,31.86,31.97,31.616,31.86,39429,0
QBIG.US,D,20250110,000000,31.58,31.66,30.961,31.34,79077,0
QBIG.US,D,20250113,000000,30.84,31.17,30.675,31.17,39315,0
QBIG.US,D,20250114,000000,31.34,31.52,30.7113,30.93,31252,0
QBIG.US,D,20250115,000000,31.44,31.8698,31.3,31.86,30149,0
QBIG.US,D,20250116,000000,32.03,32.03,31.32,31.41,47537,0
QBIG.US,D,20250117,000000,31.97,32.05,31.71,31.91,32036,0
QBIG.US,D,20250121,000000,32.18,32.18,31.68,32.02,65630,0
QBIG.US,D,20250122,000000,32.3,32.658,32.28,32.54,58765,0
QBIG.US,D,20250123,000000,32.54,32.59,32.31,32.59,36500,0
QBIG.US,D,20250124,000000,32.59,33,32.2801,32.44,24701,0
QBIG.US,D,20250127,000000,30.99,31.21,30.579,30.83,65290,0
QBIG.US,D,20250128,000000,31,31.97,30.8,31.97,26967,0
QBIG.US,D,20250129,000000,32.07,32.07,31.23,31.52,14788,0
QBIG.US,D,20250130,000000,31.5,31.68,31.1101,31.43,11765,0
QBIG.US,D,20250131,000000,31.78,32.0499,31.31,31.46,49752,0
QBIG.US,D,20250203,000000,30.59,31.05,30.4948,30.81,88072,0
QBIG.US,D,20250204,000000,30.93,31.38,30.93,31.38,18209,0
QBIG.US,D,20250205,000000,31.19,31.3297,31.04,31.3,15880,0
QBIG.US,D,20250206,000000,31.27,31.54,31.2567,31.54,10018,0
QBIG.US,D,20250207,000000,31.47,31.565,30.81,30.93,51222,0
QBIG.US,D,20250210,000000,31.03,31.41,31.03,31.29,30317,0
QBIG.US,D,20250211,000000,31.15,31.31,31.11,31.23,16381,0
QBIG.US,D,20250212,000000,31.01,31.23,30.75,31.21,12820,0
QBIG.US,D,20250213,000000,31.35,31.7,31.225,31.7,25747,0
