<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QBUF.US,D,20240703,000000,25.01,25.07,25,25.035,30133,0
QBUF.US,D,20240705,000000,25.09,25.14,25.075,25.1174,29033,0
QBUF.US,D,20240708,000000,25.15,25.17,25.1102,25.1321,30313,0
QBUF.US,D,20240709,000000,25.16,25.174,25.12,25.12,9248,0
QBUF.US,D,20240710,000000,25.18,25.2244,25.18,25.21,951,0
QBUF.US,D,20240711,000000,25.19,25.19,25.09,25.09,760,0
QBUF.US,D,20240712,000000,25.2,25.2,25.125,25.125,674,0
QBUF.US,D,20240715,000000,25.2,25.23,25.1531,25.1531,81787,0
QBUF.US,D,20240716,000000,25.166,25.18,25.13,25.175,5324,0
QBUF.US,D,20240717,000000,25.08,25.08,24.96,24.9643,21702,0
QBUF.US,D,20240718,000000,24.93,24.94,24.87,24.9166,43348,0
QBUF.US,D,20240719,000000,24.91,24.91,24.84,24.8472,2455,0
QBUF.US,D,20240722,000000,24.96,25.02,24.93,24.98,6017,0
QBUF.US,D,20240723,000000,24.9907,25.01,24.9308,24.96,5774,0
QBUF.US,D,20240724,000000,24.7107,24.715,24.63,24.63,5953,0
QBUF.US,D,20240725,000000,24.66,24.74,24.5362,24.5362,15205,0
QBUF.US,D,20240726,000000,24.62,24.69,24.6,24.649,6675,0
QBUF.US,D,20240729,000000,24.78,24.78,24.6769,24.6769,5429,0
QBUF.US,D,20240730,000000,24.6,24.6,24.5625,24.5625,230,0
QBUF.US,D,20240731,000000,24.81,24.855,24.81,24.8254,4771,0
QBUF.US,D,20240801,000000,24.76,24.76,24.5599,24.5848,5538,0
QBUF.US,D,20240802,000000,24.3499,24.3499,24.26,24.29,730,0
QBUF.US,D,20240805,000000,23.4,23.91,23.4,23.7933,4957,0
QBUF.US,D,20240806,000000,23.985,24.3,23.985,24.075,68426,0
QBUF.US,D,20240807,000000,24.31,24.38,23.96,23.96,9069,0
QBUF.US,D,20240808,000000,24.3244,24.34,24.3007,24.3007,642,0
QBUF.US,D,20240809,000000,24.3513,24.45,24.3513,24.4099,1609,0
QBUF.US,D,20240812,000000,24.4688,24.47,24.425,24.4273,1099,0
QBUF.US,D,20240813,000000,24.65,24.73,24.6499,24.69,1713,0
QBUF.US,D,20240814,000000,24.68,24.77,24.68,24.7274,6702,0
QBUF.US,D,20240815,000000,24.854,24.99,24.854,24.9431,7563,0
QBUF.US,D,20240816,000000,24.96,25.0195,24.91,24.99,7129,0
QBUF.US,D,20240819,000000,25,25.13,24.99,25.09,11537,0
QBUF.US,D,20240820,000000,25.12,25.15,25.05,25.0796,9655,0
