<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QETAU.US,D,20231009,000000,10.1,10.12,10.09,10.11,308471,0
QETAU.US,D,20231010,000000,10.11,10.12,10.1,10.11,123990,0
QETAU.US,D,20231011,000000,10.11,10.12,10.11,10.11,208268,0
QETAU.US,D,20231012,000000,10.11,10.11,10.11,10.11,3003,0
QETAU.US,D,20231013,000000,10.11,10.12,10.11,10.11,221419,0
QETAU.US,D,20231016,000000,10.11,10.1231,10.1,10.11,41984,0
QETAU.US,D,20231017,000000,10.11,10.129,10.1,10.1,32909,0
QETAU.US,D,20231018,000000,10.12,10.12,10.1195,10.1195,342,0
QETAU.US,D,20231019,000000,10.11,10.13,10.11,10.11,51372,0
QETAU.US,D,20231020,000000,10.1199,10.1199,10.1199,10.1199,570,0
QETAU.US,D,20231023,000000,10.1,10.12,10.1,10.11,10871,0
QETAU.US,D,20231025,000000,10.1,10.11,10.1,10.11,110161,0
QETAU.US,D,20231027,000000,10.13,10.13,10.13,10.13,409,0
QETAU.US,D,20231031,000000,10.111,10.111,10.111,10.111,332,0
QETAU.US,D,20231103,000000,10.13,10.14,10.13,10.13,107469,0
QETAU.US,D,20231106,000000,10.13,10.145,10.13,10.14,62386,0
QETAU.US,D,20231107,000000,10.15,10.17,10.15,10.16,26555,0
QETAU.US,D,20231109,000000,10.16,10.16,10.16,10.16,1594,0
QETAU.US,D,20231110,000000,10.14,10.14,10.14,10.14,159605,0
QETAU.US,D,20231113,000000,10.1425,10.1425,10.14,10.14,101000,0
QETAU.US,D,20231114,000000,10.13,10.14,10.13,10.13,146285,0
QETAU.US,D,20231115,000000,10.14,10.14,10.14,10.14,25823,0
QETAU.US,D,20231116,000000,10.13,10.13,10.13,10.13,114920,0
QETAU.US,D,20231117,000000,10.1301,10.15,10.1301,10.14,1603,0
QETAU.US,D,20231120,000000,10.15,10.15,10.15,10.15,2099,0
QETAU.US,D,20231121,000000,10.14,10.14,10.13,10.14,13654,0
QETAU.US,D,20231122,000000,10.14,10.15,10.14,10.15,137526,0
QETAU.US,D,20231124,000000,10.15,10.15,10.15,10.15,2592,0
QETAU.US,D,20231127,000000,10.15,10.15,10.13,10.14,10058,0
QETAU.US,D,20231128,000000,10.14,10.1501,10.14,10.15,40195,0
QETAU.US,D,20231129,000000,10.16,10.16,10.15,10.15,198875,0
QETAU.US,D,20231130,000000,10.17,10.23,10.17,10.22,50788,0
QETAU.US,D,20231201,000000,10.96,10.96,10.18,10.19,23715,0
QETAU.US,D,20231207,000000,10.2,10.2,10.2,10.2,499,0
QETAU.US,D,20231212,000000,10.18,10.2,10.18,10.2,1219,0
QETAU.US,D,20231213,000000,10.2,10.23,10.145,10.23,1268,0
QETAU.US,D,20231214,000000,10.23,10.23,10.2043,10.2043,646,0
QETAU.US,D,20231215,000000,10.2,10.2,10.2,10.2,150,0
QETAU.US,D,20231226,000000,10.23,10.23,10.18,10.18,9120,0
QETAU.US,D,20231227,000000,10.18,10.21,10.17,10.21,3010,0
QETAU.US,D,20231228,000000,10.21,10.21,10.21,10.21,918,0
QETAU.US,D,20240102,000000,10.19,10.1901,10.19,10.19,6302,0
QETAU.US,D,20240104,000000,10.2,10.24,10.19,10.23,20523,0
QETAU.US,D,20240105,000000,10.25,10.25,10.25,10.25,9034,0
QETAU.US,D,20240112,000000,10.26,10.26,10.26,10.26,5484,0
QETAU.US,D,20240116,000000,10.26,10.26,10.26,10.26,927,0
QETAU.US,D,20240124,000000,10.27,10.27,10.27,10.27,100,0
QETAU.US,D,20240125,000000,10.26,10.26,10.26,10.26,111,0
