<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QOMO.US,D,20240409,000000,10.91,10.91,10.91,10.91,352,0
QOMO.US,D,20240415,000000,10.95,10.99,10.95,10.99,992,0
QOMO.US,D,20240417,000000,10.81,10.81,10.81,10.81,246,0
QOMO.US,D,20240514,000000,10.96,11,10.91,11,3343,0
QOMO.US,D,20240516,000000,10.9,11,10.87,11,3368,0
QOMO.US,D,20240517,000000,10.88,10.88,10.88,10.88,129,0
QOMO.US,D,20240523,000000,10.88,10.88,10.88,10.88,200,0
QOMO.US,D,20240530,000000,10.86,10.86,10.86,10.86,204,0
QOMO.US,D,20240607,000000,11,11,11,11,157,0
QOMO.US,D,20240612,000000,11.05,11.05,11.05,11.05,498,0
QOMO.US,D,20240617,000000,11.04,11.15,11.04,11.15,1197,0
QOMO.US,D,20240710,000000,11.05,11.05,11.01,11.02,34210,0
QOMO.US,D,20240711,000000,11.1,11.1,11.06,11.06,748,0
QOMO.US,D,20240712,000000,11.0375,11.05,11.01,11.01,45354,0
QOMO.US,D,20240715,000000,11,11.02,10.98,11,20992,0
QOMO.US,D,20240716,000000,10.975,11.01,10.975,11.01,1250,0
QOMO.US,D,20240718,000000,10.82,10.83,10.82,10.82,940,0
QOMO.US,D,20240722,000000,10.97,11.15,10.97,11.15,86470,0
QOMO.US,D,20240723,000000,11.1,11.1,11.1,11.1,269,0
QOMO.US,D,20240724,000000,11.06,11.15,11.0499,11.15,33693,0
QOMO.US,D,20240725,000000,11.1,11.1,11.05,11.05,16398,0
QOMO.US,D,20240726,000000,11.073,11.1,11.025,11.1,1570,0
QOMO.US,D,20240730,000000,11.04,11.42,11.04,11.42,2782,0
QOMO.US,D,20240731,000000,12.45,12.75,11.35,11.79,9984,0
QOMO.US,D,20240801,000000,12.44,12.44,11.72,11.82,3701,0
QOMO.US,D,20240805,000000,11.9999,12,11.31,11.31,1647,0
QOMO.US,D,20240806,000000,11.33,11.33,11.31,11.31,1337,0
QOMO.US,D,20240807,000000,11.45,11.45,11.25,11.45,572,0
QOMO.US,D,20240808,000000,11.26,11.72,11.26,11.72,2060,0
QOMO.US,D,20240813,000000,11.02,11.02,11.02,11.02,125,0
QOMO.US,D,20240815,000000,11.45,11.45,11.18,11.21,1804,0
QOMO.US,D,20240816,000000,11.99,13.425,11.99,12.22,2845,0
QOMO.US,D,20240819,000000,11.66,11.66,11.58,11.66,408,0
QOMO.US,D,20240829,000000,11.88,11.89,11.86,11.89,902,0
QOMO.US,D,20240905,000000,11.01,11.01,11.01,11.01,1102,0
QOMO.US,D,20240906,000000,11.4,11.4,11.4,11.4,101,0
QOMO.US,D,20240909,000000,11.16,11.74,11.15,11.62,3470,0
QOMO.US,D,20240910,000000,11.2,11.79,11.2,11.65,4303,0
QOMO.US,D,20240912,000000,11.36,11.77,11.23,11.32,5364,0
QOMO.US,D,20240913,000000,11.6,13.3,11.6,12.65,4732,0
QOMO.US,D,20240916,000000,12.5,12.97,12.35,12.35,5056,0
QOMO.US,D,20240917,000000,12.32,12.35,12.3,12.35,2641,0
QOMO.US,D,20240918,000000,11.96,12.29,11.9,11.95,4724,0
QOMO.US,D,20240919,000000,11.92,11.92,11.88,11.88,385,0
QOMO.US,D,20240920,000000,11.7,11.7,11.6,11.7,1862,0
QOMO.US,D,20240925,000000,11.6,11.6,11.6,11.6,821,0
QOMO.US,D,20240927,000000,11.55,11.75,11.5,11.5,6628,0
QOMO.US,D,20240930,000000,11.5,11.5,11.5,11.5,654,0
QOMO.US,D,20241003,000000,11.55,11.55,11.55,11.55,169,0
QOMO.US,D,20241010,000000,11.4,11.4,11.4,11.4,204,0
QOMO.US,D,20241011,000000,11.4,11.4,11.4,11.4,284,0
QOMO.US,D,20241016,000000,11.4,11.4,11.4,11.4,712,0
QOMO.US,D,20241104,000000,11.45,11.45,11.45,11.45,1605,0
QOMO.US,D,20241107,000000,11.55,11.55,11.55,11.55,100,0
