<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQLV.US,D,20241206,000000,24.96,24.96,24.8474,24.8474,2347,0
QQLV.US,D,20241209,000000,25.7,25.7,24.6007,24.6007,4432,0
QQLV.US,D,20241210,000000,24.707,24.77,24.6768,24.6768,1036,0
QQLV.US,D,20241211,000000,24.813,24.814,24.6447,24.6447,8056,0
QQLV.US,D,20241212,000000,24.66,24.705,24.5849,24.5849,1902,0
QQLV.US,D,20241213,000000,24.4688,24.4688,24.4359,24.4359,290,0
QQLV.US,D,20241216,000000,24.4905,24.4905,24.3314,24.3314,5514,0
QQLV.US,D,20241218,000000,24.16,24.16,23.711,23.711,225,0
QQLV.US,D,20241219,000000,23.78,23.78,23.4911,23.4911,648,0
QQLV.US,D,20241220,000000,23.79,23.79,23.635,23.635,856,0
QQLV.US,D,20241223,000000,23.58,23.6628,23.58,23.6628,953,0
QQLV.US,D,20241226,000000,23.8496,23.8496,23.844,23.8444,244,0
QQLV.US,D,20250103,000000,23.5988,23.599,23.5345,23.5345,1114,0
QQLV.US,D,20250106,000000,23.55,23.55,23.2925,23.2925,295,0
QQLV.US,D,20250108,000000,23.26,23.4755,23.26,23.4755,924,0
QQLV.US,D,20250110,000000,23.25,23.25,23.0832,23.0832,189,0
QQLV.US,D,20250113,000000,23.15,23.2371,23.15,23.2371,210,0
QQLV.US,D,20250115,000000,23.46,23.46,23.4233,23.4233,101,0
QQLV.US,D,20250117,000000,23.807,23.807,23.74,23.74,2035,0
QQLV.US,D,20250121,000000,23.9,23.92,23.8999,23.92,3339,0
QQLV.US,D,20250124,000000,23.54,23.695,23.54,23.695,118,0
QQLV.US,D,20250130,000000,24.071,24.1956,24.071,24.1956,304,0
QQLV.US,D,20250131,000000,24.224,24.2807,24.1361,24.1361,1412,0
QQLV.US,D,20250203,000000,24,24.274,23.946,24.2166,4906,0
QQLV.US,D,20250204,000000,24.138,24.1776,24.13,24.13,1156,0
QQLV.US,D,20250205,000000,24.21,24.4102,24.21,24.4102,1643,0
QQLV.US,D,20250206,000000,24.4854,24.5047,24.46,24.5047,225,0
QQLV.US,D,20250207,000000,24.43,24.43,24.3297,24.3297,355,0
QQLV.US,D,20250210,000000,24.4,24.49,24.4,24.4845,2072,0
QQLV.US,D,20250212,000000,24.47,24.5349,24.47,24.5349,308,0
