<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQQW.US,D,20240905,000000,23.32,23.4,23.31,23.3135,10757,0
QQQW.US,D,20240906,000000,22.925,22.925,22.12,22.12,368,0
QQQW.US,D,20240909,000000,22.4,22.6439,22.4,22.6439,206,0
QQQW.US,D,20240910,000000,23.0209,23.0209,23.0209,23.0209,105,0
QQQW.US,D,20240911,000000,24.0612,24.0612,24.0612,24.0612,6,0
QQQW.US,D,20240912,000000,24.4794,24.4794,24.4447,24.4447,571,0
QQQW.US,D,20240913,000000,24.66,24.6985,24.66,24.6985,615,0
QQQW.US,D,20240916,000000,24.3887,24.4597,24.3887,24.4597,112,0
QQQW.US,D,20240917,000000,24.4203,24.4203,24.4203,24.4203,32,0
QQQW.US,D,20240918,000000,24.47,24.47,24.2343,24.2343,109774,0
QQQW.US,D,20240919,000000,25.39,25.68,25.33,25.4791,25206,0
QQQW.US,D,20240920,000000,25.26,25.3619,25.26,25.3619,166,0
QQQW.US,D,20240923,000000,25.52,25.53,25.47,25.4995,29261,0
QQQW.US,D,20240924,000000,25.42,25.78,25.32,25.658,114498,0
QQQW.US,D,20240925,000000,25.92,25.95,25.7688,25.7688,1321,0
QQQW.US,D,20240926,000000,25.87,26.1899,25.86,26.1696,109575,0
QQQW.US,D,20240927,000000,25.78,25.81,24.82,25.7916,139521,0
QQQW.US,D,20240930,000000,25.46,26,25.45,25.9648,187432,0
QQQW.US,D,20241001,000000,25.2056,25.2056,25.2056,25.2056,177,0
QQQW.US,D,20241002,000000,25.17,25.3214,25.16,25.3214,41485,0
QQQW.US,D,20241003,000000,25.19,25.2728,25.15,25.2728,1115,0
QQQW.US,D,20241004,000000,25.72,25.8878,25.72,25.8878,4007,0
QQQW.US,D,20241007,000000,25.22,25.2584,24.89,25.2584,15681,0
QQQW.US,D,20241008,000000,25.91,26.0579,25.91,26.0579,411,0
QQQW.US,D,20241009,000000,26.01,26.4735,26.0099,26.4735,30087,0
QQQW.US,D,20241010,000000,26.31,26.39,26.28,26.3717,204658,0
QQQW.US,D,20241011,000000,26.43,26.54,26.4,26.4594,106453,0
QQQW.US,D,20241014,000000,26.74,27,26.74,26.8786,202466,0
QQQW.US,D,20241015,000000,26.92,26.92,25.96,26.1143,50552,0
QQQW.US,D,20241016,000000,26.23,26.23,26.11,26.2,11648,0
QQQW.US,D,20241017,000000,26.37,26.52,26.2161,26.2161,15899,0
QQQW.US,D,20241018,000000,26.54,26.54,26.53,26.53,168,0
QQQW.US,D,20241021,000000,26.71,26.71,26.36,26.59,1782,0
QQQW.US,D,20241022,000000,26.58,26.72,26.37,26.6732,4316,0
QQQW.US,D,20241023,000000,26.39,26.39,25.52,25.8221,486,0
QQQW.US,D,20241024,000000,26.16,26.31,26.16,26.25,13315,0
QQQW.US,D,20241025,000000,27,27,26.55,26.58,3833,0
QQQW.US,D,20241028,000000,26.63,26.63,26.5458,26.5458,2232,0
QQQW.US,D,20241029,000000,26.7989,27.16,26.7989,27.08,2532,0
QQQW.US,D,20241030,000000,26.8,26.8,26.63,26.63,124376,0
QQQW.US,D,20241031,000000,25.98,25.98,25.32,25.32,36416,0
QQQW.US,D,20241101,000000,25.81,25.81,25.69,25.69,386,0
QQQW.US,D,20241104,000000,25.62,25.62,25.48,25.506,421,0
QQQW.US,D,20241105,000000,26.03,26.1401,26.03,26.1401,316,0
QQQW.US,D,20241106,000000,27.12,27.5747,27.12,27.5747,2168,0
QQQW.US,D,20241107,000000,28.159,28.43,28.159,28.3867,40590,0
QQQW.US,D,20241108,000000,28.35,28.445,28.35,28.445,439,0
QQQW.US,D,20241111,000000,28.281,28.44,28.271,28.44,3950,0
QQQW.US,D,20241112,000000,28.42,28.42,28.27,28.2983,33165,0
QQQW.US,D,20241113,000000,28.18,28.38,28.0606,28.1932,65404,0
