<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QSIX.US,D,20240926,000000,32.29,32.29,32.0394,32.1724,5114,0
QSIX.US,D,20240927,000000,32.18,32.18,32.0206,32.0275,2034,0
QSIX.US,D,20240930,000000,32.126,32.1352,31.98,32.1352,2637,0
QSIX.US,D,20241001,000000,32.05,32.05,31.675,31.7293,1774,0
QSIX.US,D,20241002,000000,31.53,31.82,31.53,31.7563,2574,0
QSIX.US,D,20241003,000000,31.79,31.8069,31.77,31.8069,3417,0
QSIX.US,D,20241004,000000,32.12,32.1589,32.05,32.1589,766,0
QSIX.US,D,20241007,000000,31.96,31.96,31.8104,31.8104,3360,0
QSIX.US,D,20241008,000000,32.27,32.27,32.27,32.27,173,0
QSIX.US,D,20241009,000000,32.24,32.5029,32.24,32.5029,986,0
QSIX.US,D,20241010,000000,32.55,32.55,32.43,32.4595,1003,0
QSIX.US,D,20241011,000000,32.5018,32.5018,32.5018,32.5018,136,0
QSIX.US,D,20241014,000000,32.78,32.78,32.7408,32.7408,213,0
QSIX.US,D,20241015,000000,32.7,32.7,32.3285,32.3285,14842,0
QSIX.US,D,20241016,000000,32.43,32.43,32.23,32.3532,2126,0
QSIX.US,D,20241017,000000,32.72,32.72,32.3879,32.3879,1057,0
QSIX.US,D,20241018,000000,32.59,32.59,32.5584,32.59,6441,0
QSIX.US,D,20241021,000000,32.58,32.65,32.42,32.6112,7241,0
QSIX.US,D,20241022,000000,32.68,32.68,32.66,32.6643,347,0
QSIX.US,D,20241023,000000,32.5,32.5,32.07,32.22,1932,0
QSIX.US,D,20241024,000000,32.33,32.4459,32.33,32.4459,277,0
QSIX.US,D,20241025,000000,32.88,32.88,32.6055,32.6055,1045,0
QSIX.US,D,20241028,000000,32.71,32.71,32.6091,32.6091,5321,0
QSIX.US,D,20241029,000000,32.75,32.9684,32.75,32.9091,4333,0
QSIX.US,D,20241030,000000,32.89,32.9,32.695,32.695,5020,0
QSIX.US,D,20241031,000000,32.115,32.18,31.99,32.0068,5141,0
QSIX.US,D,20241104,000000,32.13,32.13,32.0524,32.0524,7371,0
QSIX.US,D,20241105,000000,32.4205,32.4205,32.4205,32.4205,66,0
QSIX.US,D,20241106,000000,33.05,33.24,33.015,33.2334,1031,0
QSIX.US,D,20241107,000000,33.66,33.76,33.63,33.72,11134,0
QSIX.US,D,20241108,000000,33.72,33.79,33.72,33.7337,1543,0
QSIX.US,D,20241111,000000,33.72,33.73,33.66,33.704,13095,0
QSIX.US,D,20241112,000000,33.72,33.72,33.513,33.6772,811,0
QSIX.US,D,20241113,000000,33.62,33.76,33.62,33.6291,1961,0
QSIX.US,D,20241114,000000,33.54,33.565,33.4047,33.4047,2154,0
QSIX.US,D,20241115,000000,32.78,32.78,32.66,32.7008,1837,0
QSIX.US,D,20241118,000000,32.85,33.03,32.7901,32.8736,10903,0
QSIX.US,D,20241119,000000,32.79,33.14,32.79,33.085,1607,0
QSIX.US,D,20241120,000000,32.93,33.073,32.92,33.073,571,0
QSIX.US,D,20241121,000000,33.33,33.33,33.19,33.2024,724,0
QSIX.US,D,20241122,000000,33.16,33.29,33.16,33.2509,1153,0
QSIX.US,D,20241125,000000,33.28,33.3163,33.17,33.2912,1251,0
QSIX.US,D,20241126,000000,33.46,33.4694,33.3698,33.4636,2754,0
QSIX.US,D,20241127,000000,33.3,33.3,33.1605,33.2037,1020,0
QSIX.US,D,20241202,000000,33.695,33.8564,33.695,33.8106,4500,0
QSIX.US,D,20241203,000000,33.85,33.9096,33.8172,33.9096,4582,0
QSIX.US,D,20241205,000000,34.26,34.26,34.1145,34.1145,503,0
QSIX.US,D,20241206,000000,34.3,34.4,34.3,34.4,38123,0
QSIX.US,D,20241209,000000,34.3599,34.3599,34.09,34.1161,3304,0
QSIX.US,D,20241210,000000,34.0612,34.0612,34.0106,34.0106,177,0
QSIX.US,D,20241211,000000,34.35,34.61,34.35,34.5898,615,0
QSIX.US,D,20241212,000000,34.4388,34.4388,34.3776,34.3776,2333,0
QSIX.US,D,20241213,000000,34.71,34.71,34.445,34.6112,3442,0
QSIX.US,D,20241216,000000,34.89,35.11,34.89,35.058,1673,0
QSIX.US,D,20241217,000000,34.8354,34.9103,34.8,34.9103,5384,0
QSIX.US,D,20241218,000000,34.93,34.93,33.77,33.8171,2357,0
QSIX.US,D,20241219,000000,33.94,33.9519,33.627,33.627,3490,0
QSIX.US,D,20241220,000000,34.14,34.14,33.819,33.819,650,0
QSIX.US,D,20241223,000000,33.89,34.1283,33.82,34.1283,1575,0
QSIX.US,D,20241224,000000,34.45,34.5141,34.45,34.5141,2036,0
QSIX.US,D,20241226,000000,34.57,34.57,34.5072,34.5072,144,0
QSIX.US,D,20241227,000000,34,34.12,33.97,34.12,542,0
QSIX.US,D,20241230,000000,33.7509,33.89,33.7244,33.7244,5565,0
QSIX.US,D,20241231,000000,33.36,33.36,33,33.0417,7067,0
QSIX.US,D,20250102,000000,33.36,33.36,32.78,32.9836,2965,0
QSIX.US,D,20250103,000000,33.3529,33.54,33.25,33.49,2718,0
QSIX.US,D,20250106,000000,33.91,33.98,33.75,33.83,2753,0
QSIX.US,D,20250107,000000,33.79,33.7901,33.2787,33.2787,858,0
QSIX.US,D,20250108,000000,33.19,33.29,33.19,33.2874,1350,0
QSIX.US,D,20250110,000000,32.95,33.02,32.74,32.84,1277,0
QSIX.US,D,20250113,000000,32.52,32.76,32.52,32.7488,2536,0
QSIX.US,D,20250114,000000,33.02,33.02,32.68,32.72,26702,0
QSIX.US,D,20250115,000000,33.34,33.41,33.32,33.395,853,0
QSIX.US,D,20250116,000000,33.39,33.39,33.18,33.18,7602,0
QSIX.US,D,20250117,000000,33.9,33.9,33.6405,33.67,1701,0
QSIX.US,D,20250121,000000,33.7,33.87,33.7,33.84,710,0
QSIX.US,D,20250122,000000,34.1838,34.29,34.1838,34.23,1228,0
QSIX.US,D,20250123,000000,35.71,35.71,34.11,34.31,4324,0
QSIX.US,D,20250124,000000,34.26,34.26,34.0502,34.1128,39846,0
QSIX.US,D,20250127,000000,33.31,33.31,33.05,33.2078,3634,0
QSIX.US,D,20250128,000000,33.25,33.69,33.25,33.6812,4482,0
QSIX.US,D,20250129,000000,33.64,33.67,33.5349,33.62,3952,0
QSIX.US,D,20250130,000000,33.69,33.76,33.65,33.7448,1438,0
QSIX.US,D,20250131,000000,34.16,34.2,33.66,33.74,5656,0
QSIX.US,D,20250203,000000,33.11,33.56,33.11,33.4815,2588,0
QSIX.US,D,20250204,000000,33.71,33.8471,33.71,33.8471,2953,0
QSIX.US,D,20250205,000000,33.72,33.9476,33.65,33.9476,13378,0
QSIX.US,D,20250206,000000,33.95,34.15,33.95,34.13,1062,0
QSIX.US,D,20250207,000000,34.14,34.14,33.735,33.735,5001,0
QSIX.US,D,20250210,000000,34.14,34.2,34.14,34.155,4206,0
QSIX.US,D,20250211,000000,34.07,34.12,33.94,34.0224,2417,0
QSIX.US,D,20250212,000000,34,34.04,34,34.01,1843,0
QSIX.US,D,20250213,000000,34.3,34.4,34.2,34.4,2203,0
