<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QYLE.US,D,20230228,000000,24.6646,24.6646,24.6646,24.6646,2,0
QYLE.US,D,20230301,000000,24.5134,24.5134,24.5134,24.5134,1,0
QYLE.US,D,20230302,000000,24.72,24.72,24.72,24.72,211,0
QYLE.US,D,20230303,000000,25.0131,25.0131,25.0131,25.0131,6,0
QYLE.US,D,20230306,000000,25.0584,25.0584,25.0584,25.0584,4,0
QYLE.US,D,20230307,000000,24.8896,24.8896,24.8896,24.8896,32,0
QYLE.US,D,20230308,000000,25.0279,25.0279,25.0279,25.0279,10,0
QYLE.US,D,20230309,000000,24.7549,24.7549,24.7549,24.7549,29,0
QYLE.US,D,20230310,000000,24.4921,24.4921,24.4921,24.4921,1,0
QYLE.US,D,20230313,000000,24.6371,24.6371,24.6371,24.6371,2,0
QYLE.US,D,20230314,000000,25.16,25.16,25.1441,25.1441,103,0
QYLE.US,D,20230315,000000,25.2125,25.2125,25.2125,25.2125,8,0
QYLE.US,D,20230316,000000,25.5269,25.5269,25.5269,25.5269,2,0
QYLE.US,D,20230317,000000,25.33,25.95,25.33,25.3977,10919,0
QYLE.US,D,20230320,000000,25.1499,25.23,25.14,25.23,602,0
QYLE.US,D,20230321,000000,25.36,25.36,25.36,25.36,6,0
QYLE.US,D,20230322,000000,25.43,25.43,25.2724,25.2724,11000,0
QYLE.US,D,20230323,000000,25.33,25.4381,25.33,25.4381,312,0
QYLE.US,D,20230324,000000,25.4877,25.4877,25.4877,25.4877,1,0
QYLE.US,D,20230327,000000,25.4731,25.4731,25.4731,25.4731,3600,0
QYLE.US,D,20230328,000000,25.4645,25.4645,25.4645,25.4645,8,0
QYLE.US,D,20230329,000000,25.6727,25.6727,25.6727,25.6727,152,0
QYLE.US,D,20230330,000000,25.76,25.76,25.76,25.76,6,0
QYLE.US,D,20230331,000000,25.85,25.85,25.85,25.85,3,0
QYLE.US,D,20230403,000000,25.8866,25.8866,25.8866,25.8866,13,0
QYLE.US,D,20230404,000000,25.8355,25.8355,25.8355,25.8355,24,0
QYLE.US,D,20230405,000000,25.8289,25.8289,25.8289,25.8289,4,0
QYLE.US,D,20230406,000000,25.8603,25.8603,25.8603,25.8603,4,0
QYLE.US,D,20230410,000000,25.69,25.8985,25.69,25.8985,1810,0
QYLE.US,D,20230411,000000,25.8707,25.8707,25.8707,25.8707,4,0
QYLE.US,D,20230412,000000,25.82,25.8639,25.81,25.8639,1833,0
QYLE.US,D,20230413,000000,25.9341,25.9341,25.9341,25.9341,8,0
QYLE.US,D,20230414,000000,25.934,25.934,25.934,25.934,8,0
QYLE.US,D,20230417,000000,25.95,25.95,25.95,25.95,26,0
QYLE.US,D,20230418,000000,26.0073,26.0073,26.0073,26.0073,9,0
QYLE.US,D,20230419,000000,25.88,25.975,25.88,25.975,125,0
QYLE.US,D,20230420,000000,26.0699,26.0699,26.012,26.012,10007,0
QYLE.US,D,20230421,000000,26.25,26.25,26.01,26.0276,301,0
QYLE.US,D,20230424,000000,25.7599,25.7599,25.7599,25.7599,64,0
QYLE.US,D,20230425,000000,25.4794,25.4794,25.4794,25.4794,10,0
QYLE.US,D,20230426,000000,25.63,25.63,25.6231,25.6231,292,0
QYLE.US,D,20230427,000000,25.8402,25.8402,25.8402,25.8402,20,0
QYLE.US,D,20230428,000000,25.9984,25.9984,25.9984,25.9984,51,0
QYLE.US,D,20230501,000000,26.09,26.09,26.0691,26.0691,121,0
QYLE.US,D,20230502,000000,25.9594,25.9594,25.9594,25.9594,4,0
QYLE.US,D,20230503,000000,25.8823,25.8823,25.8823,25.8823,187,0
QYLE.US,D,20230504,000000,25.8392,25.8392,25.8392,25.8392,20,0
QYLE.US,D,20230505,000000,26.1301,26.1301,26.1301,26.1301,2,0
QYLE.US,D,20230508,000000,26.1792,26.1792,26.1792,26.1792,60,0
QYLE.US,D,20230509,000000,26.1162,26.1162,26.1162,26.1162,39,0
QYLE.US,D,20230510,000000,26.19,26.19,26.19,26.19,5,0
QYLE.US,D,20230511,000000,26.1749,26.1749,26.1749,26.1749,22,0
