<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RADX.US,D,20241206,000000,21.99,50.82,15.8,18.9,158435,0
RADX.US,D,20241209,000000,10.7,14,9,9.18,131526,0
RADX.US,D,20241210,000000,7.05,7.93,6.4,6.58,83113,0
RADX.US,D,20241211,000000,6.29,6.37,5.68,5.73,30758,0
RADX.US,D,20241212,000000,6.49,7.39,5.7,5.8,35444,0
RADX.US,D,20241213,000000,5.6,6.2,5.52,5.63,37149,0
RADX.US,D,20241216,000000,5.0001,5.76,4.38,4.77,109835,0
RADX.US,D,20241217,000000,4.31,5.37,4.2,4.48,73735,0
RADX.US,D,20241218,000000,4.3,5,4.3,4.5,14793,0
RADX.US,D,20241219,000000,4.69,5.17,4.3259,4.46,20804,0
RADX.US,D,20241220,000000,4.94,4.94,4.38,4.39,4908,0
RADX.US,D,20241223,000000,4.27,5.1699,3.86,4.21,51773,0
RADX.US,D,20241224,000000,4.35,4.44,3.92,4.1,77773,0
RADX.US,D,20241226,000000,3.92,5,3.8,3.99,168642,0
RADX.US,D,20241227,000000,3.94,4.96,3.5501,4.67,77269,0
RADX.US,D,20241230,000000,5.04,5.61,4.55,4.8,157586,0
RADX.US,D,20241231,000000,4.47,4.59,4.105,4.49,53921,0
RADX.US,D,20250102,000000,4.4,5.05,4.3502,4.64,61806,0
RADX.US,D,20250103,000000,4.41,4.8379,4.41,4.62,20936,0
RADX.US,D,20250106,000000,4.64,4.64,4.51,4.51,15162,0
RADX.US,D,20250107,000000,4.51,4.65,4.27,4.65,7064,0
RADX.US,D,20250108,000000,4.3,4.41,3.7,4.03,59241,0
RADX.US,D,20250110,000000,3.95,5.6099,3.85,5.35,499246,0
RADX.US,D,20250113,000000,5.5,7.05,5.4501,6.24,292439,0
RADX.US,D,20250114,000000,6.7,6.894,5,5.4,194959,0
RADX.US,D,20250115,000000,5.35,5.88,5.2,5.63,93019,0
RADX.US,D,20250116,000000,5.75,5.7504,4.55,5.19,211271,0
RADX.US,D,20250117,000000,5.21,5.82,5.21,5.3405,186548,0
RADX.US,D,20250121,000000,5.5,5.5,4.86,5.21,45703,0
RADX.US,D,20250122,000000,5.515,5.7,4.8169,4.8169,235440,0
RADX.US,D,20250123,000000,5.12,5.44,4.58,4.83,43591,0
RADX.US,D,20250124,000000,5.15,5.79,4.7,4.83,94200,0
RADX.US,D,20250127,000000,4.92,4.94,4.5,4.81,109241,0
RADX.US,D,20250128,000000,5.02,5.59,4.79,4.85,37218,0
RADX.US,D,20250129,000000,5.05,5.575,4.68,4.76,94771,0
RADX.US,D,20250130,000000,4.97,4.9899,4.255,4.75,60384,0
RADX.US,D,20250131,000000,4.92,5.085,4.64,4.64,20676,0
RADX.US,D,20250203,000000,4.66,4.75,4.0565,4.43,35506,0
RADX.US,D,20250204,000000,3.98,4.46,3.96,4.45,13333,0
RADX.US,D,20250205,000000,4.7999,4.7999,4.09,4.49,18915,0
RADX.US,D,20250206,000000,4.61,5,4.45,4.69,103581,0
RADX.US,D,20250207,000000,4.9,5.07,4.662,4.9,18538,0
RADX.US,D,20250210,000000,4.96,5,4.65,4.69,19010,0
RADX.US,D,20250211,000000,4.66,4.9,4.66,4.77,10657,0
RADX.US,D,20250212,000000,4.85,4.9,4.75,4.78,6579,0
RADX.US,D,20250213,000000,4.85,4.87,4.64,4.7,10295,0
