<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAINW.US,D,20250103,000000,0.25,0.25,0.15,0.17,31789,0
RAINW.US,D,20250106,000000,0.17,0.1999,0.1,0.17,27869,0
RAINW.US,D,20250107,000000,0.3499,0.3499,0.1275,0.15,2542,0
RAINW.US,D,20250108,000000,0.1275,0.140389,0.0826,0.13,54716,0
RAINW.US,D,20250110,000000,0.13,0.15,0.1226,0.15,187913,0
RAINW.US,D,20250113,000000,0.15,0.16,0.1301,0.135,9389,0
RAINW.US,D,20250114,000000,0.16,0.16,0.11,0.13,59295,0
RAINW.US,D,20250115,000000,0.110001,0.145001,0.110001,0.145001,1000,0
RAINW.US,D,20250116,000000,0.130001,0.130001,0.130001,0.130001,333,0
RAINW.US,D,20250117,000000,0.155,0.18,0.13,0.13,5724,0
RAINW.US,D,20250129,000000,0.1201,0.1201,0.1201,0.1201,521,0
RAINW.US,D,20250130,000000,0.12,0.12,0.111,0.111,347,0
RAINW.US,D,20250203,000000,0.16,0.16,0.1105,0.1111,20928,0
RAINW.US,D,20250205,000000,0.1111,0.1278,0.11,0.11,56848,0
RAINW.US,D,20250206,000000,0.12,0.12,0.12,0.12,246,0
RAINW.US,D,20250210,000000,0.15,0.15,0.12,0.1339,5776,0
RAINW.US,D,20250211,000000,0.17,0.1774,0.11,0.125,32262,0
RAINW.US,D,20250212,000000,0.1599,0.1599,0.1303,0.1386,1743,0
RAINW.US,D,20250213,000000,0.12,0.138688,0.11,0.12,6438,0
