<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RANG.US,D,20250115,000000,9.92,9.925,9.92,9.92,145028,0
RANG.US,D,20250116,000000,9.93,9.93,9.91,9.92,1281922,0
RANG.US,D,20250117,000000,9.93,9.94,9.925,9.94,124749,0
RANG.US,D,20250121,000000,9.93,9.93,9.93,9.93,1643,0
RANG.US,D,20250122,000000,9.9374,9.94,9.935,9.94,5082,0
RANG.US,D,20250123,000000,9.93,9.94,9.93,9.94,6052,0
RANG.US,D,20250124,000000,9.9394,10.0279,9.9394,9.95,49521,0
RANG.US,D,20250127,000000,9.94,9.94,9.93,9.94,20496,0
RANG.US,D,20250128,000000,9.94,9.95,9.94,9.95,27002,0
RANG.US,D,20250129,000000,9.95,9.95,9.95,9.95,268,0
RANG.US,D,20250130,000000,9.95,9.95,9.95,9.95,6424,0
RANG.US,D,20250131,000000,9.94,9.95,9.94,9.95,50000,0
RANG.US,D,20250204,000000,9.955,9.9556,9.95,9.9501,867,0
RANG.US,D,20250205,000000,9.9582,9.96,9.95,9.95,900,0
RANG.US,D,20250206,000000,9.9584,9.96,9.95,9.95,36527,0
RANG.US,D,20250207,000000,9.96,9.96,9.96,9.96,18500,0
RANG.US,D,20250210,000000,9.96,9.96,9.96,9.96,50267,0
RANG.US,D,20250211,000000,9.96,9.97,9.96,9.96,435752,0
RANG.US,D,20250212,000000,9.96,9.97,9.96,9.965,69105,0
RANG.US,D,20250213,000000,10.3741,10.3741,9.96,9.98,286191,0
