<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCM.US,D,20170316,000000,2.75,2.75,2.67,2.75,153464,0
RCM.US,D,20170317,000000,2.75,2.9,2.7005,2.9,206449,0
RCM.US,D,20170320,000000,2.9,2.93,2.8,2.9,161168,0
RCM.US,D,20170321,000000,2.91,2.91,2.73,2.75,192875,0
RCM.US,D,20170322,000000,2.8,2.93,2.67,2.72,186965,0
RCM.US,D,20170323,000000,2.7,2.9,2.64,2.89,206580,0
RCM.US,D,20170324,000000,2.9,2.9001,2.75,2.83,147850,0
RCM.US,D,20170327,000000,2.83,2.9,2.75,2.9,203670,0
RCM.US,D,20170328,000000,2.86,2.89,2.79,2.85,151879,0
RCM.US,D,20170329,000000,2.89,2.9,2.86,2.89,172613,0
RCM.US,D,20170330,000000,2.9,3.05,2.86,2.98,608087,0
RCM.US,D,20170331,000000,3.04,3.13,2.99,3.09,519861,0
RCM.US,D,20170403,000000,3.1,3.1,3.02,3.08,159036,0
RCM.US,D,20170404,000000,3.1,3.1,3.03,3.1,104520,0
RCM.US,D,20170405,000000,3.15,3.24,3.08,3.16,89047,0
RCM.US,D,20170406,000000,3.1,3.419,3.1,3.21,387564,0
RCM.US,D,20170407,000000,3.21,3.27,3.1989,3.27,284518,0
RCM.US,D,20170410,000000,3.3,3.4,3.25,3.37,352431,0
RCM.US,D,20170411,000000,3.4,3.5,3.35,3.43,474861,0
RCM.US,D,20170412,000000,3.43,3.5,3.4,3.46,236210,0
RCM.US,D,20170413,000000,3.5,3.5,3.43,3.5,189413,0
RCM.US,D,20170417,000000,3.5,3.5,3.42,3.45,211665,0
RCM.US,D,20170418,000000,3.5,3.52,3.43,3.45,346368,0
RCM.US,D,20170419,000000,3.45,3.5153,3.435,3.48,268679,0
RCM.US,D,20170420,000000,3.5,3.6,3.4899,3.59,300066,0
RCM.US,D,20170421,000000,3.6,3.66,3.5,3.58,272780,0
RCM.US,D,20170424,000000,3.73,3.76,3.61,3.75,459448,0
RCM.US,D,20170425,000000,3.85,3.99,3.75,3.98,969234,0
RCM.US,D,20170426,000000,4,4,3.75,3.91,633283,0
RCM.US,D,20170427,000000,3.95,3.95,3.79,3.88,490960,0
RCM.US,D,20170428,000000,3.78,3.94,3.77,3.89,642342,0
RCM.US,D,20170501,000000,3.96,3.98,3.93,3.96,210866,0
RCM.US,D,20170502,000000,3.98,3.99,3.86,3.96,280711,0
RCM.US,D,20170503,000000,3.98,4,3.85,3.88,187491,0
RCM.US,D,20170504,000000,3.88,3.95,3.75,3.89,446731,0
