<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RFAIU.US,D,20240517,000000,10.07,10.09,10.05,10.05,9572366,0
RFAIU.US,D,20240520,000000,10.07,10.07,10.05,10.06,365504,0
RFAIU.US,D,20240521,000000,10.06,10.06,10.05,10.05,80589,0
RFAIU.US,D,20240522,000000,10.06,10.06,10.05,10.05,36969,0
RFAIU.US,D,20240523,000000,10.07,10.07,10.05,10.06,201361,0
RFAIU.US,D,20240524,000000,10.06,10.1,10.06,10.08,550846,0
RFAIU.US,D,20240528,000000,10.08,10.08,10.06,10.06,67013,0
RFAIU.US,D,20240529,000000,10.08,10.08,10.06,10.06,107986,0
RFAIU.US,D,20240530,000000,10.08,10.08,10.07,10.07,36352,0
RFAIU.US,D,20240531,000000,10.08,10.08,10.075,10.075,19945,0
RFAIU.US,D,20240603,000000,10.08,10.08,10.07,10.08,84909,0
RFAIU.US,D,20240604,000000,10.08,10.08,10.07,10.08,18685,0
RFAIU.US,D,20240605,000000,10.08,10.08,10.08,10.08,6728,0
RFAIU.US,D,20240606,000000,10.07,10.07,10.07,10.07,118055,0
RFAIU.US,D,20240607,000000,10.06,10.07,10.0556,10.065,31909,0
RFAIU.US,D,20240610,000000,10.06,10.07,10.06,10.065,31655,0
RFAIU.US,D,20240611,000000,10.06,10.07,10.06,10.06,425966,0
RFAIU.US,D,20240612,000000,10.065,10.07,10.06,10.07,117500,0
RFAIU.US,D,20240613,000000,10.06,10.06,10.05,10.06,145350,0
RFAIU.US,D,20240614,000000,10.06,10.06,10.04,10.05,83189,0
RFAIU.US,D,20240617,000000,10.04,10.04,10.04,10.04,312,0
RFAIU.US,D,20240618,000000,10.0606,10.0606,10.0606,10.0606,210,0
RFAIU.US,D,20240620,000000,10.05,10.07,10.05,10.06,93855,0
RFAIU.US,D,20240621,000000,10.05,10.06,10.05,10.06,8375,0
RFAIU.US,D,20240624,000000,10.05,10.06,10.05,10.05,250200,0
RFAIU.US,D,20240625,000000,10.06,10.06,10.06,10.06,400,0
RFAIU.US,D,20240626,000000,10.07,10.07,10.055,10.06,53400,0
RFAIU.US,D,20240627,000000,10.0639,10.07,10.06,10.06,12501,0
RFAIU.US,D,20240701,000000,10.07,10.07,10.065,10.07,250600,0
RFAIU.US,D,20240702,000000,10.07,10.08,10.0699,10.08,120345,0
RFAIU.US,D,20240705,000000,10.08,10.15,10.08,10.12,221893,0
RFAIU.US,D,20240708,000000,10.1201,10.1222,10.12,10.12,2265,0
RFAIU.US,D,20240709,000000,10.12,10.12,10.11,10.12,44670,0
RFAIU.US,D,20240710,000000,10.12,10.12,10.12,10.12,1000,0
RFAIU.US,D,20240711,000000,10.13,10.13,10.13,10.13,8316,0
RFAIU.US,D,20240712,000000,10.13,10.13,10.1,10.11,104622,0
RFAIU.US,D,20240715,000000,10.13,10.13,10.13,10.13,10084,0
RFAIU.US,D,20240716,000000,10.13,10.1401,10.13,10.14,10430,0
RFAIU.US,D,20240717,000000,10.14,10.15,10.14,10.15,11761,0
RFAIU.US,D,20240718,000000,10.14,10.16,10.14,10.16,2337,0
RFAIU.US,D,20240719,000000,10.15,10.15,10.15,10.15,100,0
RFAIU.US,D,20240722,000000,10.15,10.15,10.15,10.15,3132,0
RFAIU.US,D,20240723,000000,10.14,10.16,10.12,10.16,2223,0
RFAIU.US,D,20240724,000000,10.1511,10.16,10.15,10.16,50601,0
RFAIU.US,D,20240725,000000,10.15,10.155,10.15,10.15,1261,0
RFAIU.US,D,20240726,000000,10.16,10.16,10.1473,10.1473,1619,0
RFAIU.US,D,20240729,000000,10.14,10.14,10.14,10.14,166,0
RFAIU.US,D,20240730,000000,10.14,10.14,10.14,10.14,3300,0
RFAIU.US,D,20240731,000000,10.14,10.14,10.14,10.14,754,0
RFAIU.US,D,20240801,000000,10.16,10.16,10.1312,10.1312,1844,0
RFAIU.US,D,20240805,000000,10.13,10.13,10.13,10.13,123,0
RFAIU.US,D,20240806,000000,10.12,10.2,10.12,10.12,1221,0
RFAIU.US,D,20240807,000000,10.12,10.15,10.12,10.15,980,0
RFAIU.US,D,20240808,000000,10.1467,10.15,10.11,10.15,3229,0
RFAIU.US,D,20240813,000000,10.19,10.19,10.19,10.19,324,0
RFAIU.US,D,20240819,000000,10.16,10.17,10.15,10.16,111310,0
RFAIU.US,D,20240820,000000,10.17,10.17,10.17,10.17,100000,0
RFAIU.US,D,20240822,000000,10.17,10.17,10.17,10.17,2000,0
RFAIU.US,D,20240827,000000,10.16,10.1674,10.16,10.1674,504418,0
RFAIU.US,D,20240829,000000,10.161,10.161,10.161,10.161,4300,0
RFAIU.US,D,20240904,000000,10.16,10.16,10.16,10.16,200,0
RFAIU.US,D,20240906,000000,10.17,10.17,10.16,10.16,500,0
RFAIU.US,D,20240909,000000,10.16,10.16,10.16,10.16,250,0
RFAIU.US,D,20240911,000000,10.17,10.17,10.17,10.17,250,0
RFAIU.US,D,20240916,000000,10.01,10.01,10.01,10.01,11600,0
RFAIU.US,D,20240918,000000,10.1624,10.1624,10.1624,10.1624,250,0
RFAIU.US,D,20240919,000000,10.28,10.39,10.25,10.2501,1212,0
RFAIU.US,D,20240920,000000,10.28,10.28,10.28,10.28,105,0
RFAIU.US,D,20240923,000000,10.4,10.4,10.4,10.4,702,0
RFAIU.US,D,20241010,000000,10.25,10.25,10.17,10.17,3113,0
RFAIU.US,D,20241011,000000,11,11,10.15,10.15,6679,0
RFAIU.US,D,20241014,000000,10.18,10.29,10.18,10.29,600,0
RFAIU.US,D,20241028,000000,10.22,10.22,10.22,10.22,505,0
RFAIU.US,D,20241030,000000,10.4,10.4,10.4,10.4,256,0
RFAIU.US,D,20241106,000000,10.45,10.46,10.35,10.46,4164,0
RFAIU.US,D,20241107,000000,11.45,12.58,10.25,10.25,13469,0
RFAIU.US,D,20241108,000000,11.1,11.1,10.3,10.5,2804,0
RFAIU.US,D,20241111,000000,10.25,10.25,10.25,10.25,200,0
RFAIU.US,D,20241112,000000,10.6,12.03,10.31,10.39,11230,0
RFAIU.US,D,20241113,000000,11.15,11.34,10.23,10.46,14724,0
RFAIU.US,D,20241114,000000,10.25,10.35,10.25,10.35,688,0
RFAIU.US,D,20241115,000000,10.25,10.6,10.25,10.27,1513,0
RFAIU.US,D,20241120,000000,10.26,10.26,10.26,10.26,205,0
RFAIU.US,D,20241121,000000,10.22,10.26,10.22,10.26,666,0
RFAIU.US,D,20241127,000000,10.6,10.6,10.6,10.6,400,0
RFAIU.US,D,20241203,000000,10.26,10.26,10.26,10.26,247,0
RFAIU.US,D,20241216,000000,10.24,10.45,10.22,10.26,746,0
RFAIU.US,D,20241220,000000,10.26,10.26,10.26,10.26,275,0
RFAIU.US,D,20241226,000000,10.23,10.3598,10.22,10.3598,605,0
RFAIU.US,D,20250103,000000,10.26,10.26,10.26,10.26,173,0
RFAIU.US,D,20250107,000000,10.27,10.27,10.26,10.26,202,0
RFAIU.US,D,20250117,000000,10.29,10.29,10.29,10.29,798,0
RFAIU.US,D,20250203,000000,10.4,10.4,10.32,10.32,432,0
RFAIU.US,D,20250213,000000,10.33,10.33,10.33,10.33,100,0
