<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RIBBU.US,D,20250115,000000,10.02,10.03,10.01,10.01,2113055,0
RIBBU.US,D,20250116,000000,10.01,10.03,10.01,10.03,60082,0
RIBBU.US,D,20250117,000000,10.04,10.04,10.03,10.03,24231,0
RIBBU.US,D,20250122,000000,10.03,10.05,10.02,10.05,26186,0
RIBBU.US,D,20250123,000000,10.05,10.05,10.02,10.04,223434,0
RIBBU.US,D,20250124,000000,10.07,10.07,10.05,10.05,432,0
RIBBU.US,D,20250127,000000,10.05,10.06,10.05,10.06,35393,0
RIBBU.US,D,20250129,000000,10.05,10.06,10.05,10.06,12564,0
RIBBU.US,D,20250130,000000,10.05,10.0746,10.05,10.0746,800,0
RIBBU.US,D,20250131,000000,10.0526,10.08,10.0526,10.08,6048,0
RIBBU.US,D,20250203,000000,10.0789,10.09,10.0789,10.09,559,0
RIBBU.US,D,20250205,000000,10.11,10.11,10.1,10.1,251,0
RIBBU.US,D,20250206,000000,10.11,10.11,10.11,10.11,270,0
RIBBU.US,D,20250207,000000,10.0801,10.1,10.0801,10.1,535,0
RIBBU.US,D,20250210,000000,10.12,10.12,10.1,10.1,322,0
RIBBU.US,D,20250211,000000,10.1,10.11,10.1,10.11,5738,0
RIBBU.US,D,20250212,000000,10.09,10.12,10.09,10.12,2832,0
RIBBU.US,D,20250213,000000,10.1,10.12,10.1,10.12,322,0
