<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNAC.US,D,20160622,000000,422.7,489.6,422.7,422.7,34061.833299271,0
RNAC.US,D,20160623,000000,433.2,445.2,419.1,420.9,3777.1333295562,0
RNAC.US,D,20160624,000000,401.4,421.5,334.803,420,3331.7333300016,0
RNAC.US,D,20160627,000000,427.5,431.661,412.2,419.7,1120.1666655465,0
RNAC.US,D,20160628,000000,420,427.5,420,420,431.999999568,0
RNAC.US,D,20160629,000000,420,422.7,419.7,419.7,453.7666662129,0
RNAC.US,D,20160630,000000,429.6,429.6,419.7,419.7,300.9666663657,0
RNAC.US,D,20160701,000000,422.4,422.4,419.7,420.6,298.7999997012,0
RNAC.US,D,20160705,000000,419.7,422.988,419.7,420.6,173.4999998265,0
RNAC.US,D,20160706,000000,419.7,420.303,376.2,420.303,323.0333330103,0
RNAC.US,D,20160707,000000,421.2,423.9,419.25,420,2665.9333306674,0
RNAC.US,D,20160708,000000,420,434.1,420,421.5,770.666665896,0
RNAC.US,D,20160711,000000,433.5,433.5,420,420,211.5333331218,0
RNAC.US,D,20160712,000000,420,427.2,420,420,242.7333330906,0
RNAC.US,D,20160713,000000,420,425.7,420,422.7,215.0666664516,0
RNAC.US,D,20160714,000000,424.8,424.8,420,421.2,154.4999998455,0
RNAC.US,D,20160715,000000,423,423,375.9,420,414.4999995855,0
RNAC.US,D,20160718,000000,428.4,433.8,405.6,420,2550.7333307826,0
RNAC.US,D,20160719,000000,420,428.28,420,420,4122.3999958776,0
RNAC.US,D,20160720,000000,425.4,425.7,420,421.8,653.8999993461,0
RNAC.US,D,20160721,000000,420.3,425.7,419.7,420.3,1180.7999988192,0
RNAC.US,D,20160722,000000,415.8,426.9,392.1,413.1,643.3999993566,0
RNAC.US,D,20160725,000000,411.3,419.1,401.1,403.5,244.0999997559,0
RNAC.US,D,20160726,000000,398.4,407.7,377.4,378.9,529.0666661376,0
RNAC.US,D,20160727,000000,375.6,390,347.1,347.1,784.333332549,0
RNAC.US,D,20160728,000000,373.2,373.2,315.9,326.1,799.7999992002,0
RNAC.US,D,20160729,000000,326.4,346.203,323.4,331.2,142.5999998574,0
RNAC.US,D,20160801,000000,330,345.6,330,342.9,486.66666618,0
RNAC.US,D,20160802,000000,349.8,366.3,328.05,336.9,682.2666659844,0
RNAC.US,D,20160803,000000,319.5,349.5,319.5,333.3,301.5999996984,0
RNAC.US,D,20160804,000000,330.303,359.1,327.75,328.8,309.3666663573,0
RNAC.US,D,20160805,000000,365.7,365.7,332.7,354.6,60.9333332724,0
RNAC.US,D,20160808,000000,342.3,357,327,334.95,377.7333329556,0
RNAC.US,D,20160809,000000,335.997,339.3,330.3,330.3,333.999999666,0
RNAC.US,D,20160810,000000,331.2,331.2,315,319.5,162.7333331706,0
RNAC.US,D,20160811,000000,318.597,358.197,307.8,325.5,1007.333332326,0
RNAC.US,D,20160812,000000,323.1,358.2,319.5,329.4,641.333332692,0
RNAC.US,D,20160815,000000,328.5,359.7,328.5,333,541.1999994588,0
RNAC.US,D,20160816,000000,348,372.6,344.403,372.6,520.6999994793,0
RNAC.US,D,20160817,000000,372,385.8,372,385.2,217.7999997822,0
RNAC.US,D,20160818,000000,379.5,380.4,362.337,378.9,207.8666664588,0
RNAC.US,D,20160819,000000,374.7,386.1,364.53,386.1,156.66666651,0
RNAC.US,D,20160822,000000,383.7,390,376.68,389.7,76.2666665904,0
RNAC.US,D,20160823,000000,374.4,388.2,374.4,387,134.999999865,0
RNAC.US,D,20160825,000000,389.1,389.7,375.6,387.9,110.666666556,0
RNAC.US,D,20160826,000000,389.7,389.7,364.8,384.6,97.333333236,0
RNAC.US,D,20160829,000000,373.5,389.7,371.7,371.7,381.8666662848,0
RNAC.US,D,20160830,000000,387.6,387.6,383.7,384.9,53.33333328,0
RNAC.US,D,20160831,000000,389.4,389.4,360.3,360.3,145.333333188,0
RNAC.US,D,20160901,000000,372.6,372.6,361.482,361.482,94.0666665726,0
RNAC.US,D,20160902,000000,361.488,361.5,353.4,355.494,59.99999994,0
RNAC.US,D,20160906,000000,370.245,385.8,348.3,376.5,494.1333328392,0
RNAC.US,D,20160907,000000,365.7,389.4,364.8,389.4,167.0666664996,0
RNAC.US,D,20160908,000000,388.5,420,363.3,420,217.9333331154,0
RNAC.US,D,20160909,000000,390.3,423.6,366,420,127.666666539,0
RNAC.US,D,20160912,000000,417.6,417.6,390.6,393.3,203.2999997967,0
RNAC.US,D,20160913,000000,401.4,402.6,377.1,392.7,218.3666664483,0
RNAC.US,D,20160914,000000,357.9,393,354.6,393,520.0666661466,0
RNAC.US,D,20160915,000000,379.8,396,379.8,395.4,53.8333332795,0
RNAC.US,D,20160916,000000,397.2,450,390.9,390.9,3003.2333303301,0
RNAC.US,D,20160919,000000,401.4,412.05,388.8,392.4,1175.7666654909,0
RNAC.US,D,20160920,000000,396.6,412.8,382.8,397.5,658.8666660078,0
RNAC.US,D,20160921,000000,392.7,434.1,392.7,432.9,829.5333325038,0
RNAC.US,D,20160922,000000,435.6,435.6,402.12,434.4,359.99999964,0
RNAC.US,D,20160923,000000,422.4,479.7,411.852,438.75,609.3666660573,0
RNAC.US,D,20160926,000000,450.9,580.2,450.3,509.1,2542.0999974579,0
RNAC.US,D,20160927,000000,510,562.2,450.3,462,3371.3666632953,0
RNAC.US,D,20160928,000000,460.5,511.8,426.45,450,3002.6999969973,0
RNAC.US,D,20160929,000000,450,452.4,427.143,438.6,884.7333324486,0
RNAC.US,D,20160930,000000,450.6,469.8,420.9,427.5,7993.0666586736,0
RNAC.US,D,20161003,000000,431.1,450,423.3,446.4,744.1999992558,0
RNAC.US,D,20161004,000000,443.7,448.95,436.5,448.5,195.8666664708,0
RNAC.US,D,20161005,000000,444.6,457.5,410.7,431.4,4569.7999954302,0
RNAC.US,D,20161006,000000,430.2,439.8,422.7,426.3,364.0999996359,0
