<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ROCLU.US,D,20240517,000000,11.94,13.29,11.94,12.5,1709,0
ROCLU.US,D,20240520,000000,11.75,11.81,11.31,11.81,1667,0
ROCLU.US,D,20240521,000000,11.71,13.3,11.21,12.37,5248,0
ROCLU.US,D,20240522,000000,12.65,13.915,11.45,11.5,8034,0
ROCLU.US,D,20240523,000000,11.1,11.1,11.1,11.1,450,0
ROCLU.US,D,20240524,000000,12.2,12.2,12.2,12.2,102,0
ROCLU.US,D,20240529,000000,12.31,12.31,12.15,12.2,1541,0
ROCLU.US,D,20240530,000000,11.2,12.01,11.2,11.8,4580,0
ROCLU.US,D,20240531,000000,11.52,11.995,11.5,11.995,1263,0
ROCLU.US,D,20240604,000000,12.37,12.37,12.37,12.37,1813,0
ROCLU.US,D,20240605,000000,12.41,12.41,11.71,12,2548,0
ROCLU.US,D,20240606,000000,12.85,12.85,12,12,1207,0
ROCLU.US,D,20240607,000000,11.22,11.85,11,11.85,3306,0
ROCLU.US,D,20240610,000000,11.78,12.9,11.46,11.54,20246,0
ROCLU.US,D,20240611,000000,12,12,11.55,11.9,6619,0
ROCLU.US,D,20240612,000000,11.51,11.9,11.36,11.42,8353,0
ROCLU.US,D,20240613,000000,11.1,11.31,11.1,11.17,1966,0
ROCLU.US,D,20240614,000000,11.01,11.02,11,11.01,1594,0
ROCLU.US,D,20240618,000000,10.91,10.91,10.91,10.91,101,0
ROCLU.US,D,20240621,000000,10.99,11.4,10.99,11.35,1211,0
ROCLU.US,D,20240702,000000,11.4,11.4,11.4,11.4,148,0
ROCLU.US,D,20240703,000000,11.99,11.99,11.99,11.99,292,0
ROCLU.US,D,20240705,000000,12.5,12.5,11.5,11.5,999,0
ROCLU.US,D,20240708,000000,11.4,11.4,11.4,11.4,102,0
ROCLU.US,D,20240709,000000,11.89,11.89,11.61,11.61,1305,0
ROCLU.US,D,20240710,000000,12,12.4,11.06,11.4,2126,0
ROCLU.US,D,20240711,000000,11.1,11.1,11.05,11.06,2868,0
ROCLU.US,D,20240715,000000,11.01,11.03,11,11,1601,0
ROCLU.US,D,20240719,000000,11.13,12.18,11.13,11.26,460,0
ROCLU.US,D,20240725,000000,11.94,11.94,11.94,11.94,140,0
ROCLU.US,D,20240805,000000,11.39,11.49,11.39,11.42,2130,0
ROCLU.US,D,20240806,000000,11.4,11.4,11.37,11.37,553,0
ROCLU.US,D,20240807,000000,11.16,11.4,11.16,11.4,2452,0
ROCLU.US,D,20240820,000000,12.29,12.29,12.29,12.29,100,0
ROCLU.US,D,20240821,000000,11.51,11.51,11.49,11.49,577,0
ROCLU.US,D,20240827,000000,11.11,11.11,11.11,11.11,450,0
ROCLU.US,D,20240828,000000,11.22,11.22,11.22,11.22,150,0
ROCLU.US,D,20240830,000000,11.49,11.9,11.37,11.81,601,0
ROCLU.US,D,20241025,000000,11.11,11.4,11.03,11.34,2533,0
ROCLU.US,D,20241028,000000,11.9,11.9,11.9,11.9,100,0
ROCLU.US,D,20241112,000000,11.16,11.8,11.16,11.8,600,0
ROCLU.US,D,20241119,000000,11.49,11.49,11.49,11.49,504,0
ROCLU.US,D,20241121,000000,11.15,11.25,11.15,11.25,404,0
ROCLU.US,D,20241127,000000,11.29,11.29,11.29,11.29,200,0
ROCLU.US,D,20241206,000000,11.73,11.77,11.55,11.55,404,0
