<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEIE.US,D,20241015,000000,26.38,26.38,25.1,25.1183,39964,0
SEIE.US,D,20241016,000000,25.3,25.3,25.12,25.21,59805,0
SEIE.US,D,20241017,000000,25.19,25.37,25.18,25.2022,54266,0
SEIE.US,D,20241018,000000,25.28,25.4,25.28,25.36,10776,0
SEIE.US,D,20241021,000000,25.23,25.24,25.0344,25.0344,11378,0
SEIE.US,D,20241022,000000,24.91,24.96,24.87,24.9078,26581,0
SEIE.US,D,20241023,000000,24.72,24.74,24.53,24.6406,12294,0
SEIE.US,D,20241024,000000,24.84,24.85,24.71,24.7806,19362,0
SEIE.US,D,20241025,000000,24.85,24.91,24.7069,24.7069,12511,0
SEIE.US,D,20241028,000000,24.83,25,24.83,24.927,18554884,0
SEIE.US,D,20241029,000000,24.8,24.85,24.75,24.7918,19164,0
SEIE.US,D,20241030,000000,24.71,24.85,24.6,24.65,19936,0
SEIE.US,D,20241031,000000,24.61,24.61,24.26,24.4642,35146,0
SEIE.US,D,20241101,000000,24.74,24.75,24.52,24.53,33427,0
SEIE.US,D,20241104,000000,24.78,24.85,24.57,24.6403,67195,0
SEIE.US,D,20241105,000000,24.83,24.91,24.68,24.85,31001,0
SEIE.US,D,20241106,000000,24.47,24.56,24.38,24.4876,22811,0
SEIE.US,D,20241107,000000,24.82,24.89,24.69,24.8203,21910,0
SEIE.US,D,20241108,000000,24.61,24.61,24.34,24.477,27748,0
SEIE.US,D,20241111,000000,24.55,24.58,24.46,24.505,23653,0
SEIE.US,D,20241112,000000,24.31,24.31,23.95,24.0914,37898,0
SEIE.US,D,20241113,000000,23.93,24.07,23.87,23.9545,33972,0
SEIE.US,D,20241114,000000,23.97,24.12,23.88,23.9178,60374,0
SEIE.US,D,20241115,000000,23.99,23.99,23.85,23.92,28265,0
SEIE.US,D,20241118,000000,23.87,24.1,23.83,24,44386,0
SEIE.US,D,20241119,000000,23.96,24.02,23.78,23.9768,40441,0
SEIE.US,D,20241120,000000,23.78,23.96,23.76,23.9103,56279,0
SEIE.US,D,20241121,000000,23.91,23.99,23.85,23.9437,27053,0
SEIE.US,D,20241122,000000,23.95,24.05,23.91,24.0024,72167,0
SEIE.US,D,20241125,000000,24.23,24.26,24.04,24.123,27133,0
SEIE.US,D,20241126,000000,24.02,24.08,23.85,23.995,54970,0
SEIE.US,D,20241127,000000,24.18,24.2,23.92,24.175,53076,0
SEIE.US,D,20241129,000000,24.3,24.5011,24.3,24.5011,14332,0
SEIE.US,D,20241202,000000,24.51,24.62,24.37,24.555,107053,0
SEIE.US,D,20241203,000000,24.59,24.83,24.59,24.715,153386,0
SEIE.US,D,20241204,000000,24.69,24.84,24.67,24.735,96120,0
SEIE.US,D,20241205,000000,24.9172,25.03,24.88,24.9337,88114,0
SEIE.US,D,20241206,000000,25.06,25.06,24.83,24.915,28427,0
SEIE.US,D,20241209,000000,25.05,25.06,24.8,24.85,44053,0
