<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEZL.US,D,20230914,000000,21.87,36.555,15.4,15.81,158608,0
SEZL.US,D,20230915,000000,15.85,15.85,13.34,13.42,59414,0
SEZL.US,D,20230918,000000,12.68,16.17,11.3301,12.93,118877,0
SEZL.US,D,20230919,000000,20.41,24.7,16.32,17.4,1738278,0
SEZL.US,D,20230920,000000,14.81,15.8,12.8001,14.39,140490,0
SEZL.US,D,20230921,000000,12.86,14.65,11.9439,14.2,52741,0
SEZL.US,D,20230922,000000,13.65,14.8,12.85,13.42,56428,0
SEZL.US,D,20230925,000000,13.1627,14.5365,12.75,13.2601,25568,0
SEZL.US,D,20230926,000000,12.99,13.585,12.49,13.25,79524,0
SEZL.US,D,20230927,000000,12.66,13.8,12.66,13.15,8882,0
SEZL.US,D,20230928,000000,12.6,14.37,12.59,13.25,43054,0
SEZL.US,D,20230929,000000,13.28,13.69,12.8,13.12,31742,0
SEZL.US,D,20231002,000000,13.22,13.6,12.55,12.9,26179,0
SEZL.US,D,20231003,000000,12.9,12.9,11.75,12.25,8394,0
SEZL.US,D,20231004,000000,11,12,10,11.51,14197,0
SEZL.US,D,20231005,000000,11.35,11.889,11.07,11.32,15696,0
SEZL.US,D,20231006,000000,11.65,12.05,10.895,11.3,16899,0
SEZL.US,D,20231009,000000,11.55,11.6,11.04,11.14,3696,0
SEZL.US,D,20231010,000000,10.56,11.03,10.56,10.7,2283,0
SEZL.US,D,20231011,000000,10.4,12.0873,10.4,10.975,18901,0
SEZL.US,D,20231012,000000,11.15,11.4449,10.56,10.61,9307,0
SEZL.US,D,20231013,000000,10.78,10.78,10.4,10.4,3238,0
SEZL.US,D,20231016,000000,10.49,11.04,10.07,10.9,8070,0
SEZL.US,D,20231017,000000,11.135,11.98,10.615,10.64,9233,0
SEZL.US,D,20231018,000000,10.65,11.82,10.65,10.8,16265,0
SEZL.US,D,20231019,000000,11.25,11.274,10.5,11.274,4203,0
SEZL.US,D,20231020,000000,11.27,11.27,11.27,11.27,1076,0
SEZL.US,D,20231023,000000,11,11,10.42,10.42,1480,0
SEZL.US,D,20231024,000000,10.42,10.57,9.65,10,7011,0
SEZL.US,D,20231025,000000,10.271,10.4,9.76,9.9045,6409,0
SEZL.US,D,20231026,000000,8.85,9.3854,7.15,8.3,22113,0
SEZL.US,D,20231027,000000,7.9,9.25,7.405,8.145,30704,0
SEZL.US,D,20231030,000000,8.15,9.695,8,9.1813,35560,0
SEZL.US,D,20231031,000000,9.065,9.55,8.88,9,14838,0
SEZL.US,D,20231101,000000,8.8,10,8.6045,9.5,22573,0
SEZL.US,D,20231102,000000,8.84,9.6699,8.79,9.235,5513,0
SEZL.US,D,20231103,000000,9.45,9.5,9.15,9.5,3006,0
SEZL.US,D,20231106,000000,9.98,9.98,8.8,9.3,7522,0
SEZL.US,D,20231107,000000,9.9178,9.9178,9.64,9.8,1330,0
SEZL.US,D,20231108,000000,9.01,10,9.01,9.67,2466,0
SEZL.US,D,20231109,000000,9.94,10.2,9.94,10.122,2065,0
SEZL.US,D,20231110,000000,10.78,13.76,10.3001,10.75,94964,0
SEZL.US,D,20231113,000000,10,10.9999,10,10.5,4977,0
SEZL.US,D,20231114,000000,10.482,12.28,10.482,12,9000,0
SEZL.US,D,20231115,000000,11.8,12.11,10.74,11.405,16532,0
SEZL.US,D,20231116,000000,11.33,11.86,11.33,11.51,6438,0
SEZL.US,D,20231117,000000,11.5,12.0348,11.1999,11.2,20981,0
SEZL.US,D,20231120,000000,10.93,11.7,10.515,10.98,24842,0
SEZL.US,D,20231121,000000,10.2197,10.63,9.93,10.2,22476,0
SEZL.US,D,20231122,000000,10,11.48,9.9,10.66,29452,0
SEZL.US,D,20231124,000000,10.66,10.66,10.0101,10.2,17809,0
SEZL.US,D,20231127,000000,10.2,10.6925,9.7501,10.225,60457,0
SEZL.US,D,20231128,000000,10.29,11.3655,10.27,10.4,20630,0
SEZL.US,D,20231129,000000,10.5,10.78,10,10.13,13031,0
SEZL.US,D,20231130,000000,10.13,10.4387,9.85,9.99,27055,0
SEZL.US,D,20231201,000000,9.99,10.52,9.75,10,15002,0
SEZL.US,D,20231204,000000,10,10.23,9.9288,10.1,25170,0
SEZL.US,D,20231205,000000,9.95,10.3,9.94,10.1,33681,0
SEZL.US,D,20231206,000000,10.5,11.24,10.48,10.7,28204,0
SEZL.US,D,20231207,000000,10.88,11.24,10.7227,11.2,7759,0
SEZL.US,D,20231208,000000,11.24,13.7999,11.16,12.45,45198,0
SEZL.US,D,20231211,000000,12.09,12.5802,11.06,12.1655,25781,0
SEZL.US,D,20231212,000000,12.33,13,12.31,12.4,23147,0
SEZL.US,D,20231213,000000,12.4,13.9588,12.4,13,46930,0
SEZL.US,D,20231214,000000,13.61,15.7954,12.93,13.65,41813,0
SEZL.US,D,20231215,000000,13.81,16,13.3001,14.48,114114,0
SEZL.US,D,20231218,000000,14.96,15.9257,14.27,14.9,35706,0
SEZL.US,D,20231219,000000,14.8449,19.4499,14.83,19,67479,0
SEZL.US,D,20231220,000000,18.56,19,16.52,17,58320,0
SEZL.US,D,20231221,000000,16.8,18,15,17.47,44765,0
SEZL.US,D,20231222,000000,18.82,27.4799,17.25,24.41,269481,0
SEZL.US,D,20231226,000000,24.5,25.35,18.67,19.18,161462,0
SEZL.US,D,20231227,000000,19.36,21.91,18.62,19.16,54366,0
SEZL.US,D,20231228,000000,18.99,22.99,18.62,19.48,71385,0
SEZL.US,D,20231229,000000,20.07,22.34,19.5,20.52,136096,0
SEZL.US,D,20240102,000000,21,22.4453,20.44,21.4,72192,0
SEZL.US,D,20240103,000000,21.4,21.5775,20.495,21.2,31175,0
SEZL.US,D,20240104,000000,21.2,22.0872,20.2,20.2,44548,0
SEZL.US,D,20240105,000000,19.5,19.98,18.4901,19.6,72977,0
SEZL.US,D,20240108,000000,18.5,18.7612,17.01,18.69,72536,0
SEZL.US,D,20240109,000000,18.5,18.5,16.32,16.84,43920,0
SEZL.US,D,20240110,000000,16.5,17.3475,16.23,16.49,42876,0
SEZL.US,D,20240111,000000,17.16,18.51,16.7,17,85563,0
SEZL.US,D,20240112,000000,16.72,19.66,16.7,18.26,45213,0
SEZL.US,D,20240116,000000,18.26,20.8899,18.23,20.75,34822,0
SEZL.US,D,20240117,000000,22.14,24.9699,20.83,24.3,66771,0
SEZL.US,D,20240118,000000,25.15,34.99,25.05,31.63,210274,0
SEZL.US,D,20240119,000000,32.23,39,31.0101,36.86,117099,0
SEZL.US,D,20240122,000000,39.09,42,35.439,36.81,122621,0
SEZL.US,D,20240123,000000,36.5,37.1,31.82,33.38,55401,0
SEZL.US,D,20240124,000000,33.37,33.78,31.27,31.27,17654,0
SEZL.US,D,20240125,000000,30.78,35.2974,30.41,33.26,30314,0
SEZL.US,D,20240126,000000,33.6,35.6143,33,34.74,16434,0
SEZL.US,D,20240129,000000,35.43,42.1,35.0066,40.2,58366,0
SEZL.US,D,20240130,000000,40,41.7099,37.01,38.96,29186,0
SEZL.US,D,20240131,000000,38.9,39.33,36.56,37.99,13571,0
SEZL.US,D,20240201,000000,37.51,48.99,37.47,44,89869,0
SEZL.US,D,20240202,000000,45.12,45.8599,39.88,42.4,39277,0
SEZL.US,D,20240205,000000,41.38,42.8195,38.505,38.81,69391,0
SEZL.US,D,20240206,000000,38.49,42,37.61,39,50319,0
SEZL.US,D,20240207,000000,39,41.7643,39,40.51,35835,0
SEZL.US,D,20240208,000000,41.25,42.4499,40.25,42.34,14907,0
SEZL.US,D,20240209,000000,42.5,44.994,40.5511,43.52,36484,0
SEZL.US,D,20240212,000000,42.88,49.3,42.88,47,41256,0
SEZL.US,D,20240213,000000,45.06,47.1199,45.052,45.65,10733,0
SEZL.US,D,20240214,000000,46.85,52.06,46.25,48.95,24685,0
SEZL.US,D,20240215,000000,48.95,51.49,48.25,48.5,13764,0
SEZL.US,D,20240216,000000,50.15,50.75,49.02,49.78,10797,0
SEZL.US,D,20240220,000000,50.19,58,49,50.94,75544,0
SEZL.US,D,20240221,000000,52,52.3,40.9,46.39,36038,0
SEZL.US,D,20240222,000000,45.49,49,38.22,38.26,51748,0
SEZL.US,D,20240223,000000,38.51,44.49,38.51,42.68,23516,0
SEZL.US,D,20240226,000000,43.18,49.855,43.18,48.25,45232,0
SEZL.US,D,20240227,000000,55.01,59.5925,51,57.9,107763,0
SEZL.US,D,20240228,000000,60,60,49.68,52.51,33752,0
SEZL.US,D,20240229,000000,51,51,43.07,46.86,59524,0
SEZL.US,D,20240301,000000,45.01,47.49,43.8,45.13,30753,0
SEZL.US,D,20240304,000000,44.67,53,44.67,51.84,93604,0
SEZL.US,D,20240305,000000,51,55.432,50.1,52.62,59844,0
SEZL.US,D,20240306,000000,54.48,55.7762,53.66,55.57,22955,0
SEZL.US,D,20240307,000000,55.57,67.9477,51.8001,65.52,81127,0
SEZL.US,D,20240308,000000,67.45,69.98,59.225,60.73,47921,0
SEZL.US,D,20240311,000000,60,62.01,53.24,53.75,34973,0
SEZL.US,D,20240312,000000,52.5,60.745,50.2,58.89,28837,0
SEZL.US,D,20240313,000000,57.08,59.7933,56,58.35,42408,0
SEZL.US,D,20240314,000000,56.57,59.99,56.57,59.99,43545,0
SEZL.US,D,20240315,000000,59,60.665,53.135,58.16,85190,0
SEZL.US,D,20240318,000000,56.58,59.676,55.01,59.19,50893,0
SEZL.US,D,20240319,000000,58.5,63.79,57.99,63.79,73658,0
SEZL.US,D,20240320,000000,61.55,64.75,61.2021,64.49,21652,0
SEZL.US,D,20240321,000000,62.81,65.64,62.81,65.64,21018,0
SEZL.US,D,20240322,000000,67.19,77.365,66.295,75.01,148137,0
SEZL.US,D,20240325,000000,73.75,80.8449,72.75,79.25,65524,0
SEZL.US,D,20240326,000000,78,89.54,78,87,82919,0
SEZL.US,D,20240327,000000,90,100,84.0883,92.5,114002,0
SEZL.US,D,20240328,000000,92,92,77,84.49,258284,0
SEZL.US,D,20240401,000000,82.75,82.75,60.51,68.26,121469,0
SEZL.US,D,20240402,000000,67.64,67.64,61,65.46,44856,0
SEZL.US,D,20240403,000000,65.2,77.1636,63.03,74.78,52497,0
SEZL.US,D,20240404,000000,77.48,78.76,63.79,65.1,52277,0
SEZL.US,D,20240405,000000,65.38,73,63,67.96,26671,0
SEZL.US,D,20240408,000000,68.47,72.99,64.87,72.24,30825,0
SEZL.US,D,20240409,000000,74.01,78.35,72,72.48,38713,0
SEZL.US,D,20240410,000000,72.99,72.99,66.2933,68.7,46172,0
SEZL.US,D,20240411,000000,67.1,71.06,66.7009,67.61,26519,0
SEZL.US,D,20240412,000000,65.77,70.65,65,65.15,27024,0
SEZL.US,D,20240415,000000,67.1,68.19,63,65.21,23632,0
SEZL.US,D,20240416,000000,63,65.3,57.195,60.19,53385,0
SEZL.US,D,20240417,000000,57.61,66.09,57.2,64.36,59968,0
SEZL.US,D,20240418,000000,60.78,67.25,57.365,58.75,114731,0
SEZL.US,D,20240419,000000,55.99,59.48,51.1,55.47,85237,0
SEZL.US,D,20240422,000000,55.32,55.32,47.73,49.3,90139,0
SEZL.US,D,20240423,000000,49.29,57.605,47.325,55.85,121683,0
SEZL.US,D,20240424,000000,54.3,58.8,53.71,54.6,96940,0
SEZL.US,D,20240425,000000,53.94,56,51,52.56,68123,0
SEZL.US,D,20240426,000000,53.03,62,52.85,58.99,95573,0
SEZL.US,D,20240429,000000,59.99,61.45,52.01,54.66,106823,0
SEZL.US,D,20240430,000000,54.01,54.48,49.66,50.63,99056,0
SEZL.US,D,20240501,000000,49.84,51.475,43.91,49.65,106948,0
SEZL.US,D,20240502,000000,50.12,51.8421,47.96,51.71,95836,0
SEZL.US,D,20240503,000000,52.99,54.94,49.535,50.48,79267,0
SEZL.US,D,20240506,000000,49.78,52.9,48.71,50.63,88467,0
SEZL.US,D,20240507,000000,51.41,51.41,43.04,43.85,154277,0
SEZL.US,D,20240508,000000,43.01,46.0299,40.39,44.74,143352,0
SEZL.US,D,20240509,000000,65,83.99,62.77,78.59,779634,0
SEZL.US,D,20240510,000000,77,84.5875,74.5,83.74,184708,0
SEZL.US,D,20240513,000000,81.23,84.54,77.4,78.1,110784,0
SEZL.US,D,20240514,000000,82.38,82.38,67.27,70.6,147551,0
SEZL.US,D,20240515,000000,70.6,73.95,66.5,71.84,48467,0
SEZL.US,D,20240516,000000,72.5,75.3621,68.06,68.73,67304,0
SEZL.US,D,20240517,000000,68.04,71.02,64.14,66.91,73357,0
SEZL.US,D,20240520,000000,66.91,74.99,66.8,74.18,38357,0
SEZL.US,D,20240521,000000,74.5,77.02,73.41,76.67,22618,0
SEZL.US,D,20240522,000000,75.18,75.18,66.5,68.04,44830,0
SEZL.US,D,20240523,000000,70,70,65,68.235,24655,0
SEZL.US,D,20240524,000000,67.01,70,64.555,69.22,72357,0
SEZL.US,D,20240528,000000,70,72.67,67.215,69.16,71568,0
SEZL.US,D,20240529,000000,68.25,78.8,67.925,78.8,91239,0
SEZL.US,D,20240530,000000,77.01,83.56,77.01,81.17,77430,0
SEZL.US,D,20240531,000000,79.83,82,76,80.18,73582,0
SEZL.US,D,20240603,000000,80,81.3215,73.59,77.68,32712,0
SEZL.US,D,20240604,000000,78.66,83.7844,76.785,80.07,49777,0
SEZL.US,D,20240605,000000,78.81,90.82,78.81,89.86,77072,0
SEZL.US,D,20240606,000000,89.1,95,87.7253,93.5,121001,0
SEZL.US,D,20240607,000000,88.35,90.1299,82.2216,85.65,101765,0
SEZL.US,D,20240610,000000,83.78,85,79,79.02,58986,0
SEZL.US,D,20240611,000000,78.22,79.61,70.2901,72.05,128671,0
SEZL.US,D,20240612,000000,73.45,76.63,69.01,70.85,61145,0
SEZL.US,D,20240613,000000,70.83,76,70,76,102067,0
SEZL.US,D,20240614,000000,77.95,83.99,77.49,81.26,67951,0
SEZL.US,D,20240617,000000,79.98,83.855,78.41,80.5,78534,0
SEZL.US,D,20240618,000000,80.5,85.29,79.755,82.85,83385,0
SEZL.US,D,20240620,000000,84,88.17,81.5739,85.36,116903,0
SEZL.US,D,20240621,000000,84.5,84.5,75.05,81.06,152900,0
SEZL.US,D,20240624,000000,77.01,80.57,72.01,79.42,103887,0
SEZL.US,D,20240625,000000,77.11,83.17,76.24,81.52,123316,0
SEZL.US,D,20240626,000000,85.6,88,80.3,82,122649,0
SEZL.US,D,20240627,000000,81.5,89.5299,81.33,87.93,123766,0
SEZL.US,D,20240628,000000,85.74,89.365,84.35,88.22,435381,0
SEZL.US,D,20240701,000000,86.76,91.063,83,88.95,115005,0
SEZL.US,D,20240702,000000,87,88.95,80.69,88.89,155231,0
SEZL.US,D,20240703,000000,88,91.04,87.38,90.2,100066,0
SEZL.US,D,20240705,000000,91.5,92.3693,87,89.93,120891,0
SEZL.US,D,20240708,000000,90.28,91.05,85.01,89.21,108908,0
SEZL.US,D,20240709,000000,89.31,98.32,89.1,95.24,172032,0
SEZL.US,D,20240710,000000,96.65,97,81,81.98,156177,0
SEZL.US,D,20240711,000000,77.76,84.2,74.55,82.18,126546,0
SEZL.US,D,20240712,000000,83.09,88.305,80.86,87.58,82821,0
SEZL.US,D,20240715,000000,87.58,89,82.68,85.65,91695,0
SEZL.US,D,20240716,000000,88,91.5,85.23,91.35,63409,0
SEZL.US,D,20240717,000000,90.81,92.15,86.75,90,59637,0
SEZL.US,D,20240718,000000,89.82,91,84.0538,84.33,44144,0
SEZL.US,D,20240719,000000,87.59,87.59,82.89,83.49,31597,0
SEZL.US,D,20240722,000000,83,86.43,82.23,85.46,18008,0
SEZL.US,D,20240723,000000,85.4,87.9,85.28,87.59,33256,0
SEZL.US,D,20240724,000000,87.19,87.19,83,83.85,42249,0
SEZL.US,D,20240725,000000,83.31,84.87,79.3,82.65,34897,0
SEZL.US,D,20240726,000000,84.75,86.44,82.86,85.23,17621,0
SEZL.US,D,20240729,000000,84.77,89.5,81.71,81.77,38155,0
SEZL.US,D,20240730,000000,82.57,84.26,78.2509,79.99,35298,0
SEZL.US,D,20240731,000000,81.59,87.69,81.41,87.46,33450,0
SEZL.US,D,20240801,000000,85.935,87.74,77.01,77.02,49158,0
SEZL.US,D,20240802,000000,76.95,77.5,70.0001,77.1,57059,0
SEZL.US,D,20240805,000000,70.96,76.5799,70.95,73.75,38016,0
