<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFD.US,D,20250128,000000,21.05,21.2,19.1,19.75,12165197,0
SFD.US,D,20250129,000000,19.75,20.69,19.68,20.49,3094343,0
SFD.US,D,20250130,000000,20.75,21.82,20.52,21.79,3250156,0
SFD.US,D,20250131,000000,22,22.03,21.05,21.5,1881255,0
SFD.US,D,20250203,000000,21.64,22.01,20.85,21.82,1817992,0
SFD.US,D,20250204,000000,21.76,21.82,21.205,21.48,723301,0
SFD.US,D,20250205,000000,21.5,21.55,20.67,21.13,891969,0
SFD.US,D,20250206,000000,20.69,20.98,20.1,20.7,1317638,0
SFD.US,D,20250207,000000,20.7,21.25,20.6,21.12,559487,0
SFD.US,D,20250210,000000,21.33,21.5,21.1,21.26,442960,0
SFD.US,D,20250211,000000,21.02,21.31,20.63,21.26,594480,0
SFD.US,D,20250212,000000,20.87,21.51,20.81,21.5,361762,0
SFD.US,D,20250213,000000,21.55,21.55,21.13,21.18,292814,0
