<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHFS.US,D,20210823,000000,9.88,10.44,9.86,10,402030,0
SHFS.US,D,20210824,000000,10.09,10.67,9.93,9.93,900,0
SHFS.US,D,20210825,000000,9.91,9.91,9.9,9.9,2254,0
SHFS.US,D,20210831,000000,9.91,9.91,9.91,9.91,3907,0
SHFS.US,D,20210901,000000,9.91,9.91,9.91,9.91,17800,0
SHFS.US,D,20210903,000000,9.95,9.95,9.95,9.95,25878,0
SHFS.US,D,20210907,000000,9.91,9.965,9.91,9.965,313,0
SHFS.US,D,20210910,000000,9.97,9.97,9.97,9.97,25107,0
SHFS.US,D,20210914,000000,9.96,9.96,9.76,9.93,29078,0
SHFS.US,D,20210916,000000,9.93,9.96,9.9,9.96,224833,0
SHFS.US,D,20210920,000000,9.97,9.97,9.97,9.97,612,0
SHFS.US,D,20210921,000000,9.96,9.96,9.96,9.96,74046,0
SHFS.US,D,20210923,000000,9.98,9.98,9.98,9.98,2400,0
SHFS.US,D,20210927,000000,10,10,10,10,4147,0
SHFS.US,D,20210928,000000,9.99,10.04,9.99,10.03,3736,0
SHFS.US,D,20210929,000000,9.98,9.98,9.98,9.98,1759,0
SHFS.US,D,20210930,000000,10.01,10.01,10.01,10.01,266,0
SHFS.US,D,20211001,000000,9.99,10.03,9.99,10.03,3945,0
SHFS.US,D,20211004,000000,10.08,10.08,10.08,10.08,488,0
SHFS.US,D,20211005,000000,10.06,10.06,10.06,10.06,151,0
SHFS.US,D,20211006,000000,10,10,10,10,164,0
SHFS.US,D,20211007,000000,10.03,10.03,10.03,10.03,252,0
SHFS.US,D,20211014,000000,10.06,10.06,10.01,10.01,250026,0
SHFS.US,D,20211025,000000,10.1,10.145,10.05,10.05,30553,0
SHFS.US,D,20211027,000000,10.08,10.08,10.08,10.08,102,0
SHFS.US,D,20211029,000000,10.04,10.06,10.01,10.01,2007,0
SHFS.US,D,20211110,000000,10.01,10.01,10.01,10.01,301,0
SHFS.US,D,20211116,000000,10.155,10.2899,10.08,10.1257,12427,0
SHFS.US,D,20211117,000000,10.13,10.13,10.1,10.115,4739,0
SHFS.US,D,20211118,000000,10.12,10.2399,10.11,10.12,1556,0
SHFS.US,D,20211119,000000,10.11,11.13,10.02,10.095,9988,0
SHFS.US,D,20211122,000000,10.1,10.1,10.08,10.08,2352,0
SHFS.US,D,20211123,000000,10.09,10.09,10.09,10.09,648,0
SHFS.US,D,20211124,000000,10.05,10.07,10.05,10.05,3524,0
SHFS.US,D,20211129,000000,10.09,10.09,10.03,10.09,3731,0
SHFS.US,D,20211130,000000,10.06,10.13,10.04,10.0402,12279,0
SHFS.US,D,20211201,000000,10.0691,10.0691,10,10,4199,0
SHFS.US,D,20211206,000000,10.01,10.01,10.01,10.01,26038,0
SHFS.US,D,20211207,000000,10.02,10.02,10.01,10.01,22101,0
SHFS.US,D,20211208,000000,10,10.0532,10,10.0532,1455,0
SHFS.US,D,20211209,000000,10,10.06,10,10.05,2514,0
SHFS.US,D,20211210,000000,10.01,10.02,10.01,10.02,428,0
SHFS.US,D,20211213,000000,10,10.0001,10,10.0001,1109,0
SHFS.US,D,20211214,000000,10.05,10.09,10.05,10.07,1958,0
SHFS.US,D,20211215,000000,10.07,10.07,10.07,10.07,100,0
SHFS.US,D,20211217,000000,10.02,10.02,10.02,10.02,412,0
SHFS.US,D,20211220,000000,10.041,10.05,10.03,10.03,134661,0
SHFS.US,D,20211221,000000,10.02,10.02,10.02,10.02,197,0
SHFS.US,D,20211222,000000,10.02,10.02,10.02,10.02,678,0
SHFS.US,D,20211223,000000,10.05,10.05,10.05,10.05,9569,0
SHFS.US,D,20211231,000000,10.04,10.07,10.04,10.07,11305,0
SHFS.US,D,20220104,000000,10.02,10.02,10.02,10.02,1006,0
SHFS.US,D,20220105,000000,10.05,10.05,10.05,10.05,66787,0
SHFS.US,D,20220106,000000,10.06,10.06,10.04,10.04,1876,0
SHFS.US,D,20220111,000000,10.06,10.06,10.04,10.04,2260,0
SHFS.US,D,20220112,000000,10.06,10.07,10.0599,10.0699,31685,0
SHFS.US,D,20220120,000000,10.03,10.1,10.03,10.06,5736,0
SHFS.US,D,20220121,000000,10.03,10.07,10.03,10.07,12035,0
SHFS.US,D,20220124,000000,10.046,10.046,10.04,10.04,2069,0
SHFS.US,D,20220125,000000,10.0458,10.07,10.0458,10.05,11650,0
SHFS.US,D,20220126,000000,10.04,10.09,10.04,10.09,8508,0
SHFS.US,D,20220127,000000,10.56,10.56,10.04,10.06,1556,0
SHFS.US,D,20220128,000000,10.1,10.1,10.06,10.09,6323,0
SHFS.US,D,20220131,000000,10.04,10.09,10.04,10.09,1976,0
SHFS.US,D,20220201,000000,10.06,10.06,10.06,10.06,791,0
SHFS.US,D,20220202,000000,10.1,10.1,10.06,10.06,1521,0
SHFS.US,D,20220203,000000,10.1,10.11,10.06,10.09,3567,0
SHFS.US,D,20220204,000000,10.11,10.12,10.11,10.12,479,0
SHFS.US,D,20220209,000000,10.07,10.11,10.07,10.09,1050,0
SHFS.US,D,20220211,000000,10.08,10.1,10.07,10.09,10682,0
SHFS.US,D,20220214,000000,10.11,10.13,10.09,10.115,164447,0
SHFS.US,D,20220215,000000,10.12,10.13,10.1,10.115,106333,0
SHFS.US,D,20220216,000000,10.16,11.18,10.12,10.12,5035,0
SHFS.US,D,20220217,000000,10.16,10.3666,10.1,10.1,5720,0
SHFS.US,D,20220218,000000,10.14,10.14,10.14,10.14,208,0
SHFS.US,D,20220222,000000,10.1,10.1398,10.1,10.12,78786,0
SHFS.US,D,20220223,000000,10.12,10.1884,10.12,10.1884,649,0
SHFS.US,D,20220224,000000,10.1,10.1001,10.1,10.1,899,0
SHFS.US,D,20220225,000000,10.19,10.19,10.132,10.132,296,0
SHFS.US,D,20220301,000000,10.1,10.12,10.1,10.12,1450,0
SHFS.US,D,20220302,000000,10.2,10.2,10.2,10.2,451,0
SHFS.US,D,20220303,000000,10.1396,10.1396,10.1396,10.1396,195,0
SHFS.US,D,20220304,000000,10.12,10.1399,10.1001,10.1001,2779,0
SHFS.US,D,20220308,000000,10.13,10.13,10.11,10.11,683,0
SHFS.US,D,20220310,000000,10.11,10.135,10.1,10.13,1264,0
SHFS.US,D,20220311,000000,10.16,10.16,10.12,10.12,404360,0
SHFS.US,D,20220314,000000,10.1738,10.1738,10.13,10.1375,1786,0
SHFS.US,D,20220315,000000,10.1,10.13,10.1,10.13,3898,0
SHFS.US,D,20220316,000000,10.12,10.13,10.12,10.12,38342,0
SHFS.US,D,20220317,000000,10.12,10.1205,10.12,10.12,57384,0
SHFS.US,D,20220321,000000,10.12,10.12,10.12,10.12,752,0
SHFS.US,D,20220322,000000,10.12,10.1201,10.12,10.1201,3089,0
SHFS.US,D,20220323,000000,10.1429,10.1429,10.1429,10.1429,249,0
SHFS.US,D,20220328,000000,10.16,10.16,10.16,10.16,130,0
SHFS.US,D,20220329,000000,10.12,10.12,10.12,10.12,645,0
SHFS.US,D,20220331,000000,10.13,10.13,10.12,10.12,12506,0
