<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKK.US,D,20241008,000000,4.5,11.1094,4.41,6.05,6565106,0
SKK.US,D,20241009,000000,5.98,8.74,3.71,3.93,3396754,0
SKK.US,D,20241010,000000,3.7,4,3.02,3.25,837640,0
SKK.US,D,20241011,000000,2.96,3.33,2.75,2.8,208129,0
SKK.US,D,20241014,000000,2.59,2.9338,2.53,2.83,289730,0
SKK.US,D,20241015,000000,2.8,3.3213,2.76,3.05,417903,0
SKK.US,D,20241016,000000,2.92,3.41,2.7001,3.31,194095,0
SKK.US,D,20241017,000000,3.37,5.2931,3.14,3.75,1384761,0
SKK.US,D,20241018,000000,3.51,4.77,3.51,4.4,210008,0
SKK.US,D,20241021,000000,4.33,4.86,4.31,4.6,329416,0
SKK.US,D,20241022,000000,4.47,4.52,3.9007,4.4,456235,0
SKK.US,D,20241023,000000,4.25,5.73,4.13,5.16,543519,0
SKK.US,D,20241024,000000,4.92,5.5,4.5423,4.88,449569,0
SKK.US,D,20241025,000000,4.97,5.3,4.61,4.66,197673,0
SKK.US,D,20241028,000000,4.5,5.4,4.3,5.25,710261,0
SKK.US,D,20241029,000000,5.26,6.32,4.96,6.17,436014,0
SKK.US,D,20241030,000000,6.21,6.35,5.2571,5.39,243780,0
SKK.US,D,20241031,000000,5.51,5.82,4.69,4.91,144337,0
SKK.US,D,20241101,000000,4.9,5.3,4.7,4.72,95335,0
SKK.US,D,20241104,000000,5.1212,5.1212,4.2032,4.72,107259,0
SKK.US,D,20241105,000000,4.89,5.4251,4.77,4.98,188293,0
SKK.US,D,20241106,000000,4.85,5.37,4.85,4.98,90154,0
SKK.US,D,20241107,000000,5.18,7.3,5.0271,6.8,480027,0
SKK.US,D,20241108,000000,7.15,7.19,6.22,6.63,83481,0
SKK.US,D,20241111,000000,6.58,6.88,6.22,6.34,47455,0
SKK.US,D,20241112,000000,6.29,7.778,6.12,6.34,260792,0
SKK.US,D,20241113,000000,6.12,6.7899,5.66,5.9,98885,0
SKK.US,D,20241114,000000,5.58,6.635,5.5515,6.34,85840,0
SKK.US,D,20241115,000000,6.43,6.48,5.99,6.385,35596,0
SKK.US,D,20241118,000000,6.5,7.99,6.3,7.64,307237,0
SKK.US,D,20241119,000000,7.23,9.2,6.86,8.63,499693,0
SKK.US,D,20241120,000000,8.61,9.19,4.4,4.56,816932,0
SKK.US,D,20241121,000000,7.01,11.45,0.77,1.1,40473245,0
SKK.US,D,20241122,000000,2.06,2.59,1.57,1.84,107468324,0
SKK.US,D,20241125,000000,1.75,1.75,1.45,1.45,4509678,0
SKK.US,D,20241126,000000,1.61,1.62,1.42,1.49,1773292,0
SKK.US,D,20241127,000000,1.57,1.57,1.16,1.27,1828400,0
SKK.US,D,20241129,000000,1.52,1.521,1.33,1.41,8710290,0
SKK.US,D,20241202,000000,1.38,1.41,1.27,1.28,1393219,0
SKK.US,D,20241203,000000,1.27,1.3602,1.18,1.29,939065,0
SKK.US,D,20241204,000000,1.39,1.39,1.2319,1.3,472078,0
SKK.US,D,20241205,000000,1.32,1.36,1.27,1.31,563908,0
SKK.US,D,20241206,000000,1.36,1.38,1.3,1.3,494970,0
SKK.US,D,20241209,000000,1.285,1.32,1.21,1.24,498956,0
SKK.US,D,20241210,000000,1.28,1.28,1.14,1.17,590847,0
SKK.US,D,20241211,000000,1.1,1.14,0.935,1.02,953195,0
SKK.US,D,20241212,000000,1.01,1.0478,1,1,249353,0
SKK.US,D,20241213,000000,1.04,1.04,0.97,0.99,242261,0
SKK.US,D,20241216,000000,0.9,0.9409,0.8244,0.8381,509555,0
SKK.US,D,20241217,000000,0.8381,0.86,0.8,0.821513,261004,0
SKK.US,D,20241218,000000,0.8603,0.87,0.806,0.828,329982,0
SKK.US,D,20241219,000000,0.802,0.8511,0.6122,0.68,718413,0
SKK.US,D,20241220,000000,0.6547,0.72,0.6547,0.72,232395,0
SKK.US,D,20241223,000000,0.73,0.79,0.72,0.7446,328580,0
SKK.US,D,20241224,000000,0.71,0.7771,0.71,0.748,232417,0
SKK.US,D,20241226,000000,0.735,2.57,0.729,1.38,52108908,0
SKK.US,D,20241227,000000,1.41,1.65,1.24,1.31,4151174,0
SKK.US,D,20241230,000000,1.38,1.38,1.11,1.15,1905602,0
SKK.US,D,20241231,000000,1.1,1.1197,0.92,0.99,1002666,0
SKK.US,D,20250102,000000,1.19,1.19,1.03,1.17,1522927,0
SKK.US,D,20250103,000000,1.16,1.28,1.04,1.15,1720641,0
SKK.US,D,20250106,000000,1.15,1.24,1.11,1.17,919193,0
SKK.US,D,20250107,000000,1.11,1.15,1.06,1.1,591394,0
SKK.US,D,20250108,000000,1.05,1.09,0.95,1.03,684016,0
SKK.US,D,20250110,000000,1.05,1.05,0.98,1.03,329611,0
SKK.US,D,20250113,000000,0.9894,1.005,0.901,0.95,337509,0
SKK.US,D,20250114,000000,0.921,0.965,0.9021,0.9101,230984,0
