<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLVR.US,D,20250117,000000,21.31,21.5497,20.8001,21.36,66401,0
SLVR.US,D,20250121,000000,21.72,21.74,21.41,21.53,140316,0
SLVR.US,D,20250122,000000,21.6,21.6,21.2,21.2953,52749,0
SLVR.US,D,20250123,000000,21.2,21.2,20.9001,21.1352,34117,0
SLVR.US,D,20250124,000000,21.4,21.69,21.4,21.49,61737,0
SLVR.US,D,20250127,000000,21.31,21.31,20.43,20.6127,73298,0
SLVR.US,D,20250128,000000,20.81,20.99,20.505,20.95,31829,0
SLVR.US,D,20250129,000000,21.14,21.4399,21.005,21.36,24233,0
SLVR.US,D,20250130,000000,21.79,22.62,21.79,22.37,82259,0
SLVR.US,D,20250131,000000,22.55,22.55,21.94,22,59319,0
SLVR.US,D,20250203,000000,22,22.2873,21.94,22.1332,33470,0
SLVR.US,D,20250204,000000,22.4,22.96,22.4,22.85,99736,0
SLVR.US,D,20250205,000000,23.16,23.54,23.03,23.081,70526,0
SLVR.US,D,20250206,000000,22.98,23.13,22.68,22.99,56278,0
SLVR.US,D,20250207,000000,23.22,23.4398,22.6901,22.7012,49610,0
SLVR.US,D,20250210,000000,23.13,23.449,23.01,23.14,58577,0
SLVR.US,D,20250211,000000,22.96,22.96,22.68,22.76,53841,0
SLVR.US,D,20250212,000000,22.76,23.65,22.65,23.42,87107,0
SLVR.US,D,20250213,000000,23.58,23.7,23.22,23.7,61373,0
