<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNEX.US,D,20050225,000000,5.32667,5.4,5.32667,5.38667,7950,0
SNEX.US,D,20050228,000000,5.36667,5.36667,5.2,5.35333,11250,0
SNEX.US,D,20050301,000000,5.46,5.47333,5.20667,5.42667,61291.5,0
SNEX.US,D,20050302,000000,5.33333,5.4,4.94,5.13333,47281.5,0
SNEX.US,D,20050303,000000,5.14,5.41333,5.14,5.27333,3150,0
SNEX.US,D,20050304,000000,5.36667,5.38667,5.33333,5.35333,11047.5,0
SNEX.US,D,20050307,000000,5.46,5.46,5.09333,5.27333,17550,0
SNEX.US,D,20050308,000000,5.4,5.4,5,5.10667,31873.5,0
SNEX.US,D,20050309,000000,5.16667,5.17333,5.08667,5.12667,5401.5,0
SNEX.US,D,20050310,000000,5.24,5.24,5.02667,5.13333,15600,0
SNEX.US,D,20050311,000000,5.21333,5.21333,5.12,5.12,2550,0
SNEX.US,D,20050314,000000,5.00667,5.23333,5.00667,5.2,10830,0
SNEX.US,D,20050315,000000,5.24667,5.24667,5.12667,5.22667,8400,0
SNEX.US,D,20050316,000000,5.22667,5.26667,5.20667,5.22667,1717.5,0
SNEX.US,D,20050317,000000,5.18,5.20667,5.18,5.20667,600,0
SNEX.US,D,20050318,000000,5.33333,5.36,5.26667,5.36,8349,0
SNEX.US,D,20050321,000000,5.49333,5.49333,5.22667,5.27333,6667.5,0
SNEX.US,D,20050322,000000,5.28,5.28,5.28,5.28,5850,0
SNEX.US,D,20050323,000000,5.33333,5.4,5.08667,5.2,20715,0
SNEX.US,D,20050324,000000,5.32667,5.33333,5,5.09333,14529,0
SNEX.US,D,20050328,000000,5.4,5.4,5.03333,5.03333,7216.5,0
SNEX.US,D,20050329,000000,5.00667,5.20667,5.00667,5.16667,5032.5,0
SNEX.US,D,20050330,000000,5.2,5.22667,5.19333,5.2,1830,0
SNEX.US,D,20050331,000000,5.23333,5.26667,5.04667,5.24667,82960.5,0
SNEX.US,D,20050401,000000,5.4,5.4,5.16667,5.16667,3967.5,0
SNEX.US,D,20050404,000000,5.23333,5.33333,5.23333,5.33333,5670,0
SNEX.US,D,20050405,000000,5.17333,5.17333,4.9,5.16,8940,0
SNEX.US,D,20050406,000000,5.1,5.14667,5.00667,5.11333,9043.5,0
SNEX.US,D,20050407,000000,5.13333,5.13333,4.83333,4.99333,31050,0
SNEX.US,D,20050408,000000,5,5.13333,5,5.13333,6300,0
SNEX.US,D,20050411,000000,5,5.06667,5,5.06667,8100,0
SNEX.US,D,20050412,000000,5.06667,5.1,5.06667,5.1,6150,0
SNEX.US,D,20050413,000000,5.13333,5.16667,5.1,5.1,8250,0
SNEX.US,D,20050414,000000,5.1,5.18667,4.93333,5.06667,1698,0
SNEX.US,D,20050415,000000,5,5.01333,5,5,9300,0
SNEX.US,D,20050418,000000,4.93333,4.96667,4.86667,4.94667,11400,0
SNEX.US,D,20050420,000000,4.33333,4.93333,4.33333,4.85333,25689,0
SNEX.US,D,20050421,000000,4.76667,4.93333,4.76667,4.93333,7798.5,0
SNEX.US,D,20050422,000000,4.54,5,4.54,5,9075,0
SNEX.US,D,20050425,000000,4.5,4.96667,4.5,4.96667,2548.5,0
SNEX.US,D,20050426,000000,4.93333,4.98667,4.86667,4.86667,10500,0
SNEX.US,D,20050427,000000,4.5,4.66667,4.5,4.66667,600,0
SNEX.US,D,20050428,000000,4.8,5.3,4.66667,5.11333,43944,0
SNEX.US,D,20050429,000000,5.16667,5.2,5.12667,5.12667,8313,0
SNEX.US,D,20050502,000000,5.33333,5.33333,4.83333,4.84,18696,0
SNEX.US,D,20050503,000000,4.92667,4.99333,4.83333,4.84,975,0
SNEX.US,D,20050504,000000,4.83333,5,4.83333,4.94667,16968,0
SNEX.US,D,20050505,000000,5.13333,5.13333,4.75333,4.75333,8683.5,0
SNEX.US,D,20050506,000000,4.76667,4.86,4.66667,4.66667,8278.5,0
SNEX.US,D,20050509,000000,4.66,4.96,4.66,4.93333,8400,0
SNEX.US,D,20050510,000000,4.93333,4.93333,4.66667,4.76667,11418,0
SNEX.US,D,20050511,000000,4.92667,4.92667,4.92667,4.92667,4009.5,0
SNEX.US,D,20050512,000000,4.86667,4.91333,4.66667,4.67333,10425,0
SNEX.US,D,20050513,000000,4.6,4.70667,4.52667,4.62,12892.5,0
SNEX.US,D,20050516,000000,4.93333,4.93333,4.5,4.61333,14280,0
SNEX.US,D,20050517,000000,4.88667,4.88667,4.62,4.82,600,0
SNEX.US,D,20050518,000000,4.61333,4.64667,4.59333,4.6,7072.5,0
SNEX.US,D,20050519,000000,4.66667,4.66667,4.58,4.58,2767.5,0
SNEX.US,D,20050520,000000,4.6,4.6,4.58,4.58,7875,0
SNEX.US,D,20050523,000000,4.83333,4.83333,4.56667,4.58,7242,0
SNEX.US,D,20050524,000000,4.58,4.6,4.5,4.50667,12637.5,0
SNEX.US,D,20050525,000000,4.5,4.56667,4.48667,4.48667,2572.5,0
SNEX.US,D,20050527,000000,4.86,4.86,4.10667,4.10667,71281.5,0
SNEX.US,D,20050531,000000,4.17333,4.2,4.10667,4.10667,6180,0
SNEX.US,D,20050601,000000,4.1,4.29333,4.1,4.18,5283,0
SNEX.US,D,20050602,000000,4.23333,4.3,4.14667,4.16667,8899.5,0
SNEX.US,D,20050603,000000,4.18,4.3,4.18,4.26,2034,0
SNEX.US,D,20050606,000000,4.26667,4.3,4.26667,4.3,1500,0
SNEX.US,D,20050607,000000,4.14,4.3,4.14,4.16667,5895,0
