<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOBR.US,D,20220517,000000,214.5,222.2,149.6,168.586,3863.645415909,0
SOBR.US,D,20220518,000000,168.3,199.1,137.5,145.2,4826.481769917,0
SOBR.US,D,20220519,000000,148.5,152.845,130.9,130.9,2784.3454267019997,0
SOBR.US,D,20220520,000000,135.3,135.311,112.2,127.6,1630.2999836969998,0
SOBR.US,D,20220523,000000,121,148.5,119.9,142.989,1567.772711595,0
SOBR.US,D,20220524,000000,143,143,113.3,121,1527.8545301759998,0
SOBR.US,D,20220525,000000,117.7,141.9,117.7,132,1093.990898151,0
SOBR.US,D,20220526,000000,132,145.2,121,127.05,1725.36361911,0
SOBR.US,D,20220527,000000,123.2,139.7,118.8,118.8,960.218172216,0
SOBR.US,D,20220531,000000,129.8,129.8,114.411,119.9,474.52726798199996,0
SOBR.US,D,20220601,000000,120.109,120.109,111.1,116.6,522.1727220509999,0
SOBR.US,D,20220602,000000,123.2,136.4,112.2,118.8,17017.772557095,0
SOBR.US,D,20220603,000000,116.6,118.8,110,112.2,2186.490887226,0
SOBR.US,D,20220606,000000,110,110,92.917,101.2,1648.281801699,0
SOBR.US,D,20220607,000000,103.95,103.95,94.82,96.8,313.13636050499997,0
SOBR.US,D,20220608,000000,105.116,105.116,100.111,102.311,842.345446122,0
SOBR.US,D,20220609,000000,105.6,107.8,99,99,417.136359465,0
SOBR.US,D,20220610,000000,94.6,103.829,94.6,102.828,412.709086782,0
SOBR.US,D,20220613,000000,99,99.627,93.5,93.5,211.79090697299998,0
SOBR.US,D,20220614,000000,99,106.7,93.5221,100.617,575.6272669709999,0
SOBR.US,D,20220615,000000,98.56,101.2,88.033,97.6526,604.9272666779999,0
SOBR.US,D,20220616,000000,92.279,101.745,92.279,100.1,136.190907729,0
SOBR.US,D,20220617,000000,99.737,102.256,95.5461,96.294,141.236362224,0
SOBR.US,D,20220621,000000,100.089,106.7,97.9,104.5,94.081817241,0
SOBR.US,D,20220622,000000,104.5,104.5,97.9,104.5,82.954544625,0
SOBR.US,D,20220623,000000,101.2,110,99,101.211,201.64545252899998,0
SOBR.US,D,20220624,000000,110,141.9,101.2,102.476,6202.418119794,0
SOBR.US,D,20220627,000000,102.3,112.574,95.854,96.8,710.699992893,0
SOBR.US,D,20220628,000000,98.989,104.313,94.71,97.372,146.209089447,0
SOBR.US,D,20220629,000000,101.2,101.2,90.926,100.078,214.199997858,0
SOBR.US,D,20220630,000000,93.61,116.6,91.102,108.922,1816.8999818309999,0
SOBR.US,D,20220701,000000,104.511,124.289,104.511,118.8,2453.481793647,0
SOBR.US,D,20220705,000000,118.8,118.8,105.6,114.4,345.518178363,0
SOBR.US,D,20220706,000000,118.8,118.8,106.15,108.449,294.736360689,0
SOBR.US,D,20220707,000000,107.855,113.3,99,109.241,109.98181708199999,0
SOBR.US,D,20220708,000000,105.6,118.8,105.6,111.375,754.9818106319999,0
SOBR.US,D,20220711,000000,105.6,114.389,105.6,110,68.736362949,0
SOBR.US,D,20220712,000000,110,115.5,106.707,106.711,63.85454481599999,0
SOBR.US,D,20220713,000000,117.7,117.7,105.71,110,1772.436345912,0
SOBR.US,D,20220714,000000,109.56,110,97.9,100.1,1053.754534917,0
SOBR.US,D,20220715,000000,101.2,107.8,97.361,105.534,236.836361268,0
SOBR.US,D,20220718,000000,107.8,107.8,100.677,102.212,134.199998658,0
SOBR.US,D,20220719,000000,106.7,107.789,97.02,99,422.83635940799996,0
SOBR.US,D,20220720,000000,107.8,112.2,101.211,103.4,456.57272270699997,0
SOBR.US,D,20220721,000000,107.8,107.8,97.911,103.4,227.736361359,0
SOBR.US,D,20220722,000000,99.495,103.4,98.021,101.178,88.327271844,0
SOBR.US,D,20220725,000000,103.4,103.4,98.45,103.4,78.663635577,0
SOBR.US,D,20220726,000000,104.489,109.78,98.208,102.3,2281.499977185,0
SOBR.US,D,20220727,000000,101.09,104.5,100.111,102.377,126.33636237299999,0
SOBR.US,D,20220728,000000,102.377,108.174,99,108.174,315.918178659,0
SOBR.US,D,20220729,000000,103.4,108.119,99.11,104.5,101.8181808,0
