<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOFX.US,D,20250117,000000,22.31,23.19,21.8996,22.5244,157924,0
SOFX.US,D,20250121,000000,23.94,28.7806,23.935,26.3666,108733,0
SOFX.US,D,20250122,000000,26.78,26.78,24.45,25.43,103655,0
SOFX.US,D,20250123,000000,24.8,27.1636,24.6,26.75,76454,0
SOFX.US,D,20250124,000000,27.1,27.81,26.16,26.28,162452,0
SOFX.US,D,20250127,000000,20.52,22.5853,19.2277,20.94,388234,0
SOFX.US,D,20250128,000000,21.04,21.3037,18.6618,21.1213,197909,0
SOFX.US,D,20250129,000000,20.72,21.49,20.1,20.7194,104902,0
SOFX.US,D,20250130,000000,21.5037,22.43,21.1209,21.8,110687,0
SOFX.US,D,20250131,000000,21.96,22,19.5601,20.0593,157021,0
SOFX.US,D,20250203,000000,17.76,19.94,17.76,19.01,105977,0
SOFX.US,D,20250204,000000,19,19.4731,18.595,18.81,121832,0
SOFX.US,D,20250205,000000,18.72,19.36,18.5807,19.28,59979,0
SOFX.US,D,20250206,000000,19.42,19.42,17.35,17.59,133524,0
SOFX.US,D,20250207,000000,17.72,18.65,17.63,17.79,95201,0
SOFX.US,D,20250210,000000,18.22,18.95,18.14,18.31,70151,0
SOFX.US,D,20250211,000000,17.97,18.39,17.46,17.58,51449,0
SOFX.US,D,20250212,000000,16.89,17.6,16.645,17.43,103570,0
SOFX.US,D,20250213,000000,17.93,18.69,17.47,18.36,70858,0
