<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPYM.US,D,20240905,000000,23.6729,23.8201,23.6558,23.6558,404,0
SPYM.US,D,20240906,000000,23.74,23.8,22.8911,22.8911,2162,0
SPYM.US,D,20240909,000000,23.37,23.46,23.37,23.4197,812,0
SPYM.US,D,20240910,000000,23.52,23.6209,23.13,23.6209,2935,0
SPYM.US,D,20240911,000000,23.15,24.1748,23.15,24.1748,359,0
SPYM.US,D,20240912,000000,24.19,24.4813,24.18,24.4813,488,0
SPYM.US,D,20240913,000000,26.6047,26.6047,24.7694,24.7694,4059,0
SPYM.US,D,20240916,000000,24.81,24.8501,24.8,24.8501,2116,0
SPYM.US,D,20240917,000000,24.9796,25.1399,24.7,24.8051,1202,0
SPYM.US,D,20240918,000000,24.84,25.0799,24.6937,24.6937,378,0
SPYM.US,D,20240919,000000,25.5295,25.58,25.5,25.5139,514,0
SPYM.US,D,20240920,000000,25.33,25.44,25.33,25.4114,1155,0
SPYM.US,D,20240923,000000,25.5,25.58,25.49,25.58,5346,0
SPYM.US,D,20240924,000000,25.59,25.6425,25.5,25.6425,5366,0
SPYM.US,D,20240925,000000,25.65,25.65,25.58,25.58,1210,0
SPYM.US,D,20240926,000000,25.83,25.86,25.6508,25.7878,5389,0
SPYM.US,D,20240927,000000,25.78,25.78,25.69,25.69,1009,0
SPYM.US,D,20240930,000000,25.5973,25.89,25.5973,25.89,2390,0
SPYM.US,D,20241001,000000,28.66,28.66,25.33,25.41,1463,0
SPYM.US,D,20241002,000000,25.44,25.44,25.44,25.44,266,0
SPYM.US,D,20241003,000000,25.34,25.34,25.34,25.34,830,0
SPYM.US,D,20241004,000000,25.68,25.8,25.57,25.79,2468,0
SPYM.US,D,20241007,000000,25.38,25.52,25.28,25.33,7623,0
SPYM.US,D,20241008,000000,25.47,25.84,25.47,25.7892,1376,0
SPYM.US,D,20241009,000000,25.8,26.14,25.8,26.14,1391,0
SPYM.US,D,20241010,000000,26,26,26,26,557,0
SPYM.US,D,20241011,000000,26.2574,26.35,26.2574,26.35,1696,0
SPYM.US,D,20241014,000000,26.87,26.87,26.72,26.72,24802,0
SPYM.US,D,20241015,000000,26.78,26.78,26.27,26.39,1016,0
SPYM.US,D,20241016,000000,26.59,26.59,26.58,26.58,497,0
SPYM.US,D,20241017,000000,26.96,26.96,26.61,26.61,1277,0
SPYM.US,D,20241018,000000,26.63,26.73,26.63,26.73,246,0
SPYM.US,D,20241021,000000,26.5508,26.69,26.55,26.69,1253,0
SPYM.US,D,20241022,000000,26.48,26.72,26.48,26.6323,1321,0
SPYM.US,D,20241023,000000,26.09,26.15,26.09,26.15,447,0
SPYM.US,D,20241024,000000,26.26,26.26,26.26,26.26,509,0
SPYM.US,D,20241025,000000,26.45,26.45,26.1716,26.1716,950,0
