<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STBX.US,D,20220823,000000,432,739.36,161.6,246.4,1381505.4375,0
STBX.US,D,20220824,000000,209.76,246.24,148.96,157.28,1197266.0625,0
STBX.US,D,20220825,000000,136.48,150.398,111.68,113.44,574652,0
STBX.US,D,20220826,000000,102.08,105.931,78.56,85.12,352949.25,0
STBX.US,D,20220829,000000,92.8,116.8,92.48,103.04,1451524.375,0
STBX.US,D,20220830,000000,98.72,98.88,78.4,81.12,188602.6875,0
STBX.US,D,20220831,000000,81.76,90.24,72.8112,83.52,229319.0625,0
STBX.US,D,20220901,000000,79.52,81.76,72.8,76,80539.75,0
STBX.US,D,20220902,000000,74.72,76.6384,66.4,66.4,61870.625,0
STBX.US,D,20220906,000000,65.92,66.416,57.6,57.76,57231.125,0
STBX.US,D,20220907,000000,57.12,63.9984,54.24,54.4,82841.375,0
STBX.US,D,20220908,000000,52.8,73.6,52.8,58.72,628770.375,0
STBX.US,D,20220909,000000,56.16,59.5088,52.8,52.8,90090.875,0
STBX.US,D,20220912,000000,53.6,55.84,50.88,52.48,56930.75,0
STBX.US,D,20220913,000000,51.52,51.68,47.2,48,48726,0
STBX.US,D,20220914,000000,47.2,54.4,46.72,50.08,109039.1875,0
STBX.US,D,20220915,000000,48.96,55.2,48.64,50.24,82038.1875,0
STBX.US,D,20220916,000000,48.8,49.76,45.44,45.44,29717,0
STBX.US,D,20220919,000000,44.8,45.92,41.12,41.6,26745.25,0
STBX.US,D,20220920,000000,40.96,44.64,40.32,40.96,30397.1875,0
STBX.US,D,20220921,000000,41.12,41.4208,36.96,36.96,22134.625,0
STBX.US,D,20220922,000000,36.96,37.6,32.96,33.12,29656.375,0
STBX.US,D,20220923,000000,33.12,34.4,29.76,34.08,44039.5,0
STBX.US,D,20220926,000000,32.32,33.92,31.8416,33.76,9810.6875,0
STBX.US,D,20220927,000000,33.76,35.4704,31.68,31.68,10669.0625,0
STBX.US,D,20220928,000000,32,33.6112,30.7392,32.64,11395.5625,0
STBX.US,D,20220929,000000,32.64,33.28,30.72,31.68,12766.25,0
STBX.US,D,20220930,000000,31.52,32.8,30.32,30.4,13265.0625,0
STBX.US,D,20221003,000000,30.72,31.84,26.72,27.52,20585.75,0
STBX.US,D,20221004,000000,27.52,29.6,27.52,29.28,11191,0
STBX.US,D,20221005,000000,28.96,29.44,27.68,29.44,4671.1875,0
STBX.US,D,20221006,000000,28.96,31.3584,28,28.64,17732.875,0
STBX.US,D,20221007,000000,28.5584,28.5584,27.2,27.6048,9126.75,0
STBX.US,D,20221010,000000,27.84,27.84,25.28,25.6,6252.75,0
STBX.US,D,20221011,000000,24.8,26.744,24.48,25.28,14663.6875,0
STBX.US,D,20221012,000000,24.96,26.2336,23.36,23.52,7164.3125,0
STBX.US,D,20221013,000000,23.04,24.96,21.92,24.32,6345.8125,0
STBX.US,D,20221014,000000,24.48,24.632,22.56,22.88,13470.0625,0
STBX.US,D,20221017,000000,22.72,25.6,22.56,24.32,9948.5625,0
STBX.US,D,20221018,000000,25.28,25.6,24,24.8,3983.5625,0
STBX.US,D,20221019,000000,24.8,25.6,24.1664,24.96,5870.125,0
STBX.US,D,20221020,000000,25.12,27.68,24.48,27.68,13899.5,0
STBX.US,D,20221021,000000,28,31.52,26.72,27.2,30023.875,0
STBX.US,D,20221024,000000,26.88,26.88,25.0224,25.6,9406.1875,0
STBX.US,D,20221025,000000,25.76,28,25.44,26.4,7570.5625,0
STBX.US,D,20221026,000000,26.56,27.52,26.24,26.88,5008.875,0
STBX.US,D,20221027,000000,26.72,26.88,25.44,25.92,4703.0625,0
STBX.US,D,20221028,000000,26.4,27.72,25.92,26.72,6505.75,0
STBX.US,D,20221031,000000,27.2,28,26.24,27.2,4183.75,0
STBX.US,D,20221101,000000,27.36,27.68,26.8,26.88,3363.5,0
STBX.US,D,20221102,000000,26.88,28.8,26.72,27.04,10422.1875,0
STBX.US,D,20221103,000000,26.56,28,26.56,27.3408,9669.9375,0
STBX.US,D,20221104,000000,27.2,27.84,26.88,27.1744,6126.375,0
STBX.US,D,20221107,000000,28.96,29.12,26.88,27.32,9339,0
STBX.US,D,20221108,000000,27.2,28,27.1952,27.36,9199.6875,0
STBX.US,D,20221109,000000,26.88,27.36,24.48,24.64,11260.9375,0
STBX.US,D,20221110,000000,25.76,25.92,24.8,25.28,4090.25,0
STBX.US,D,20221111,000000,27.36,28.6032,25.6,27.84,9155.9375,0
STBX.US,D,20221114,000000,28.32,36.8,27.36,33.76,39015.75,0
STBX.US,D,20221115,000000,33.76,38.08,32.32,34.56,22764.1875,0
STBX.US,D,20221116,000000,34.4,35.68,32,32.32,9467.75,0
STBX.US,D,20221117,000000,31.52,34.0656,31.52,33.28,4369.125,0
STBX.US,D,20221118,000000,33.6,34.3552,32.48,33.12,3165.125,0
STBX.US,D,20221121,000000,33.12,35.12,32.16,33.76,3120.375,0
STBX.US,D,20221122,000000,33.76,40.4032,33.76,39.84,25226.1875,0
STBX.US,D,20221123,000000,39.68,41.28,36.8016,41.12,9360.9375,0
STBX.US,D,20221125,000000,41.28,41.28,38.4,38.4,1966,0
STBX.US,D,20221128,000000,40.96,42.88,38.72,40.96,19385,0
STBX.US,D,20221129,000000,41.6,42.4,37.12,37.44,15807.3125,0
STBX.US,D,20221130,000000,38.4,38.4,33.6,35.84,17254.25,0
STBX.US,D,20221201,000000,36.48,38.08,35.68,37.1216,8584.8125,0
STBX.US,D,20221202,000000,36.48,40.8,36.48,39.36,6816,0
STBX.US,D,20221205,000000,40.496,40.8192,37.44,38.08,13312.5625,0
STBX.US,D,20221206,000000,39.04,39.04,35.2,35.36,8114.0625,0
STBX.US,D,20221207,000000,35.52,35.84,35.04,35.52,5115.4375,0
STBX.US,D,20221208,000000,36.4688,38.0768,36,36.64,6336.6875,0
STBX.US,D,20221209,000000,36.48,37.28,35.36,35.52,7258.8125,0
