<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STCN.US,D,20050225,000000,170.8,183.12,169.867,180.133,89106.857024048,0
STCN.US,D,20050228,000000,182.933,186.667,178.267,180.133,57324.857066424,0
STCN.US,D,20050301,000000,181.067,183.867,179.2,181.067,42867.107085701,0
STCN.US,D,20050302,000000,180.133,182.933,167.067,176.4,51062.571360488,0
STCN.US,D,20050303,000000,176.4,179.2,169.867,172.667,51388.392788625,0
STCN.US,D,20050304,000000,176.4,176.4,170.987,172.667,42687.749943083,0
STCN.US,D,20050307,000000,176.4,181.067,173.6,180.133,54890.785641098,0
STCN.US,D,20050308,000000,176.4,179.2,173.6,175.467,37405.392807269,0
STCN.US,D,20050309,000000,174.533,177.333,172.667,175.467,31789.714243328,0
STCN.US,D,20050310,000000,175.467,178.267,173.6,174.533,39671.035661391,0
STCN.US,D,20050311,000000,175.467,182.373,175.467,178.267,62227.607059887,0
STCN.US,D,20050314,000000,194.133,197.867,167.347,168.933,306103.17816329,0
STCN.US,D,20050315,000000,196.933,210.933,172.667,210.467,749323.28471519,0
STCN.US,D,20050316,000000,198.333,204.4,191.333,196.933,206393.78543909,0
STCN.US,D,20050317,000000,198.8,201.32,191.333,194.133,84198.321316307,0
STCN.US,D,20050318,000000,199.92,210,198.8,204.4,177423.32119201,0
STCN.US,D,20050321,000000,204.4,214.667,204.4,212.8,187271.67832173,0
STCN.US,D,20050322,000000,217.467,218.4,202.533,204.4,178430.89261924,0
STCN.US,D,20050323,000000,199.733,204.4,196.933,197.867,82419.964175821,0
STCN.US,D,20050324,000000,200.667,202.813,191.333,194.133,89195.35702393,0
STCN.US,D,20050328,000000,200.667,202.533,196.933,200.667,66872.892767979,0
STCN.US,D,20050329,000000,199.733,202.533,192.267,196.933,81569.678462669,0
STCN.US,D,20050330,000000,197.867,200.2,194.133,199.733,40134.749946487,0
STCN.US,D,20050331,000000,196.933,198.8,190.4,191.333,66866.249910845,0
STCN.US,D,20050401,000000,195.067,196,182.933,184.8,112009.71413637,0
STCN.US,D,20050404,000000,182.933,185.267,174.533,179.48,77663.035610735,0
STCN.US,D,20050405,000000,183.867,198.8,182,198.8,176069.3569081,0
STCN.US,D,20050406,000000,196.933,198.8,189.467,190.4,63180.857058616,0
STCN.US,D,20050407,000000,189.467,189.467,184.8,188.533,65020.392770449,0
STCN.US,D,20050408,000000,187.6,190.12,184.8,184.8,48316.178507007,0
STCN.US,D,20050411,000000,188.533,189.467,182,182.933,46523.142795112,0
STCN.US,D,20050412,000000,182.933,184.8,178.64,183.867,57117.214209558,0
STCN.US,D,20050413,000000,182,183.12,177.053,177.333,56624.9999245,0
STCN.US,D,20050414,000000,180.133,182.933,177.333,179.2,46509.428509416,0
STCN.US,D,20050415,000000,178.267,179.2,172.667,174.533,75870.214184554,0
STCN.US,D,20050418,000000,172.667,177.333,172.667,176.4,50881.392789301,0
STCN.US,D,20050419,000000,178.267,181.067,172.667,176.4,82727.249889697,0
STCN.US,D,20050420,000000,180.133,182,173.6,173.6,69876.535621117,0
STCN.US,D,20050421,000000,176.4,181.067,174.533,179.2,52578.749929895,0
STCN.US,D,20050422,000000,178.267,180.133,172.667,176.4,50672.785646722,0
STCN.US,D,20050425,000000,176.4,177.333,171.733,173.6,66237.535625969,0
STCN.US,D,20050426,000000,172.667,176.773,172.013,172.667,51141.857074668,0
STCN.US,D,20050427,000000,172.667,174.533,171.733,173.6,29756.357103182,0
STCN.US,D,20050428,000000,172.667,172.667,162.4,162.4,78861.857037708,0
STCN.US,D,20050429,000000,168,168.933,161.653,164.267,64179.321342999,0
STCN.US,D,20050502,000000,167.067,167.533,160.533,163.333,45321.107082429,0
STCN.US,D,20050503,000000,161.467,164.267,154.933,159.6,64681.178485187,0
STCN.US,D,20050504,000000,160.533,167.067,158.573,166.133,64218.21420009,0
STCN.US,D,20050505,000000,165.2,166.133,161.467,163.333,35980.821380597,0
STCN.US,D,20050506,000000,165.2,166.133,163.053,165.2,37392.535664429,0
STCN.US,D,20050509,000000,164.267,165.2,163.333,165.2,30955.71424444,0
STCN.US,D,20050510,000000,163.333,165.2,161,163.333,28111.607105375,0
STCN.US,D,20050511,000000,162.4,165.2,159.787,164.267,36180.321380331,0
STCN.US,D,20050512,000000,162.4,165.667,160.533,162.4,28501.821390569,0
STCN.US,D,20050513,000000,162.4,163.333,159.6,160.533,28215.214248094,0
STCN.US,D,20050516,000000,160.533,162.4,159.6,161.467,22822.928540998,0
STCN.US,D,20050517,000000,160.533,178.267,159.6,178.267,96969.749870707,0
STCN.US,D,20050518,000000,178.267,186.667,171.733,175.467,100765.6070085,0
STCN.US,D,20050519,000000,175.467,176.773,172.667,175.467,39288.428519044,0
STCN.US,D,20050520,000000,176.4,184.8,174.533,182.933,97172.14272758,0
STCN.US,D,20050523,000000,184.8,190.4,183.867,184.8,105230.14271684,0
STCN.US,D,20050524,000000,186.667,190.4,184.333,185.733,51106.607074715,0
STCN.US,D,20050525,000000,186.667,187.133,179.2,182.933,46319.035652527,0
STCN.US,D,20050526,000000,183.867,184.8,179.2,183.867,45739.178510443,0
STCN.US,D,20050527,000000,189.467,205.333,188.533,201.6,301159.71388417,0
STCN.US,D,20050531,000000,201.6,210.653,196,203.467,165053.5712085,0
STCN.US,D,20050601,000000,209.067,220.267,208.133,217.467,238595.6782533,0
STCN.US,D,20050602,000000,220.267,224.933,217.467,223.067,169422.21405982,0
STCN.US,D,20050603,000000,215.6,216.533,203.467,207.2,181343.24975821,0
STCN.US,D,20050606,000000,210,214.667,194.133,211.867,219978.10684955,0
STCN.US,D,20050607,000000,189.467,193.2,182,182,292536.85675281,0
STCN.US,D,20050608,000000,184.8,184.893,170.8,173.6,174737.35690987,0
STCN.US,D,20050609,000000,173.6,182,173.413,179.2,106825.178429,0
STCN.US,D,20050610,000000,182,182.467,176.587,179.2,38539.392805757,0
STCN.US,D,20050613,000000,179.2,182.933,177.053,178.267,42543.642800418,0
STCN.US,D,20050614,000000,178.267,180.133,177.24,179.2,44340.214226594,0
STCN.US,D,20050615,000000,177.333,179.2,173.6,178.267,54032.035642243,0
STCN.US,D,20050616,000000,177.333,179.013,175.373,176.4,40726.285659984,0
STCN.US,D,20050617,000000,177.333,180.133,174.533,177.333,49748.035647955,0
STCN.US,D,20050620,000000,175.467,176.4,173.507,174.533,40906.07137403,0
STCN.US,D,20050621,000000,175.467,178.267,173.6,175.467,37411.499950118,0
STCN.US,D,20050622,000000,180.133,181.533,176.4,179.2,45869.785653126,0
STCN.US,D,20050623,000000,180.133,182,176.4,176.4,50151.964218845,0
STCN.US,D,20050624,000000,175.467,182,174.533,182,85571.035600191,0
STCN.US,D,20050627,000000,179.2,180.413,176.4,176.4,33998.464240383,0
STCN.US,D,20050628,000000,177.333,180.133,176.4,179.2,35320.178524335,0
STCN.US,D,20050629,000000,179.2,180.133,176.4,178.267,34985.464239067,0
STCN.US,D,20050630,000000,179.2,179.2,174.533,176.4,24730.071395598,0
