<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SVCCU.US,D,20250130,000000,10.02,10.03,10.01,10.01,3739201,0
SVCCU.US,D,20250131,000000,10.02,10.04,10.01,10.01,917747,0
SVCCU.US,D,20250203,000000,10.01,10.05,10.01,10.035,307779,0
SVCCU.US,D,20250204,000000,10.05,10.09,10.03,10.0399,249041,0
SVCCU.US,D,20250205,000000,10.035,10.05,10.0301,10.04,102811,0
SVCCU.US,D,20250206,000000,10.03,10.05,10.03,10.05,108281,0
SVCCU.US,D,20250207,000000,10.0212,10.06,10.01,10.06,9256,0
SVCCU.US,D,20250210,000000,10.03,10.06,10.03,10.06,109048,0
SVCCU.US,D,20250212,000000,10.07,10.07,10.07,10.07,249,0
SVCCU.US,D,20250213,000000,10.0702,10.09,10.05,10.065,5755,0
