<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SVRE.US,D,20220606,000000,50.4,50.4,43.38,49.5,35529.278062012,0
SVRE.US,D,20220607,000000,48.78,50.94,44.82,49.68,14415.055670876,0
SVRE.US,D,20220608,000000,51.48,53.1,48.96,53.1,9629.888965928,0
SVRE.US,D,20220609,000000,51.84,52.0182,50.4,50.4,1937.6666821679999,0
SVRE.US,D,20220610,000000,51.84,51.84,47.52,48.96,2809.4444669199997,0
SVRE.US,D,20220613,000000,45.54,45.72,41.58,43.74,16050.722350627999,0
SVRE.US,D,20220614,000000,41.58,44.82,37.8,44.46,1272.444454624,0
SVRE.US,D,20220615,000000,40.5,44.64,39.96,44.46,1880.166681708,0
SVRE.US,D,20220616,000000,43.2,43.2,36.36,42.12,5907.444491704,0
SVRE.US,D,20220617,000000,40.14,45.36,40.14,43.2,433.944447916,0
SVRE.US,D,20220621,000000,43.92,46.44,43.2,44.82,795.944450812,0
SVRE.US,D,20220622,000000,44.1,45,43.2,43.38,560.388893372,0
SVRE.US,D,20220623,000000,43.2,46.8,41.4,45.54,4994.555595512,0
SVRE.US,D,20220624,000000,47.88,47.88,41.58,44.82,2115.111128032,0
SVRE.US,D,20220627,000000,44.46,44.46,41.2632,43.0488,630.611116156,0
SVRE.US,D,20220628,000000,42.3126,45,37.44,39.96,797.666673048,0
SVRE.US,D,20220629,000000,40.86,43.74,39.96,43.2,1170.5000093639999,0
SVRE.US,D,20220630,000000,43.38,43.38,41.49,41.49,266.888891024,0
SVRE.US,D,20220701,000000,42.66,43.2,41.4,41.49,283.222224488,0
SVRE.US,D,20220705,000000,41.04,42.3,38.34,39.4182,431.333336784,0
SVRE.US,D,20220706,000000,40.5,41.58,32.58,35.64,6768.0000541439995,0
SVRE.US,D,20220707,000000,36,37.44,35.64,35.64,1315.777788304,0
SVRE.US,D,20220708,000000,35.1,39.78,33.3,39.42,1085.111119792,0
SVRE.US,D,20220711,000000,37.0548,48.24,34.38,41.04,3049.555579952,0
SVRE.US,D,20220712,000000,42.3,69.66,38.9304,45,259982.835413196,0
SVRE.US,D,20220713,000000,46.08,56.7,45.2286,52.02,92307.834071796,0
SVRE.US,D,20220714,000000,53.82,75.06,51.12,51.66,869626.006957008,0
SVRE.US,D,20220715,000000,48.6,50.76,39.6,47.7,41691.333666864,0
SVRE.US,D,20220718,000000,52.2,52.92,45.18,48.78,43711.722571916,0
SVRE.US,D,20220719,000000,47.34,47.34,41.94,42.84,15631.9445695,0
SVRE.US,D,20220720,000000,42.138,44.6382,39.1716,43.2,13606.833442187999,0
SVRE.US,D,20220721,000000,42.3,43.02,39.78,42.3,10113.722303131999,0
SVRE.US,D,20220722,000000,42.12,50.04,40.86,46.08,36152.278066996,0
SVRE.US,D,20220725,000000,43.74,46.8,41.76,43.02,10636.722307316,0
SVRE.US,D,20220726,000000,42.3,48.0942,41.04,45.18,12642.833434476,0
SVRE.US,D,20220727,000000,45.18,49.14,43.7418,46.7982,8527.22229044,0
SVRE.US,D,20220728,000000,44.28,53.0982,44.28,49.5,21229.44461428,0
SVRE.US,D,20220729,000000,48.78,53.1,45.54,48.24,32152.111368328,0
SVRE.US,D,20220801,000000,45.9,60.84,45.72,53.64,105046.445284816,0
SVRE.US,D,20220802,000000,52.74,56.8782,48.78,50.22,38483.61141898,0
SVRE.US,D,20220803,000000,51.48,56.8674,47.1618,52.56,33495.666934632,0
SVRE.US,D,20220804,000000,52.92,54.54,44.1,45.18,15508.166790731999,0
SVRE.US,D,20220805,000000,44.1,47.52,41.04,43.2,17578.666807296,0
