<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SXTC.US,D,20190104,000000,8980,11980,8800,11480,20.746,0
SXTC.US,D,20190107,000000,13600,13600,11371,12220,13.252,0
SXTC.US,D,20190108,000000,12900,14000,12100,13020,11.31,0
SXTC.US,D,20190109,000000,13500,31360,13500,23900,42.694,0
SXTC.US,D,20190110,000000,35200,46700,13620,15500,315.396,0
SXTC.US,D,20190111,000000,15680,15680,12300,12400,133.754,0
SXTC.US,D,20190114,000000,12420,13280,10800,11100,49.93,0
SXTC.US,D,20190115,000000,11020,11580,9400,10000,72.828,0
SXTC.US,D,20190116,000000,9400,10000,9060,9520,62.09,0
SXTC.US,D,20190117,000000,9100,10580,9067.5,10000,45.056,0
SXTC.US,D,20190118,000000,9500,10160,8960,9400,28.914,0
SXTC.US,D,20190122,000000,9200,9720,8600,8740,25.358,0
SXTC.US,D,20190123,000000,8380,9157,7440,7880,28.656,0
SXTC.US,D,20190124,000000,7977,8120,7600,7760,14.702,0
SXTC.US,D,20190125,000000,7900,8000,7440,7592,10.558,0
SXTC.US,D,20190128,000000,7440,8080,7236,7580,13.86,0
SXTC.US,D,20190129,000000,7360,8540,7360,8400,14.832,0
SXTC.US,D,20190130,000000,8140,16940,8029.5,12080,2635.126,0
SXTC.US,D,20190131,000000,11120,15900,11120,14220,1649.408,0
SXTC.US,D,20190201,000000,13840,16180,12604,13320,446.864,0
SXTC.US,D,20190204,000000,13200,13200,11400,11520,64,0
SXTC.US,D,20190205,000000,11520,13492,11520,12520,82.206,0
SXTC.US,D,20190206,000000,12280,12396.5,11800,11840,16.15,0
SXTC.US,D,20190207,000000,12140,12300,11500,11760,21.838,0
SXTC.US,D,20190208,000000,11777.5,12200,11400,11420,10.084,0
SXTC.US,D,20190211,000000,11540,12600,11520,11620,27.682,0
SXTC.US,D,20190212,000000,11680,11837.5,11080,11220,27.428,0
SXTC.US,D,20190213,000000,10800,11300,10500,10700,17.092,0
SXTC.US,D,20190214,000000,10620,11484,10349,10480,19.632,0
SXTC.US,D,20190215,000000,10840,10840,10380,10500,9.97,0
SXTC.US,D,20190219,000000,10531.5,11280,10300,10660,11.36,0
SXTC.US,D,20190220,000000,10790,10880,10300,10300,8.466,0
SXTC.US,D,20190221,000000,10565,10565,10320,10400,4.622,0
SXTC.US,D,20190222,000000,10400,10560,9459.5,10060,19.738,0
SXTC.US,D,20190225,000000,10520,13000,10520,12600,103.586,0
SXTC.US,D,20190226,000000,12820,13860,12300,12900,62.84,0
