<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SXTP.US,D,20230713,000000,82.8,103.8,52.8,54.36,1834122.3325997,0
SXTP.US,D,20230714,000000,47.52,50.88,43.8,45.84,135583.16661243,0
SXTP.US,D,20230717,000000,42.48,45.6,36,36.84,115980.91662027,0
SXTP.US,D,20230718,000000,34.2,35.64,28.5,29.04,69277.999972289,0
SXTP.US,D,20230719,000000,38.52,42.36,33.96,39.6,1451486.2494194,0
SXTP.US,D,20230720,000000,36.48,36.8616,32.76,35.04,77487.666635672,0
SXTP.US,D,20230721,000000,32.76,33.36,30.48,32.04,51286.999979485,0
SXTP.US,D,20230724,000000,31.8,31.8,27.78,28.2,35323.916652537,0
SXTP.US,D,20230725,000000,27,27.36,25.3212,25.56,34464.999986214,0
SXTP.US,D,20230726,000000,24.96,26.88,24.1212,26.76,23413.333323968,0
SXTP.US,D,20230727,000000,27.48,27.48,24.84,26.28,15310.083327209,0
SXTP.US,D,20230728,000000,25.62,26.28,24.9588,25.32,17206.833326451,0
SXTP.US,D,20230731,000000,25.68,27.36,24.72,26.88,83823.583299804,0
SXTP.US,D,20230801,000000,25.44,25.806,24.372,25.8,20095.249991962,0
SXTP.US,D,20230802,000000,24.84,25.8,24,25.56,20223.083325244,0
SXTP.US,D,20230803,000000,25.56,25.56,24,24.36,15265.499993894,0
SXTP.US,D,20230804,000000,24.36,24.96,21.96,22.32,19916.083325367,0
SXTP.US,D,20230807,000000,22.2,23.16,18.2412,20.4,13289.583328018,0
SXTP.US,D,20230808,000000,19.44,20.1252,18.2412,18.84,7944.999996822,0
SXTP.US,D,20230809,000000,18.48,19.02,17.7612,18.6012,5208.0833312501,0
SXTP.US,D,20230810,000000,18.6,19.3284,18.24,18.36,2239.8333324374,0
SXTP.US,D,20230811,000000,19.1988,21.48,18.72,19.44,24005.083323731,0
SXTP.US,D,20230814,000000,20.76,20.76,19.68,19.92,2807.3333322104,0
SXTP.US,D,20230815,000000,19.92,22.068,19.92,21.36,12384.833328379,0
SXTP.US,D,20230816,000000,21.84,23.76,21.36,21.72,24069.999990372,0
SXTP.US,D,20230817,000000,21.24,22.32,18.72,19.2,10365.249995854,0
SXTP.US,D,20230818,000000,18.84,19.8,18.72,19.44,2265.5833324271,0
SXTP.US,D,20230821,000000,18.72,19.8,18.24,18.24,4311.5833316087,0
SXTP.US,D,20230822,000000,18.72,19.68,16.572,17.16,14234.749994306,0
SXTP.US,D,20230823,000000,16.68,17.28,16.56,16.8,2999.4166654669,0
SXTP.US,D,20230824,000000,17.04,18.24,16.32,18.24,7995.1666634686,0
SXTP.US,D,20230825,000000,17.76,18.7104,17.28,17.52,5802.9999976788,0
SXTP.US,D,20230828,000000,17.64,18.6,16.44,16.56,6954.2499972183,0
SXTP.US,D,20230829,000000,16.2,17.28,16.2,16.68,1779.0833326217,0
SXTP.US,D,20230830,000000,16.8,17.8536,16.464,17.8536,2621.9999989512,0
SXTP.US,D,20230831,000000,18.12,18.48,16.32,16.7988,2902.499998839,0
SXTP.US,D,20230901,000000,17.04,17.04,16.2024,16.896,6123.2499975507,0
SXTP.US,D,20230905,000000,16.56,17.028,15.84,16.2,3954.6666650848,0
SXTP.US,D,20230906,000000,15.96,16.56,15.2412,15.9,6053.7499975785,0
SXTP.US,D,20230907,000000,15.6,15.6,14.16,14.52,8394.2499966423,0
SXTP.US,D,20230908,000000,14.04,14.88,13.56,13.68,4592.3333314964,0
SXTP.US,D,20230911,000000,13.44,14.52,12.9612,14.4,6608.0833306901,0
SXTP.US,D,20230912,000000,14.4,15.12,14.04,14.76,4531.0833315209,0
SXTP.US,D,20230913,000000,14.424,15,13.938,14.3988,3105.6666654244,0
SXTP.US,D,20230914,000000,13.32,14.4,12.6,13.68,3059.6666654428,0
SXTP.US,D,20230915,000000,13.68,13.68,12.84,13.32,2283.33333242,0
SXTP.US,D,20230918,000000,13.56,14.28,13.32,13.8576,4627.1666648158,0
SXTP.US,D,20230919,000000,10.2,11.16,10.08,10.326,12898.499994841,0
SXTP.US,D,20230920,000000,10.0164,10.56,9.864,10.08,3259.3333320296,0
SXTP.US,D,20230921,000000,9.732,9.96,9.48,9.6,2811.5833322087,0
SXTP.US,D,20230922,000000,9.36,9.6,8.52,8.5788,4206.8333316506,0
SXTP.US,D,20230925,000000,8.34,9,8.04,8.04,2516.4166656601,0
SXTP.US,D,20230926,000000,8.37,9.36,8.04,9.1068,5717.7499977129,0
SXTP.US,D,20230927,000000,9.348,9.96,9.0312,9.36,2274.6666657568,0
SXTP.US,D,20230928,000000,9,9.336,8.64,8.88,1261.3333328288,0
