<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAVI.US,D,20241223,000000,9.91,9.91,9.89,9.89,75627,0
TAVI.US,D,20241227,000000,9.9,9.925,9.9,9.92,321393,0
TAVI.US,D,20241230,000000,9.91,9.915,9.91,9.915,133787,0
TAVI.US,D,20241231,000000,9.91,9.92,9.91,9.9111,328918,0
TAVI.US,D,20250102,000000,9.92,9.92,9.9,9.91,573,0
TAVI.US,D,20250106,000000,9.91,9.915,9.91,9.91,36987,0
TAVI.US,D,20250107,000000,9.92,9.92,9.92,9.92,544,0
TAVI.US,D,20250108,000000,9.92,9.92,9.92,9.92,349838,0
TAVI.US,D,20250110,000000,9.93,9.93,9.92,9.93,325661,0
TAVI.US,D,20250113,000000,9.94,9.94,9.94,9.94,588,0
TAVI.US,D,20250114,000000,9.94,9.95,9.93,9.93,68556,0
TAVI.US,D,20250116,000000,9.93,9.93,9.93,9.93,35033,0
TAVI.US,D,20250121,000000,9.93,9.93,9.93,9.93,100036,0
TAVI.US,D,20250122,000000,9.93,9.945,9.93,9.945,9169,0
TAVI.US,D,20250123,000000,9.947,9.95,9.94,9.95,54355,0
TAVI.US,D,20250124,000000,9.95,9.955,9.94,9.955,25474,0
TAVI.US,D,20250127,000000,9.94,9.955,9.94,9.955,10300,0
TAVI.US,D,20250128,000000,9.96,9.96,9.955,9.955,5865,0
TAVI.US,D,20250129,000000,9.9598,10,9.9598,10,26331,0
TAVI.US,D,20250130,000000,9.97,9.97,9.95,9.97,10449,0
TAVI.US,D,20250131,000000,9.97,9.97,9.9616,9.97,2734,0
TAVI.US,D,20250204,000000,9.97,9.97,9.97,9.97,26911,0
TAVI.US,D,20250205,000000,9.97,9.97,9.97,9.97,17306,0
TAVI.US,D,20250206,000000,9.975,9.98,9.975,9.98,2702,0
TAVI.US,D,20250207,000000,9.98,9.98,9.97,9.98,53420,0
TAVI.US,D,20250210,000000,9.9787,9.98,9.97,9.98,36763,0
TAVI.US,D,20250211,000000,9.9765,9.98,9.9765,9.98,7554,0
TAVI.US,D,20250212,000000,9.98,9.99,9.98,9.99,608801,0
TAVI.US,D,20250213,000000,9.99,9.99,9.98,9.99,203023,0
