<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLGYF.US,D,20220126,000000,10.05,10.05,9.8,9.8,100110,0
TLGYF.US,D,20220127,000000,9.96,9.96,9.96,9.96,503,0
TLGYF.US,D,20220201,000000,9.96,9.96,9.96,9.96,146,0
TLGYF.US,D,20220203,000000,9.81,9.81,9.81,9.81,106,0
TLGYF.US,D,20220211,000000,9.96,9.96,9.96,9.96,100,0
TLGYF.US,D,20220214,000000,9.885,9.885,9.885,9.885,101,0
TLGYF.US,D,20220215,000000,9.93,9.93,9.92,9.92,476246,0
TLGYF.US,D,20220216,000000,9.92,9.92,9.92,9.92,5100,0
TLGYF.US,D,20220217,000000,9.9,9.9,9.9,9.9,2709,0
TLGYF.US,D,20220218,000000,9.93,9.93,9.93,9.93,2509,0
TLGYF.US,D,20220222,000000,9.92,9.92,9.91,9.91,11000,0
TLGYF.US,D,20220223,000000,9.91,9.91,9.91,9.91,39150,0
TLGYF.US,D,20220224,000000,9.91,9.92,9.9,9.9,252999,0
TLGYF.US,D,20220225,000000,9.91,9.91,9.91,9.91,80300,0
TLGYF.US,D,20220302,000000,9.92,9.94,9.92,9.94,305251,0
TLGYF.US,D,20220303,000000,9.92,9.92,9.915,9.915,7250,0
TLGYF.US,D,20220311,000000,9.94,9.94,9.93,9.94,13701,0
TLGYF.US,D,20220318,000000,9.95,9.95,9.95,9.95,89603,0
TLGYF.US,D,20220321,000000,9.97,9.97,9.95,9.95,10137,0
TLGYF.US,D,20220322,000000,9.91,9.95,9.91,9.94,3042,0
TLGYF.US,D,20220324,000000,9.95,9.95,9.94,9.95,142620,0
TLGYF.US,D,20220325,000000,9.98,9.98,9.95,9.95,150600,0
TLGYF.US,D,20220328,000000,9.95,9.95,9.95,9.95,327,0
TLGYF.US,D,20220331,000000,9.97,9.98,9.955,9.96,429160,0
TLGYF.US,D,20220401,000000,9.96,9.98,9.96,9.98,198785,0
TLGYF.US,D,20220405,000000,9.97,9.97,9.97,9.97,3700,0
TLGYF.US,D,20220406,000000,9.98,10,9.96,10,18931,0
TLGYF.US,D,20220408,000000,9.98,9.98,9.98,9.98,700,0
TLGYF.US,D,20220411,000000,9.98,9.99,9.98,9.98,2730,0
TLGYF.US,D,20220412,000000,10,10,9.98,10,106510,0
TLGYF.US,D,20220413,000000,10,10,10,10,900,0
TLGYF.US,D,20220419,000000,10,10,10,10,642588,0
TLGYF.US,D,20220420,000000,9.99,9.99,9.99,9.99,1324,0
TLGYF.US,D,20220421,000000,10,10,10,10,2000,0
