<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMTC.US,D,20230502,000000,10.15,10.17,10.15,10.17,607275,0
TMTC.US,D,20230503,000000,10.1532,10.18,10.153,10.17,350962,0
TMTC.US,D,20230504,000000,10.16,10.18,10.16,10.17,1245319,0
TMTC.US,D,20230505,000000,10.17,10.18,10.17,10.18,3140,0
TMTC.US,D,20230508,000000,10.18,10.18,10.17,10.18,12811,0
TMTC.US,D,20230509,000000,10.18,10.2,10.17,10.2,665021,0
TMTC.US,D,20230510,000000,10.1907,10.2,10.1907,10.2,4885,0
TMTC.US,D,20230511,000000,10.19,10.19,10.19,10.19,123286,0
TMTC.US,D,20230512,000000,10.2,10.2,10.19,10.19,16308,0
TMTC.US,D,20230515,000000,10.18,10.2,10.18,10.2,8010,0
TMTC.US,D,20230516,000000,10.19,10.1946,10.19,10.1946,200,0
TMTC.US,D,20230517,000000,10.2,10.2,10.2,10.2,25157,0
TMTC.US,D,20230518,000000,10.2052,10.2052,10.2052,10.2052,217,0
TMTC.US,D,20230522,000000,10.21,10.21,10.21,10.21,1054,0
TMTC.US,D,20230523,000000,10.24,10.25,10.24,10.25,2011,0
TMTC.US,D,20230524,000000,10.25,10.26,10.25,10.26,10310,0
TMTC.US,D,20230525,000000,10.25,10.27,10.25,10.27,15698,0
TMTC.US,D,20230530,000000,10.27,10.27,10.27,10.27,427,0
TMTC.US,D,20230605,000000,10.27,10.28,10.27,10.28,1519,0
TMTC.US,D,20230615,000000,10.2212,10.2212,10.2212,10.2212,2992,0
TMTC.US,D,20230620,000000,10.25,10.25,10.25,10.25,147,0
TMTC.US,D,20230621,000000,10.28,10.28,10.27,10.27,1054,0
TMTC.US,D,20230623,000000,10.22,10.22,10.22,10.22,500,0
TMTC.US,D,20230710,000000,10.26,10.26,10.26,10.26,307,0
TMTC.US,D,20230712,000000,10.26,10.26,10.26,10.26,100,0
TMTC.US,D,20230717,000000,10.27,10.2892,10.27,10.27,1027,0
TMTC.US,D,20230721,000000,10.78,10.78,10.29,10.29,2070,0
TMTC.US,D,20230724,000000,10.33,10.33,10.29,10.3,13246,0
TMTC.US,D,20230728,000000,10.325,10.325,10.325,10.325,161,0
TMTC.US,D,20230807,000000,10.31,10.31,10.31,10.31,726,0
TMTC.US,D,20230809,000000,10.35,10.35,10.35,10.35,142,0
TMTC.US,D,20230814,000000,10.33,10.349,10.33,10.349,1900,0
TMTC.US,D,20230817,000000,10.355,10.355,10.35,10.35,17387,0
TMTC.US,D,20230818,000000,10.355,10.37,10.355,10.37,80252,0
TMTC.US,D,20230823,000000,10.385,10.39,10.385,10.39,29679,0
TMTC.US,D,20230825,000000,10.39,10.39,10.3868,10.39,29143,0
TMTC.US,D,20230828,000000,10.42,10.42,10.38,10.38,75445,0
TMTC.US,D,20230906,000000,10.42,10.42,10.42,10.42,243,0
TMTC.US,D,20230907,000000,10.4,10.4,10.4,10.4,15451,0
TMTC.US,D,20230908,000000,10.405,10.41,10.4,10.4,6482,0
TMTC.US,D,20230911,000000,10.45,10.45,10.445,10.445,2300,0
TMTC.US,D,20230912,000000,10.44,10.45,10.41,10.45,10738,0
TMTC.US,D,20230913,000000,10.415,10.415,10.41,10.41,407,0
TMTC.US,D,20230914,000000,10.41,10.41,10.41,10.41,422,0
TMTC.US,D,20230915,000000,10.415,10.415,10.41,10.41,1269,0
TMTC.US,D,20230922,000000,10.445,10.45,10.43,10.43,2643,0
TMTC.US,D,20230927,000000,10.445,10.445,10.445,10.445,410,0
TMTC.US,D,20231004,000000,10.43,10.43,10.43,10.43,20122,0
TMTC.US,D,20231006,000000,10.445,10.45,10.445,10.45,14300,0
TMTC.US,D,20231011,000000,10.45,10.45,10.45,10.45,1227,0
TMTC.US,D,20231012,000000,10.48,10.55,10.46,10.46,5795,0
TMTC.US,D,20231017,000000,10.47,10.47,10.455,10.46,3046,0
TMTC.US,D,20231018,000000,10.45,10.45,10.45,10.45,2736,0
TMTC.US,D,20231019,000000,10.45,10.45,10.45,10.45,7732,0
TMTC.US,D,20231023,000000,10.45,10.48,10.45,10.48,102273,0
TMTC.US,D,20231024,000000,10.48,10.48,10.46,10.46,2807,0
TMTC.US,D,20231025,000000,10.47,10.4705,10.47,10.4705,473,0
TMTC.US,D,20231027,000000,10.48,10.4801,10.48,10.4801,1285,0
TMTC.US,D,20231101,000000,10.4864,10.49,10.4864,10.49,1160,0
TMTC.US,D,20231102,000000,10.48,10.48,10.48,10.48,1188,0
TMTC.US,D,20231106,000000,10.46,10.4601,10.46,10.46,1248,0
TMTC.US,D,20231107,000000,10.485,10.485,10.485,10.485,100,0
TMTC.US,D,20231109,000000,10.47,10.47,10.47,10.47,3267,0
TMTC.US,D,20231113,000000,10.47,10.4701,10.47,10.47,2002,0
TMTC.US,D,20231114,000000,10.47,10.47,10.47,10.47,105269,0
TMTC.US,D,20231115,000000,10.485,10.485,10.47,10.47,18535,0
TMTC.US,D,20231116,000000,10.48,10.48,10.48,10.48,42878,0
TMTC.US,D,20231117,000000,10.48,10.48,10.48,10.48,7750,0
TMTC.US,D,20231122,000000,10.5,10.5,10.5,10.5,516,0
TMTC.US,D,20231128,000000,10.49,10.49,10.49,10.49,142,0
TMTC.US,D,20231201,000000,10.52,10.52,10.52,10.52,100100,0
TMTC.US,D,20231208,000000,10.51,10.53,10.51,10.53,962,0
TMTC.US,D,20231211,000000,10.62,10.62,10.51,10.51,2034,0
TMTC.US,D,20231212,000000,10.53,10.535,10.5104,10.511,3392,0
TMTC.US,D,20231214,000000,10.515,10.515,10.51,10.5105,10563,0
TMTC.US,D,20231215,000000,10.52,10.52,10.52,10.52,1047,0
TMTC.US,D,20231218,000000,10.51,10.51,10.51,10.51,1496,0
TMTC.US,D,20231219,000000,10.6831,10.685,10.51,10.525,28250,0
TMTC.US,D,20231220,000000,10.52,10.52,10.52,10.52,907,0
TMTC.US,D,20231221,000000,10.52,10.635,10.52,10.53,911,0
TMTC.US,D,20231222,000000,10.52,10.52,10.52,10.52,678,0
TMTC.US,D,20231226,000000,10.6,10.6,10.6,10.6,801,0
TMTC.US,D,20240103,000000,10.56,10.56,10.56,10.56,5537,0
TMTC.US,D,20240109,000000,10.56,10.56,10.56,10.56,207,0
TMTC.US,D,20240110,000000,10.57,10.57,10.57,10.57,840,0
TMTC.US,D,20240116,000000,10.57,10.57,10.57,10.57,167,0
TMTC.US,D,20240118,000000,10.58,10.6,10.5799,10.6,361172,0
TMTC.US,D,20240119,000000,10.58,10.58,10.58,10.58,638,0
TMTC.US,D,20240122,000000,10.62,10.65,10.62,10.65,1268,0
TMTC.US,D,20240123,000000,10.66,10.66,10.58,10.58,1145,0
TMTC.US,D,20240124,000000,10.59,10.6088,10.59,10.6088,51087,0
TMTC.US,D,20240130,000000,10.6184,10.6184,10.6184,10.6184,1074,0
