<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSEL.US,D,20250107,000000,25.47,25.47,25.2603,25.2603,20549,0
TSEL.US,D,20250108,000000,25.3,25.3154,25.18,25.3154,948,0
TSEL.US,D,20250110,000000,24.74,24.8399,24.6742,24.8399,406,0
TSEL.US,D,20250113,000000,24.5643,24.6662,24.56,24.6662,1101,0
TSEL.US,D,20250114,000000,24.9,24.9,24.6,24.6462,25567,0
TSEL.US,D,20250115,000000,25.27,25.37,25.27,25.3148,702940,0
TSEL.US,D,20250116,000000,25.45,25.47,25.2797,25.2797,5554,0
TSEL.US,D,20250121,000000,25.76,25.8852,25.76,25.8852,14507,0
TSEL.US,D,20250122,000000,26.39,26.45,26.38,26.4012,3291,0
TSEL.US,D,20250123,000000,26.44,26.5906,26.41,26.5906,23067,0
TSEL.US,D,20250124,000000,26.7,26.71,26.53,26.5862,11041,0
TSEL.US,D,20250127,000000,25.69,26.19,25.6715,25.8611,3585,0
TSEL.US,D,20250128,000000,26.5701,26.81,26.5701,26.7166,4416,0
TSEL.US,D,20250129,000000,26.43,26.5,26.28,26.4926,2936,0
TSEL.US,D,20250130,000000,26.37,26.5,26.24,26.4356,9513,0
TSEL.US,D,20250131,000000,26.98,26.98,26.51,26.5573,6317,0
TSEL.US,D,20250203,000000,26.15,26.62,26.13,26.4624,21204,0
TSEL.US,D,20250204,000000,26.7505,26.97,26.7505,26.925,1469,0
TSEL.US,D,20250205,000000,27.07,27.1728,27.07,27.1728,797,0
TSEL.US,D,20250206,000000,27.21,27.3,27.14,27.2613,5168,0
TSEL.US,D,20250207,000000,26.48,27.47,26.48,27.2165,3442,0
TSEL.US,D,20250210,000000,27.54,27.69,27.54,27.6115,618,0
TSEL.US,D,20250211,000000,27.38,27.54,27.3,27.4608,5044,0
TSEL.US,D,20250212,000000,27.2,27.47,27.2,27.4229,3198,0
TSEL.US,D,20250213,000000,27.63,27.79,27.5,27.75,4132,0
