<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLG.US,D,20241216,000000,16.64,18.2215,16.3393,18.2215,162097,0
TSLG.US,D,20241217,000000,19.3,19.88,17.8781,19.604,289110,0
TSLG.US,D,20241218,000000,18.81,20.279,15.61,16.82,329495,0
TSLG.US,D,20241219,000000,17.18,17.5,14.88,16.04,277636,0
TSLG.US,D,20241220,000000,15.35,16.775,14.705,14.89,594503,0
TSLG.US,D,20241223,000000,15.61,15.78,14.51,15.62,101675,0
TSLG.US,D,20241224,000000,15.97,17.89,15.93,17.89,147629,0
TSLG.US,D,20241226,000000,18.04,18.04,16.98,17.22,137851,0
TSLG.US,D,20241227,000000,16.8,16.82,15.14,15.5,369987,0
TSLG.US,D,20241230,000000,14.6,15.17,14.36,14.51,145343,0
TSLG.US,D,20241231,000000,14.91,15.18,13.43,13.51,318814,0
TSLG.US,D,20250102,000000,12.62,12.64,11.4566,11.89,480328,0
TSLG.US,D,20250103,000000,11.97,13.8681,11.95,13.81,221512,0
TSLG.US,D,20250106,000000,14.589,14.81,13.24,13.82,173856,0
TSLG.US,D,20250107,000000,13.45,14,12.43,12.72,215622,0
TSLG.US,D,20250108,000000,12.58,13.1793,12.2781,12.72,210648,0
TSLG.US,D,20250110,000000,12.39,12.95,12.06,12.71,97944,0
TSLG.US,D,20250113,000000,11.95,13.24,11.86,13.24,76850,0
TSLG.US,D,20250114,000000,14.02,14.5,12.6942,12.8,164515,0
TSLG.US,D,20250115,000000,13.615,14.8915,13.4357,14.82,193086,0
TSLG.US,D,20250116,000000,14.52,14.52,13.55,13.82,168458,0
TSLG.US,D,20250117,000000,14.34,15.529,14.23,14.65,216652,0
TSLG.US,D,20250121,000000,15.08,15.08,13.28,14.47,253086,0
TSLG.US,D,20250122,000000,13.99,14.675,13.87,13.88,130242,0
TSLG.US,D,20250123,000000,13.93,14.16,13.47,13.67,119397,0
TSLG.US,D,20250124,000000,13.7918,13.9908,13.25,13.29,111096,0
TSLG.US,D,20250127,000000,12.57,13.2324,12.17,12.67,166075,0
TSLG.US,D,20250128,000000,12.62,12.87,12,12.72,224497,0
TSLG.US,D,20250129,000000,12.54,12.63,11.861,12.08,205115,0
TSLG.US,D,20250130,000000,13.49,13.5,11.84,12.84,503176,0
TSLG.US,D,20250131,000000,12.92,14.07,12.91,13.11,216738,0
TSLG.US,D,20250203,000000,11.9,12.02,11.16,11.76,395421,0
TSLG.US,D,20250204,000000,11.66,12.34,11.6496,12.27,122356,0
TSLG.US,D,20250205,000000,11.94,11.99,11.22,11.38,190605,0
TSLG.US,D,20250206,000000,11.06,11.16,10.48,11.14,411352,0
TSLG.US,D,20250207,000000,10.88,11.47,10.3,10.37,225018,0
TSLG.US,D,20250210,000000,10.07,10.4,9.74,9.74,160995,0
TSLG.US,D,20250211,000000,9.47,9.61,8.35,8.52,290052,0
TSLG.US,D,20250212,000000,8.55,9.42,8.55,8.94,475122,0
TSLG.US,D,20250213,000000,9.395,10.08,9.395,9.95,297288,0
