<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLW.US,D,20240905,000000,27.67,27.6751,27.17,27.6751,666,0
TSLW.US,D,20240906,000000,25.269,25.269,24.705,24.705,702,0
TSLW.US,D,20240909,000000,25.2901,25.3525,25.2901,25.3525,131,0
TSLW.US,D,20240910,000000,26.9855,26.9855,26.9855,26.9855,31,0
TSLW.US,D,20240911,000000,27.3872,27.3872,27.3872,27.3872,31,0
TSLW.US,D,20240912,000000,27.64,27.64,27.6278,27.6278,238,0
TSLW.US,D,20240913,000000,27.561,27.7381,27.561,27.7381,407,0
TSLW.US,D,20240916,000000,27.14,27.1525,27.1,27.1525,307,0
TSLW.US,D,20240917,000000,27.2602,27.2602,27.2602,27.2602,2098,0
TSLW.US,D,20240918,000000,27.1988,27.1988,27.1988,27.1988,5,0
TSLW.US,D,20240919,000000,30.1575,30.1575,30.1575,30.1575,3,0
TSLW.US,D,20240920,000000,29.3392,29.3392,29.08,29.175,1700,0
TSLW.US,D,20240923,000000,31.14,31.306,31.14,31.306,1102,0
TSLW.US,D,20240924,000000,32.035,32.035,32.035,32.035,5,0
TSLW.US,D,20240925,000000,32.46,32.5471,32.16,32.5471,388,0
TSLW.US,D,20240926,000000,32.0532,32.0532,32.0532,32.0532,7,0
TSLW.US,D,20240927,000000,33.1892,33.1892,33.1892,33.1892,2,0
TSLW.US,D,20241001,000000,32.6536,32.6536,32.6536,32.6536,106,0
TSLW.US,D,20241002,000000,30.91,31.0069,30.91,31.0069,288,0
TSLW.US,D,20241003,000000,29.33,29.4329,29.33,29.4329,203,0
TSLW.US,D,20241004,000000,31.06,31.1617,30.87,31.1617,1061,0
TSLW.US,D,20241007,000000,29.4555,29.4555,29.4555,29.4555,109,0
TSLW.US,D,20241008,000000,30.1122,30.1122,30.1122,30.1122,21,0
TSLW.US,D,20241009,000000,29.5222,29.5222,29.5222,29.5222,56,0
TSLW.US,D,20241010,000000,29.0701,29.0701,29.0701,29.0701,29,0
TSLW.US,D,20241011,000000,25.18,25.71,25.13,25.13,2496,0
TSLW.US,D,20241014,000000,25.38,25.38,25.3262,25.3262,361,0
TSLW.US,D,20241015,000000,25.385,25.385,25.385,25.385,62,0
TSLW.US,D,20241016,000000,25.6803,25.6803,25.6803,25.6803,76,0
TSLW.US,D,20241017,000000,25.62,25.66,25.62,25.63,439,0
TSLW.US,D,20241018,000000,25.604,25.604,25.604,25.604,20,0
TSLW.US,D,20241021,000000,25.2584,25.2584,25.21,25.2273,1306,0
TSLW.US,D,20241022,000000,24.84,25.095,24.79,25.095,1193,0
TSLW.US,D,20241023,000000,24.57,24.57,24.26,24.3684,681,0
TSLW.US,D,20241024,000000,30.24,32.4351,30.24,32.4351,956,0
TSLW.US,D,20241025,000000,33.65,33.9591,33.2104,33.9591,1311,0
TSLW.US,D,20241028,000000,32.7875,32.7875,32.7875,32.7875,270,0
TSLW.US,D,20241029,000000,32.98,33.18,32.03,32.03,352,0
TSLW.US,D,20241030,000000,31.7642,31.7642,31.7642,31.7642,155,0
TSLW.US,D,20241031,000000,30.3321,30.3321,30.3321,30.3321,82,0
TSLW.US,D,20241104,000000,29.0133,29.0133,29.0133,29.0133,273,0
TSLW.US,D,20241105,000000,30.26,30.61,30.26,30.5079,608,0
TSLW.US,D,20241106,000000,37.27,37.27,37.2319,37.2319,483,0
TSLW.US,D,20241107,000000,37.059,38.88,37.059,38.88,496,0
TSLW.US,D,20241108,000000,40.119,43.92,40.119,43.28,542,0
TSLW.US,D,20241111,000000,48.39,49.17,48.39,49.17,835,0
TSLW.US,D,20241112,000000,44.98,44.98,44.73,44.73,586,0
TSLW.US,D,20241113,000000,46.4312,47.69,44.8,45.06,1973,0
TSLW.US,D,20241114,000000,44.27,44.73,41.16,41.16,2625,0
TSLW.US,D,20241115,000000,42,43.0767,42,43.0767,360,0
TSLW.US,D,20241118,000000,47.03,47.67,46.57,46.695,2275,0
TSLW.US,D,20241119,000000,48.0629,48.14,47.9,48.14,2554,0
TSLW.US,D,20241120,000000,47.27,47.37,45.87,47.3591,4513,0
TSLW.US,D,20241121,000000,47.7,48,46.57,46.9138,3060,0
TSLW.US,D,20241122,000000,47.571,50.13,47.571,49.4245,1261,0
TSLW.US,D,20241125,000000,48.65,48.65,46.6382,46.6382,289,0
TSLW.US,D,20241126,000000,46.875,46.875,46.441,46.441,440,0
TSLW.US,D,20241127,000000,44.97,45.349,44.97,45.2693,4593,0
TSLW.US,D,20241129,000000,46.53,47.767,46.53,47.767,399,0
TSLW.US,D,20241202,000000,49.5,50.62,49.32,50.4,1352,0
TSLW.US,D,20241203,000000,49.75,49.75,48.63,49.1406,1895,0
TSLW.US,D,20241204,000000,49.45,50.3552,49.45,50.3552,3345,0
TSLW.US,D,20241205,000000,52.8,53.219,52.8,52.93,1228,0
TSLW.US,D,20241206,000000,54.35,57.05,53.27,57.05,1878,0
TSLW.US,D,20241209,000000,60,60,55.3072,57.16,2794,0
TSLW.US,D,20241210,000000,60.12,60.12,59.565,59.61,1130,0
TSLW.US,D,20241211,000000,62.18,64.76,62.18,64.76,620,0
TSLW.US,D,20241212,000000,64.29,64.29,63.27,63.27,627,0
TSLW.US,D,20241213,000000,63.87,67.34,63.87,67.34,645,0
TSLW.US,D,20241216,000000,68.42,73.57,68.42,73.57,3708,0
TSLW.US,D,20241217,000000,73.87,77.36,73.4416,77.36,4058,0
TSLW.US,D,20241218,000000,74.05,76.73,66.52,68.22,5183,0
TSLW.US,D,20241219,000000,70.91,70.91,63.78,67.07,2960,0
TSLW.US,D,20241220,000000,64.51,69.57,63.8951,63.8951,5039,0
TSLW.US,D,20241223,000000,65.79,66.58,64.31,65.92,1271,0
