<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSMU.US,D,20241114,000000,23.59,24.08,23.48,23.48,3078,0
TSMU.US,D,20241115,000000,22.9,22.9,22.77,22.8419,863,0
TSMU.US,D,20241118,000000,22.52,23.22,22.34,23.1811,1567,0
TSMU.US,D,20241119,000000,23.32,23.809,23.32,23.7222,5583,0
TSMU.US,D,20241120,000000,23.4,23.42,22.47,23.3285,4875,0
TSMU.US,D,20241121,000000,23.78,24.289,23.27,24.0382,12341,0
TSMU.US,D,20241122,000000,24.53,24.53,23.7177,23.7297,4329,0
TSMU.US,D,20241125,000000,22.961,23,22.199,22.4662,9920,0
TSMU.US,D,20241126,000000,22.221,22.43,21.861,22.171,4147,0
TSMU.US,D,20241127,000000,21.3,21.5468,21.03,21.5373,8066,0
TSMU.US,D,20241129,000000,21.8,22.73,21.8,22.31,4127,0
TSMU.US,D,20241202,000000,24.2,24.8,24.111,24.7168,11281,0
TSMU.US,D,20241203,000000,24.79,25.85,24.33,25.82,154579,0
TSMU.US,D,20241204,000000,26,26.6292,24.84,26.28,133779,0
TSMU.US,D,20241205,000000,26.57,27.55,26.57,27.1372,35012,0
TSMU.US,D,20241206,000000,26.5,26.761,26.02,26.761,28488,0
TSMU.US,D,20241209,000000,25.85,26.78,25.7506,25.7506,18420,0
TSMU.US,D,20241210,000000,25.54,25.55,23.56,23.8791,18458,0
TSMU.US,D,20241211,000000,24.67,24.8,24.24,24.5883,15997,0
TSMU.US,D,20241212,000000,24.59,24.7,23.8812,23.8812,11538,0
TSMU.US,D,20241213,000000,25.62,26.3,25.4,26.1219,106672,0
TSMU.US,D,20241216,000000,26.87,27.3242,26.15,26.56,28833,0
TSMU.US,D,20241217,000000,26.2,26.374,25.29,26.12,23512,0
TSMU.US,D,20241218,000000,26.58,27.24,24.33,24.79,34396,0
TSMU.US,D,20241219,000000,25.45,25.45,24.38,24.55,17775,0
TSMU.US,D,20241220,000000,23.94,25.3499,23.94,25.15,12764,0
TSMU.US,D,20241223,000000,26.09,27.849,26.09,27.76,29440,0
TSMU.US,D,20241224,000000,27.4,27.571,27.1,27.37,16938,0
TSMU.US,D,20241226,000000,27.26,27.73,26.5,26.5059,17776,0
TSMU.US,D,20241227,000000,26.41,26.41,25.4589,26.0517,14282,0
TSMU.US,D,20241230,000000,25.5,26.05,25.338663,25.7699,3700,0
TSMU.US,D,20241231,000000,25.595,25.65,25,25.0699,18061,0
TSMU.US,D,20250102,000000,25.02,26.4,25.02,25.9938,10585,0
TSMU.US,D,20250103,000000,26.64,27.85,26.64,27.84,28017,0
TSMU.US,D,20250106,000000,30.5,31.268,29.9,30.89,53841,0
TSMU.US,D,20250107,000000,31.15,31.15,28.415,28.4907,29914,0
TSMU.US,D,20250108,000000,27.88,27.88,27.07,27.2597,33199,0
TSMU.US,D,20250110,000000,27.3,27.91,26.38,27.5784,99725,0
TSMU.US,D,20250113,000000,25.31,26.17,25.31,25.63,60392,0
TSMU.US,D,20250114,000000,26.73,26.8196,25.06,25.87,45403,0
TSMU.US,D,20250115,000000,25.88,27.1135,25.17,27.0267,93833,0
TSMU.US,D,20250116,000000,30.21,30.85,29.06,29.15,130993,0
TSMU.US,D,20250117,000000,29.18,29.2,28.02,28.11,38365,0
TSMU.US,D,20250121,000000,28.93,30.39,28.44,30.11,38576,0
TSMU.US,D,20250122,000000,31.03,31.83,30.45,31.28,30537,0
TSMU.US,D,20250123,000000,30.51,31.68,30.35,31.68,33337,0
TSMU.US,D,20250124,000000,32.08,32.08,30.5902,30.8157,22246,0
TSMU.US,D,20250127,000000,24.06,25.96,21.3862,22.69,220763,0
TSMU.US,D,20250128,000000,23.5,25.02,22.7,25.02,94903,0
TSMU.US,D,20250129,000000,25.52,25.927,24.38,25.02,52962,0
TSMU.US,D,20250130,000000,25.93,26.82,25.93,26.36,31962,0
TSMU.US,D,20250131,000000,26.86,28.0596,26.37,26.58,45082,0
TSMU.US,D,20250203,000000,24.13,25.3572,23.85,24.28,52374,0
TSMU.US,D,20250204,000000,25.17,25.63,24.85,25.3,73476,0
TSMU.US,D,20250205,000000,25.44,26.82,25.44,26.39,74151,0
TSMU.US,D,20250206,000000,26.83,26.96,25.99,26.85,43843,0
TSMU.US,D,20250207,000000,27.49,27.49,25.66,25.72,35109,0
TSMU.US,D,20250210,000000,26.18,26.584,25.8365,26.07,45100,0
TSMU.US,D,20250211,000000,25.49,26.573,25.42,26.4635,30878,0
TSMU.US,D,20250212,000000,25,25.8295,25,25.78,45408,0
TSMU.US,D,20250213,000000,24.66,24.68,23.9504,24.6,133966,0
