<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXUE.US,D,20250124,000000,25.43,25.55,25.405,25.405,539132,0
TXUE.US,D,20250127,000000,25.4,25.4,25.295,25.3435,183952,0
TXUE.US,D,20250128,000000,25.35,25.35,25.2752,25.335,304534,0
TXUE.US,D,20250129,000000,25.33,25.33,25.31,25.3191,11866,0
TXUE.US,D,20250130,000000,25.52,25.66,25.5,25.56,88808,0
TXUE.US,D,20250131,000000,25.4013,25.49,25.2807,25.2807,5335,0
TXUE.US,D,20250203,000000,25.08,25.08,24.77,24.95,17958,0
TXUE.US,D,20250204,000000,25.28,25.28,25.21,25.2318,6881,0
TXUE.US,D,20250205,000000,25.3948,25.3948,25.3404,25.375,449,0
TXUE.US,D,20250206,000000,25.295,25.3499,25.295,25.335,1316,0
TXUE.US,D,20250207,000000,25.419,25.419,25.275,25.275,6199,0
TXUE.US,D,20250210,000000,25.35,25.35,25.2701,25.31,1837,0
TXUE.US,D,20250211,000000,25.28,25.41,25.28,25.37,15927,0
TXUE.US,D,20250212,000000,25.29,25.5099,25.29,25.505,11203,0
TXUE.US,D,20250213,000000,25.66,25.7799,25.66,25.762,7548,0
