<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UFG.US,D,20250114,000000,4.59,4.6,3.82,4,1964611,0
UFG.US,D,20250115,000000,4.04,4.75,4,4.23,412586,0
UFG.US,D,20250116,000000,4.23,4.4899,4.1,4.2,39468,0
UFG.US,D,20250117,000000,4.2,4.4099,4.2,4.25,12149,0
UFG.US,D,20250121,000000,4.25,4.595,4.25,4.46,91906,0
UFG.US,D,20250122,000000,4.5681,4.5681,4.2,4.29,97134,0
UFG.US,D,20250123,000000,4.49,4.75,4.21,4.675,692685,0
UFG.US,D,20250124,000000,4.53,4.74,4.08,4.74,1020214,0
UFG.US,D,20250127,000000,4.68,4.7,4.5,4.66,30811,0
UFG.US,D,20250128,000000,4.51,4.66,4.5,4.51,18873,0
UFG.US,D,20250129,000000,4.66,5.1,4.48,4.56,134254,0
UFG.US,D,20250130,000000,4.74,4.85,4.55,4.85,70856,0
UFG.US,D,20250131,000000,4.88,4.88,4.6539,4.7,7218,0
UFG.US,D,20250203,000000,4.73,4.96,4.73,4.8,13189,0
UFG.US,D,20250204,000000,4.82,5,4.2001,4.4,516295,0
UFG.US,D,20250205,000000,4.61,4.74,4.21,4.22,322947,0
UFG.US,D,20250206,000000,4.375,4.74,4.3568,4.7,163723,0
UFG.US,D,20250207,000000,4.55,4.57,4.42,4.42,5448,0
UFG.US,D,20250210,000000,4.56,4.65,4.32,4.36,303561,0
UFG.US,D,20250211,000000,4.62,4.63,4.33,4.55,113356,0
UFG.US,D,20250212,000000,4.54,4.55,4.32,4.36,309728,0
UFG.US,D,20250213,000000,4.5,4.5,4.2515,4.2515,8217,0
