<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UPC.US,D,20210323,000000,473.4,514.71,390.6,427.5,22841.111168214,0
UPC.US,D,20210324,000000,405,426.6,375.3,375.3,1969.922227147,0
UPC.US,D,20210325,000000,378,378,337.5,364.5,1328.8333366554,0
UPC.US,D,20210326,000000,369,400.5,364.5,365.4,1341.9111144659,0
UPC.US,D,20210329,000000,945,1079.1,464.4,504.9,545048.41247373,0
UPC.US,D,20210330,000000,446.4,446.4,369.9,393.3,24931.055617883,0
UPC.US,D,20210331,000000,387,387.9,355.5,360.9,10936.611138452,0
UPC.US,D,20210401,000000,480.6,649.8,456.3,472.5,843918.93544316,0
UPC.US,D,20210405,000000,497.124,508.5,471.6,508.5,23554.077836663,0
UPC.US,D,20210406,000000,501.3,504,459,466.2,13074.944477131,0
UPC.US,D,20210407,000000,460.8,493.2,414,459,12722.555587362,0
UPC.US,D,20210408,000000,432,445.5,423,431.1,2984.5111185724,0
UPC.US,D,20210409,000000,415.8,432,410.4,417.6,3237.122230315,0
UPC.US,D,20210412,000000,409.5,410.4,368.1,379.8,3895.7222319615,0
UPC.US,D,20210413,000000,371.7,374.391,360.9,368.1,2838.322229318,0
UPC.US,D,20210414,000000,363.6,375.3,348.3,352.8,3274.1555637409,0
UPC.US,D,20210415,000000,353.7,354.6,315,325.8,4110.8222324993,0
UPC.US,D,20210416,000000,321.3,355.05,321.3,348.3,3109.2333411064,0
UPC.US,D,20210419,000000,351.9,353.7,315.45,319.5,2774.3777847137,0
UPC.US,D,20210420,000000,318.6,328.5,306,309.6,3053.9333409682,0
UPC.US,D,20210421,000000,306,326.7,306,324,2484.9444506568,0
UPC.US,D,20210422,000000,319.5,326.7,311.121,319.5,2237.7333389277,0
UPC.US,D,20210423,000000,315.9,326.7,311.4,315,1881.4000047035,0
UPC.US,D,20210426,000000,319.5,336.6,315,335.7,2160.1444498448,0
UPC.US,D,20210427,000000,332.1,334.8,318.6,324,2156.2777831685,0
UPC.US,D,20210428,000000,322.2,350.1,322.2,337.5,2742.6222290788,0
UPC.US,D,20210429,000000,339.3,345.6,324,333.9,2244.6555611672,0
UPC.US,D,20210430,000000,324.9,335.7,324.9,331.2,991.62222470128,0
UPC.US,D,20210503,000000,329.4,329.4,308.277,316.8,2513.7444507288,0
UPC.US,D,20210504,000000,313.2,316.809,307.8,314.1,1542.7888927459,0
UPC.US,D,20210505,000000,310.5,313.245,306,308.7,1136.9444472868,0
UPC.US,D,20210506,000000,306,306.405,278.1,287.1,1844.4111157221,0
UPC.US,D,20210507,000000,283.5,297,280.8,287.1,1400.1555590559,0
UPC.US,D,20210510,000000,282.6,292.5,271.8,275.4,749.54444631831,0
UPC.US,D,20210511,000000,279,301.95,272.7,297,2134.6444497811,0
UPC.US,D,20210512,000000,299.7,313.2,289.8,290.7,1858.4111157571,0
UPC.US,D,20210513,000000,288.9,306,270.9,278.1,2841.6555626597,0
UPC.US,D,20210514,000000,271.8,294.3,271.35,291.6,2496.6666729083,0
UPC.US,D,20210517,000000,290.7,296.01,282.6,287.1,1067.3444471128,0
UPC.US,D,20210518,000000,282.6,297.9,279.9,287.1,2588.477784249,0
UPC.US,D,20210519,000000,280.8,288.9,280.386,288.9,432.75555663744,0
UPC.US,D,20210520,000000,282.6,297,282.6,297,626.38889045486,0
UPC.US,D,20210521,000000,295.2,300.6,289.8,294.3,489.76666789108,0
UPC.US,D,20210524,000000,288.9,300.6,288.9,296.1,349.45555642919,0
UPC.US,D,20210525,000000,292.5,296.1,283.5,289.8,829.11111318389,0
UPC.US,D,20210526,000000,310.5,310.5,288,297,1301.4666699203,0
UPC.US,D,20210527,000000,293.4,305.1,289.8,297,1117.9888916839,0
UPC.US,D,20210528,000000,295.2,298.791,283.5,288.9,787.07777974547,0
UPC.US,D,20210601,000000,287.1,290.7,281.7,288,670.38889056486,0
UPC.US,D,20210602,000000,285.768,289.8,279,283.5,861.44444659806,0
UPC.US,D,20210603,000000,282.6,282.6,268.2,279,1469.8333370079,0
UPC.US,D,20210604,000000,276.3,278.1,258.3,268.2,2346.6111169776,0
UPC.US,D,20210607,000000,270,285.3,270,276.3,1537.9888927339,0
UPC.US,D,20210608,000000,277.2,279.9,270,279,620.98889044136,0
UPC.US,D,20210609,000000,283.5,283.5,268.2,270.9,1760.2888932896,0
UPC.US,D,20210610,000000,272.7,273.591,262.8,265.5,1259.9777809277,0
UPC.US,D,20210611,000000,266.4,270.9,261.9,267.3,560.76666806858,0
UPC.US,D,20210614,000000,266.4,279.9,266.4,278.1,1037.3555581489,0
UPC.US,D,20210615,000000,276.381,305.604,275.4,291.6,4035.9333434232,0
UPC.US,D,20210616,000000,289.8,289.8,276.3,279,1319.9000032997,0
UPC.US,D,20210617,000000,280.8,285.885,271.8,273.6,751.65555743469,0
UPC.US,D,20210618,000000,273.6,274.5,267.3,270.9,610.21111263664,0
UPC.US,D,20210621,000000,267.3,271.845,266.4,267.3,424.01111217114,0
UPC.US,D,20210622,000000,270.9,274.5,264.6,272.331,627.82222379178,0
UPC.US,D,20210623,000000,273.6,278.991,268.236,273.15,546.78889025586,0
UPC.US,D,20210624,000000,278.1,286.2,271.8,272.7,1447.8555591752,0
UPC.US,D,20210625,000000,272.7,278.1,270.909,274.5,676.91111280339,0
UPC.US,D,20210628,000000,274.5,275.949,262.8,263.7,11903.277807536,0
UPC.US,D,20210629,000000,291.6,340.2,283.5,333,22200.200055501,0
UPC.US,D,20210630,000000,315.9,320.481,279,285.3,5141.7889017434,0
UPC.US,D,20210701,000000,288.9,296.091,281.7,284.4,1445.922225837,0
UPC.US,D,20210702,000000,287.1,299.7,279.9,284.4,2977.9555630004,0
UPC.US,D,20210706,000000,281.7,288,269.1,270,2766.3000069158,0
UPC.US,D,20210707,000000,272.7,287.1,261,263.7,1717.2111154041,0
UPC.US,D,20210708,000000,272.7,272.7,258.3,264.6,2175.7666721061,0
UPC.US,D,20210709,000000,264.6,268.2,258.372,265.5,891.13333556117,0
UPC.US,D,20210712,000000,273.6,274.014,261,263.7,720.68889069061,0
UPC.US,D,20210713,000000,265.5,269.1,253.8,258.3,750.2000018755,0
UPC.US,D,20210714,000000,259.2,259.2,245.7,247.5,781.25555750869,0
UPC.US,D,20210715,000000,253.053,262.836,241.2,245.7,654.67777941447,0
UPC.US,D,20210716,000000,249.3,249.3,243,245.7,417.55555659944,0
UPC.US,D,20210719,000000,237.6,243,226.8,234,814.25555759119,0
UPC.US,D,20210720,000000,232.2,240.3,227.52,238.5,1153.200002883,0
UPC.US,D,20210721,000000,239.4,241.2,235.8,238.5,257.73333397767,0
UPC.US,D,20210722,000000,235.8,369.9,234,344.7,144421.03369438,0
UPC.US,D,20210723,000000,405,450,252,273.6,135175.85589349,0
UPC.US,D,20210726,000000,248.4,257.4,238.5,251.1,9470.8778014548,0
UPC.US,D,20210727,000000,242.1,243.9,221.4,231.3,4375.1555664934,0
UPC.US,D,20210728,000000,225,234,208.8,216,6668.3222388928,0
UPC.US,D,20210729,000000,220.5,223.2,212.4,218.7,3613.0222312548,0
UPC.US,D,20210730,000000,212.4,219.528,210.6,213.3,2073.7666718511,0
