<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VCIC.US,D,20241029,000000,9.96,9.96,9.96,9.96,585091,0
VCIC.US,D,20241030,000000,9.9718,9.9718,9.9718,9.9718,116,0
VCIC.US,D,20241104,000000,9.98,9.99,9.98,9.99,25100,0
VCIC.US,D,20241106,000000,9.99,10,9.98,9.98,196732,0
VCIC.US,D,20241107,000000,9.99,9.99,9.975,9.98,278927,0
VCIC.US,D,20241108,000000,9.99,9.99,9.98,9.99,56229,0
VCIC.US,D,20241111,000000,9.99,9.99,9.99,9.99,601214,0
VCIC.US,D,20241112,000000,9.99,10,9.99,10,1601,0
VCIC.US,D,20241113,000000,9.99,10,9.985,10,114081,0
VCIC.US,D,20241114,000000,9.99,9.99,9.988,9.99,28315,0
VCIC.US,D,20241115,000000,9.99,9.99,9.99,9.99,10456,0
VCIC.US,D,20241118,000000,9.99,10,9.98,9.98,15455,0
VCIC.US,D,20241119,000000,9.99,9.99,9.98,9.98,315389,0
VCIC.US,D,20241120,000000,9.99,9.99,9.98,9.98,37340,0
VCIC.US,D,20241121,000000,9.99,9.99,9.99,9.99,200,0
VCIC.US,D,20241126,000000,10,10.0152,10,10,402073,0
VCIC.US,D,20241127,000000,10,10,10,10,150620,0
VCIC.US,D,20241129,000000,10.01,10.01,9.99,10,32594,0
VCIC.US,D,20241202,000000,9.9958,9.9958,9.9958,9.9958,17774,0
VCIC.US,D,20241203,000000,10,10,10,10,375727,0
VCIC.US,D,20241204,000000,10,10,10,10,86340,0
VCIC.US,D,20241205,000000,10.0012,10.0012,10.0012,10.0012,513,0
VCIC.US,D,20241206,000000,10.0102,10.0102,10.0102,10.0102,100,0
VCIC.US,D,20241209,000000,10.009,10.01,10.009,10.01,31292,0
VCIC.US,D,20241210,000000,10,10,10,10,195,0
VCIC.US,D,20241211,000000,10.01,10.03,10.01,10.03,66700,0
VCIC.US,D,20241212,000000,10.02,10.03,10.02,10.03,12249,0
VCIC.US,D,20241216,000000,10.03,10.03,10.01,10.01,270,0
VCIC.US,D,20241217,000000,10.03,10.03,10.01,10.01,315277,0
VCIC.US,D,20241218,000000,10.02,10.03,10.01,10.01,288782,0
VCIC.US,D,20241219,000000,10.02,10.02,10.02,10.02,30310,0
VCIC.US,D,20241220,000000,10.02,10.02,10.02,10.02,88220,0
VCIC.US,D,20241223,000000,10.01,10.01,10.01,10.01,170086,0
VCIC.US,D,20241224,000000,10.03,10.03,10.03,10.03,223,0
VCIC.US,D,20241227,000000,10.03,10.03,10.03,10.03,233,0
VCIC.US,D,20241230,000000,10.03,10.03,10.03,10.03,148,0
VCIC.US,D,20241231,000000,10.03,10.05,10.025,10.05,3206,0
VCIC.US,D,20250102,000000,10.02,10.03,10.02,10.03,51971,0
VCIC.US,D,20250103,000000,10.02,10.03,10.02,10.03,59153,0
VCIC.US,D,20250106,000000,10.04,10.04,10.04,10.04,1760,0
VCIC.US,D,20250108,000000,10.04,10.04,10.04,10.04,55000,0
VCIC.US,D,20250110,000000,10.041,10.07,10.04,10.07,50602,0
VCIC.US,D,20250113,000000,10.04,10.07,10.04,10.07,30396,0
VCIC.US,D,20250115,000000,10.07,10.07,10.06,10.06,1097,0
VCIC.US,D,20250116,000000,10.05,10.05,10.05,10.05,980,0
VCIC.US,D,20250117,000000,10.05,10.07,10.05,10.05,52032,0
VCIC.US,D,20250121,000000,10.05,10.07,10.05,10.07,1140,0
VCIC.US,D,20250122,000000,10.05,10.07,10.05,10.07,460,0
VCIC.US,D,20250124,000000,10.07,10.09,10.05,10.07,13905,0
VCIC.US,D,20250127,000000,10.09,10.09,10.06,10.06,7297,0
VCIC.US,D,20250129,000000,10.07,10.0801,10.05,10.05,57568,0
VCIC.US,D,20250131,000000,10.09,10.09,10.0649,10.0699,7271,0
VCIC.US,D,20250203,000000,10.06,10.0716,10.06,10.0716,1119,0
VCIC.US,D,20250205,000000,10.07,10.0783,10.07,10.0783,622,0
VCIC.US,D,20250207,000000,10.0775,10.0866,10.07,10.0866,414,0
VCIC.US,D,20250211,000000,10.1,10.1,10.1,10.1,1110,0
VCIC.US,D,20250212,000000,10.11,10.12,10.1,10.11,141186,0
VCIC.US,D,20250213,000000,10.11,10.11,10.11,10.11,15219,0
