<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VCICW.US,D,20241029,000000,0.1,0.1001,0.1,0.1,30100,0
VCICW.US,D,20241030,000000,0.1,0.1,0.1,0.1,39100,0
VCICW.US,D,20241031,000000,0.1,0.1,0.1,0.1,30900,0
VCICW.US,D,20241101,000000,0.13,0.13,0.1,0.1,300,0
VCICW.US,D,20241104,000000,0.1,0.1,0.1,0.1,6202,0
VCICW.US,D,20241105,000000,0.1,0.1,0.095,0.1,486167,0
VCICW.US,D,20241106,000000,0.15,0.15,0.1017,0.12,3939,0
VCICW.US,D,20241107,000000,0.119811,0.12,0.1011,0.1199,533,0
VCICW.US,D,20241108,000000,0.12,0.12,0.1199,0.1199,1183,0
VCICW.US,D,20241113,000000,0.1101,0.12,0.11,0.12,24039,0
VCICW.US,D,20241114,000000,0.11,0.11,0.11,0.11,240214,0
VCICW.US,D,20241125,000000,0.11,0.119999,0.11,0.119999,222531,0
VCICW.US,D,20241126,000000,0.118,0.12,0.1101,0.12,61465,0
VCICW.US,D,20241127,000000,0.118,0.121178,0.11,0.121178,2666,0
VCICW.US,D,20241129,000000,0.1282,0.13,0.1201,0.1201,1246,0
VCICW.US,D,20241202,000000,0.13,0.13,0.12,0.12,148019,0
VCICW.US,D,20241203,000000,0.13,0.13,0.1201,0.13,49330,0
VCICW.US,D,20241205,000000,0.13,0.13,0.13,0.13,198140,0
VCICW.US,D,20241211,000000,0.13,0.15,0.13,0.136,2329,0
VCICW.US,D,20241213,000000,0.1963,0.1963,0.135,0.14,214306,0
VCICW.US,D,20241216,000000,0.15071,0.15071,0.14,0.1463,25646,0
VCICW.US,D,20241218,000000,0.14,0.14,0.14,0.14,100,0
VCICW.US,D,20241219,000000,0.14,0.1577,0.14,0.1577,373,0
VCICW.US,D,20241220,000000,0.156,0.16,0.156,0.16,997,0
VCICW.US,D,20241223,000000,0.16,0.16,0.16,0.16,655,0
VCICW.US,D,20241224,000000,0.157408,0.157408,0.157408,0.157408,300,0
VCICW.US,D,20241231,000000,0.16,0.16,0.16,0.16,166,0
VCICW.US,D,20250107,000000,0.15,0.15,0.15,0.15,202,0
VCICW.US,D,20250108,000000,0.15,0.1501,0.142,0.15,65583,0
VCICW.US,D,20250110,000000,0.172,0.1721,0.172,0.172,404,0
VCICW.US,D,20250113,000000,0.165,0.165,0.165,0.165,15017,0
VCICW.US,D,20250117,000000,0.17,0.17,0.17,0.17,144,0
VCICW.US,D,20250124,000000,0.18,0.18,0.17999,0.17999,558,0
VCICW.US,D,20250127,000000,0.161,0.161,0.1401,0.15,12725,0
VCICW.US,D,20250128,000000,0.1434,0.1434,0.12,0.14,2429,0
VCICW.US,D,20250204,000000,0.1532,0.176,0.15,0.16,17310,0
VCICW.US,D,20250207,000000,0.1607,0.169,0.152,0.1618,429165,0
VCICW.US,D,20250210,000000,0.165,0.17,0.16,0.165,86508,0
VCICW.US,D,20250211,000000,0.17,0.185,0.17,0.18,362076,0
VCICW.US,D,20250212,000000,0.18,0.1922,0.18,0.19,36204,0
