<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VCIG.US,D,20230413,000000,230.913,239.415,190.19,190.19,34216.421007173,0
VCIG.US,D,20230414,000000,179.002,180.389,109.862,114.561,21093.64590499,0
VCIG.US,D,20230417,000000,116.351,116.351,93.9761,98.0034,3523.9427638383,0
VCIG.US,D,20230418,000000,94.8709,94.8709,84.131,85.0258,2928.7978182505,0
VCIG.US,D,20230419,000000,89.501,93.5283,82.7884,88.6057,1974.5949751031,0
VCIG.US,D,20230420,000000,93.5283,115.456,83.2358,91.2909,10441.103328811,0
VCIG.US,D,20230421,000000,122.616,129.553,79.6559,88.1584,49477.454268535,0
VCIG.US,D,20230424,000000,89.0536,89.0536,70.2582,73.8381,4387.7554404667,0
VCIG.US,D,20230425,000000,68.4682,88.6057,68.4682,85.0258,4764.9584097725,0
VCIG.US,D,20230426,000000,78.7606,112.771,78.7606,106.059,9594.3631088505,0
VCIG.US,D,20230427,000000,97.5561,109.638,97.5561,107.401,3167.1194810258,0
VCIG.US,D,20230428,000000,107.401,112.319,93.9761,109.191,1936.7406012877,0
VCIG.US,D,20230501,000000,105.611,129.329,105.611,117.694,1510.5772228735,0
VCIG.US,D,20230502,000000,117.694,1083.17,117.694,761.205,68664.303409849,0
VCIG.US,D,20230503,000000,337.866,351.739,217.935,237.177,17372.811235788,0
VCIG.US,D,20230504,000000,223.752,226.437,161.572,166.472,8042.1550132391,0
VCIG.US,D,20230505,000000,185.267,218.382,161.102,175.422,19825.03276693,0
VCIG.US,D,20230508,000000,185.267,291.773,174.527,187.952,105403.7608895,0
VCIG.US,D,20230509,000000,193.77,193.77,157.074,166.472,8043.1158975803,0
VCIG.US,D,20230510,000000,162.444,176.764,140.516,145.439,5209.4679752601,0
VCIG.US,D,20230511,000000,147.677,262.238,139.174,157.522,97578.899814266,0
VCIG.US,D,20230512,000000,147.677,163.339,127.539,133.804,7899.5419000809,0
VCIG.US,D,20230515,000000,136.489,159.312,127.986,139.174,10084.749315096,0
VCIG.US,D,20230516,000000,129.329,140.069,125.306,130.671,5908.1873143748,0
VCIG.US,D,20230517,000000,128.434,133.356,125.301,130.224,3318.0006687481,0
VCIG.US,D,20230518,000000,127.539,131.119,115.009,121.721,4360.8506789119,0
VCIG.US,D,20230519,000000,123.064,128.434,116.351,124.854,4954.5431249141,0
VCIG.US,D,20230522,000000,121.18,125.749,116.351,122.169,1728.3851222707,0
VCIG.US,D,20230523,000000,120.379,126.644,116.351,124.406,2353.2951362895,0
VCIG.US,D,20230524,000000,120.379,125.99,116.351,119.484,1732.2286596356,0
VCIG.US,D,20230525,000000,115.904,131.275,115.009,118.589,1920.472605929,0
VCIG.US,D,20230526,000000,117.694,119.931,109.638,110.534,1372.1651854398,0
VCIG.US,D,20230530,000000,110.534,123.064,107.401,116.351,1547.6047892325,0
VCIG.US,D,20230531,000000,116.799,126.196,111.876,123.064,2768.9781715399,0
VCIG.US,D,20230601,000000,152.151,153.047,106.063,120.826,29822.45333771,0
VCIG.US,D,20230602,000000,115.456,122.844,111.876,117.246,3345.4417378422,0
VCIG.US,D,20230605,000000,124.406,124.406,114.114,116.351,1881.7243862148,0
VCIG.US,D,20230606,000000,114.561,120.804,111.876,119.931,2508.2433228515,0
VCIG.US,D,20230607,000000,115.528,119.931,108.318,115.904,1120.0112573802,0
VCIG.US,D,20230608,000000,119.931,130.671,114.579,127.539,8393.6152206586,0
VCIG.US,D,20230609,000000,120.826,125.749,116.799,118.589,2075.7336385556,0
VCIG.US,D,20230612,000000,114.561,125.717,114.114,122.169,2228.1567104534,0
VCIG.US,D,20230613,000000,118.141,118.589,112.771,116.32,1765.3903424822,0
VCIG.US,D,20230614,000000,119.036,119.036,107.849,109.191,1149.5081720415,0
VCIG.US,D,20230615,000000,104.269,115.438,104.269,107.401,1435.2707058972,0
VCIG.US,D,20230616,000000,132.909,143.197,110.086,126.644,214312.96193273,0
VCIG.US,D,20230620,000000,170.052,506.577,159.759,324.441,2640913.9869616,0
VCIG.US,D,20230621,000000,254.183,272.083,208.09,221.962,95214.453950388,0
VCIG.US,D,20230622,000000,213.907,350.843,213.907,299.381,582538.74637671,0
VCIG.US,D,20230623,000000,299.381,304.303,253.735,272.083,64302.022577499,0
VCIG.US,D,20230626,000000,284.613,346.816,265.37,299.381,130743.15246778,0
VCIG.US,D,20230627,000000,289.983,297.143,225.99,251.945,20992.015626294,0
VCIG.US,D,20230628,000000,249.26,274.32,238.072,254.63,10607.716204353,0
VCIG.US,D,20230629,000000,259.105,272.978,236.73,252.84,8918.6826477782,0
VCIG.US,D,20230630,000000,271.95,271.95,250.39,258.72,4224.08157774,0
VCIG.US,D,20230703,000000,250.39,253.82,234.71,253.33,2762.469351843,0
VCIG.US,D,20230705,000000,245.98,250.39,224.425,228.34,3863.183623248,0
VCIG.US,D,20230706,000000,222.95,226.38,212.322,217.07,3759.693828675,0
VCIG.US,D,20230707,000000,216.58,228.472,213.15,222.95,4044.795865785,0
VCIG.US,D,20230710,000000,219.52,232.995,208.25,212.17,5269.816258023,0
VCIG.US,D,20230711,000000,208.74,214.375,196,197.96,6562.306037139,0
VCIG.US,D,20230712,000000,196,205.026,177.38,184.73,6703.020321024,0
VCIG.US,D,20230713,000000,177.87,186.2,175.42,181.3,2788.673433135,0
VCIG.US,D,20230714,000000,177.87,180.526,154.35,158.76,5132.591770011,0
VCIG.US,D,20230717,000000,174.93,185.215,165.13,173.46,4287.408107529,0
VCIG.US,D,20230718,000000,170.52,178.85,166.071,169.54,2878.591799313,0
VCIG.US,D,20230719,000000,166.11,174.925,159.789,166.11,2894.857105224,0
VCIG.US,D,20230720,000000,163.17,180.805,163.17,174.44,3068.122409094,0
VCIG.US,D,20230721,000000,176.89,188.16,167.585,186.2,3338.734650474,0
VCIG.US,D,20230724,000000,191.1,195.505,171.01,176.4,4586.204022012,0
VCIG.US,D,20230725,000000,172.97,173.46,158.76,159.25,2439.877519302,0
VCIG.US,D,20230726,000000,156.31,173.95,156.31,171.5,1723.040793927,0
VCIG.US,D,20230727,000000,168.07,177.493,158.76,163.17,1872.163240968,0
VCIG.US,D,20230728,000000,160.23,168.07,157.78,160.23,1513.26528645,0
VCIG.US,D,20230731,000000,156.8,167.09,156.8,166.11,1023.285700983,0
VCIG.US,D,20230801,000000,160.72,170.03,157.78,164.885,2759.79588249,0
VCIG.US,D,20230802,000000,160.23,166.6,150.43,150.43,1888.999975443,0
VCIG.US,D,20230803,000000,147.49,157.78,147.49,155.82,1719.59181438,0
VCIG.US,D,20230804,000000,153.37,159.74,144.06,144.55,2084.448952494,0
VCIG.US,D,20230807,000000,141.61,151.41,135.24,145.53,1249.142840904,0
VCIG.US,D,20230808,000000,142.59,142.59,134.755,137.2,982.836721917,0
