<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VCNX.US,D,20180809,000000,2520,2520,2223.9,2389.8,3278.5666669945,0
VCNX.US,D,20180810,000000,2230.2,2415,2158.8,2415,646.62380958847,0
VCNX.US,D,20180813,000000,2415,2423.4,2290.82,2387.7,609.05238101329,0
VCNX.US,D,20180814,000000,2461.2,2461.2,2352.01,2415,240.97142859553,0
VCNX.US,D,20180815,000000,2415,2444.4,2356.2,2444.4,211.0000000211,0
VCNX.US,D,20180816,000000,2454.9,2454.9,2354.1,2412.9,199.74285716283,0
VCNX.US,D,20180817,000000,2412.9,2442.3,2343.7,2415,223.5952381176,0
VCNX.US,D,20180820,000000,2436,2436,2312.1,2377.2,81.738095246269,0
VCNX.US,D,20180821,000000,2341.5,2410.8,2272.2,2312.1,235.64285716642,0
VCNX.US,D,20180822,000000,2328.9,2377.2,2307.9,2310,93.133333342647,0
VCNX.US,D,20180823,000000,2339.4,2351.97,2268.21,2299.5,101.26190477203,0
VCNX.US,D,20180824,000000,2307.9,2352,2142,2179.8,93.290476199805,0
VCNX.US,D,20180827,000000,2146.2,2219.7,2100,2179.8,83.971428579826,0
VCNX.US,D,20180828,000000,2163,2347.8,1900.5,1934.1,387.72857146734,0
VCNX.US,D,20180829,000000,1950.9,2202.9,1928.32,2133.6,328.12857146138,0
VCNX.US,D,20180830,000000,2163,2259.19,2081.1,2117.01,313.79047622186,0
VCNX.US,D,20180831,000000,2058,2303.15,2058,2097.9,107.50000001075,0
VCNX.US,D,20180904,000000,2110.5,2252.71,2110.5,2173.5,290.83809526718,0
VCNX.US,D,20180905,000000,2152.5,2268,2066.4,2100,116.65238096405,0
VCNX.US,D,20180906,000000,2131.5,2137.8,2066.4,2093.7,52.861904767191,0
VCNX.US,D,20180907,000000,2089.5,2100.85,1986.6,2064.3,103.39523810558,0
VCNX.US,D,20180910,000000,2030.71,2137.8,1854.31,2110.5,50.01904762405,0
VCNX.US,D,20180911,000000,2127.55,2127.55,1953,2110.5,25.447619050164,0
VCNX.US,D,20180912,000000,2108.4,2126.46,1963.5,1967.7,35.176190479708,0
VCNX.US,D,20180913,000000,2047.5,2047.5,1890,2004.45,79.40000000794,0
VCNX.US,D,20180914,000000,1995,2058,1869,1890,47.21904762377,0
VCNX.US,D,20180917,000000,1902.6,2022.68,1797.6,1845.9,65.78095238753,0
VCNX.US,D,20180918,000000,1810.2,2110.5,1797.6,2110.5,59.766666672643,0
VCNX.US,D,20180919,000000,2076.9,2076.9,1833.3,1837.5,44.795238099718,0
VCNX.US,D,20180920,000000,1974,1974,1852.2,1869,51.88095238614,0
VCNX.US,D,20180921,000000,1989.5,1989.5,1717.8,1717.8,405.53333337389,0
VCNX.US,D,20180924,000000,1705.2,1785,1581.3,1612.8,92.847619056904,0
VCNX.US,D,20180925,000000,1602.3,1623.3,1417.5,1528.8,164.83809525458,0
VCNX.US,D,20180926,000000,1516.2,1637.97,1438.5,1480.5,84.738095246569,0
VCNX.US,D,20180927,000000,1461.6,1575,1399.27,1459.5,78.238095245919,0
VCNX.US,D,20180928,000000,1459.5,1575,1430.1,1530.9,17.704761906532,0
VCNX.US,D,20181001,000000,1472.1,1551.06,1419.6,1453.2,43.623809528172,0
