<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VERO.US,D,20171012,000000,1923.6,2688.6,1923.6,2231.85,12527.533395971,0
VERO.US,D,20171013,000000,2234.1,2293.65,2067.6,2159.85,1309.933339883,0
VERO.US,D,20171016,000000,2166.6,2198.1,1925.85,2013.6,1021.933338443,0
VERO.US,D,20171017,000000,2004.6,2018.1,1952.85,1973.1,552.200002761,0
VERO.US,D,20171018,000000,1964.1,1985.25,1570.35,1577.1,981.066671572,0
VERO.US,D,20171019,000000,1586.1,1608.45,1466.92,1487.17,1994.066676637,0
VERO.US,D,20171020,000000,1514.1,1748.1,1514.1,1565.85,1116.466672249,0
VERO.US,D,20171023,000000,1574.85,1673.85,1574.85,1622.1,546.866669401,0
VERO.US,D,20171024,000000,1628.85,1718.85,1605.45,1682.85,415.266668743,0
VERO.US,D,20171025,000000,1716.6,1716.6,1620.15,1644.6,269.33333468,0
VERO.US,D,20171026,000000,1788.6,1788.6,1626.6,1673.85,256.800001284,0
VERO.US,D,20171027,000000,1687.35,1687.35,1577.1,1619.85,328.466668309,0
VERO.US,D,20171030,000000,1621.05,1624.35,1487.17,1487.17,255.666667945,0
VERO.US,D,20171031,000000,1545.6,1630.95,1489.42,1615.35,312.00000156,0
VERO.US,D,20171101,000000,1592.85,1641.45,1559.1,1599.6,168.133334174,0
VERO.US,D,20171102,000000,1574.85,1608.6,1518.9,1550.1,291.000001455,0
VERO.US,D,20171103,000000,1534.35,1592.85,1484.92,1556.85,169.933334183,0
VERO.US,D,20171106,000000,1532.1,1532.1,1462.42,1462.42,250.400001252,0
VERO.US,D,20171107,000000,1457.92,1484.92,1430.92,1457.92,122.066667277,0
VERO.US,D,20171108,000000,1453.42,1453.42,1406.17,1428.67,147.600000738,0
VERO.US,D,20171109,000000,1412.92,1424.4,1206.16,1295.94,321.666668275,0
VERO.US,D,20171110,000000,1295.94,1659.45,1290.31,1617.6,541.400002707,0
VERO.US,D,20171113,000000,1617.6,1617.6,1440.15,1462.42,185.466667594,0
VERO.US,D,20171114,000000,1475.92,1480.42,1417.42,1471.42,101.933333843,0
VERO.US,D,20171115,000000,1448.92,1462.42,1417.42,1419.67,140.533334036,0
VERO.US,D,20171116,000000,1388.17,1462.42,1318.44,1372.42,176.600000883,0
VERO.US,D,20171117,000000,1349.94,1366.12,1329.69,1349.94,112.066667227,0
VERO.US,D,20171120,000000,1327.44,1437.67,1322.94,1322.94,204.066667687,0
VERO.US,D,20171121,000000,1390.42,1390.42,1306.06,1327.44,135.800000679,0
VERO.US,D,20171122,000000,1334.19,1349.94,1295.94,1349.94,121.000000605,0
VERO.US,D,20171124,000000,1349.94,1349.94,1313.94,1349.94,120.400000602,0
VERO.US,D,20171127,000000,1313.94,1394.92,1313.94,1374.67,219.600001098,0
VERO.US,D,20171128,000000,1354.42,1385.92,1318.44,1385.92,238.333334525,0
VERO.US,D,20171129,000000,1349.94,1383.67,1304.94,1325.19,199.600000998,0
VERO.US,D,20171130,000000,1349.94,1394.92,1320.7,1361.17,165.933334163,0
VERO.US,D,20171201,000000,1363.42,1401.67,1325.19,1390.42,234.266667838,0
VERO.US,D,20171204,000000,1406.17,1423.05,1356.67,1372.42,100.200000501,0
VERO.US,D,20171205,000000,1358.92,1484.92,1358.92,1419.67,218.266667758,0
VERO.US,D,20171206,000000,1419.67,1442.17,1340.94,1349.94,149.733334082,0
VERO.US,D,20171207,000000,1361.17,1418.94,1255.44,1255.44,218.00000109,0
VERO.US,D,20171208,000000,1268.94,1318.44,1190.19,1246.44,337.066668352,0
VERO.US,D,20171211,000000,1300.44,1300.44,1212.69,1237.44,249.466667914,0
VERO.US,D,20171212,000000,1221.69,1290.31,1221.69,1226.19,205.533334361,0
VERO.US,D,20171213,000000,1259.94,1325.19,1219.44,1241.94,351.800001759,0
VERO.US,D,20171214,000000,1302.69,1302.69,1199.19,1214.94,247.733334572,0
VERO.US,D,20171215,000000,1262.19,1262.19,1073.19,1082.19,954.533338106,0
VERO.US,D,20171218,000000,1136.19,1196.71,1088.94,1115.94,364.400001822,0
VERO.US,D,20171219,000000,1104.69,1104.69,1056.03,1064.19,281.200001406,0
VERO.US,D,20171220,000000,1070.94,1088.94,1021.45,1028.2,210.533334386,0
VERO.US,D,20171221,000000,1079.94,1079.94,1021.45,1041.7,226.133334464,0
VERO.US,D,20171222,000000,1028.2,1055.19,965.115,987.705,227.933334473,0
VERO.US,D,20171226,000000,974.205,974.205,890.955,917.955,442.933335548,0
VERO.US,D,20171227,000000,911.205,1001.2,911.205,989.955,512.266669228,0
VERO.US,D,20171228,000000,989.955,1043.95,980.955,1005.7,341.466668374,0
VERO.US,D,20171229,000000,1026.76,1102.44,1010.2,1034.95,414.00000207,0
VERO.US,D,20180102,000000,1041.99,1124.94,1041.99,1111.44,228.866667811,0
VERO.US,D,20180103,000000,1120.44,1176.69,1068.69,1102.44,436.066668847,0
VERO.US,D,20180104,000000,1095.69,1181.19,1093.44,1160.94,739.666670365,0
VERO.US,D,20180105,000000,1154.19,1214.94,1129.44,1149.69,471.466669024,0
VERO.US,D,20180108,000000,1158.69,1159,1075.44,1082.19,296.933334818,0
VERO.US,D,20180109,000000,1091.19,1091.19,983.205,1016.95,223.33333445,0
VERO.US,D,20180110,000000,1019.2,1068.69,980.955,992.205,94.733333807,0
VERO.US,D,20180111,000000,1001.2,1052.94,978.705,992.205,174.933334208,0
VERO.US,D,20180112,000000,989.955,1039.45,969.705,987.705,250.66666792,0
VERO.US,D,20180116,000000,1019.2,1019.2,911.205,915.705,436.866668851,0
VERO.US,D,20180117,000000,911.205,1030.45,884.205,1016.95,971.666671525,0
VERO.US,D,20180118,000000,1007.95,1014.7,911.205,926.955,718.466670259,0
VERO.US,D,20180119,000000,926.955,969.705,854.955,926.955,821.200004106,0
VERO.US,D,20180122,000000,933.705,953.955,902.205,947.205,208.66666771,0
VERO.US,D,20180123,000000,953.955,965.205,904.455,911.205,218.800001094,0
VERO.US,D,20180124,000000,913.455,953.925,913.455,947.205,136.466667349,0
VERO.US,D,20180125,000000,942.705,987.705,942.705,958.455,78.733333727,0
VERO.US,D,20180126,000000,978.705,1111.44,926.955,1086.69,729.400003647,0
VERO.US,D,20180129,000000,1077.69,1214.94,1001.2,1194.69,1827.400009137,0
VERO.US,D,20180130,000000,1183.44,1338.69,1145.19,1187.94,1809.000009045,0
VERO.US,D,20180131,000000,1199.19,1199.19,1124.94,1145.19,252.00000126,0
VERO.US,D,20180201,000000,1138.44,1158.69,1066.44,1140.69,244.00000122,0
VERO.US,D,20180202,000000,1145.19,1201.44,1120.44,1178.94,148.133334074,0
VERO.US,D,20180205,000000,1181.19,1230.69,1181.19,1205.94,194.066667637,0
VERO.US,D,20180206,000000,1199.19,1228.39,1082.19,1086.69,145.200000726,0
VERO.US,D,20180207,000000,1084.44,1084.44,947.205,967.455,156.533334116,0
VERO.US,D,20180208,000000,1124.94,1124.94,980.97,1043.95,213.400001067,0
VERO.US,D,20180209,000000,1043.95,1048.45,978.705,998.955,224.133334454,0
VERO.US,D,20180212,000000,992.205,1001.2,970.35,994.455,53.066666932,0
VERO.US,D,20180213,000000,994.455,1030.45,947.205,1012.45,272.400001362,0
