<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VMAR.US,D,20201124,000000,1489.05,2322,1444.5,1949.4,30726.6740587111,0
VMAR.US,D,20201125,000000,1956.15,2146.5,1741.5,1918.35,9929.503698738941,0
VMAR.US,D,20201127,000000,1927.8,2057.19,1822.5,1906.2,3271.696294660415,0
VMAR.US,D,20201130,000000,1906.2,1967.63,1755,1775.25,4721.59259023174,0
VMAR.US,D,20201201,000000,1784.7,1822.5,1509.3,1726.65,9481.02962488908,0
VMAR.US,D,20201202,000000,1647,1664.55,1540.35,1555.2,4881.992590151563,0
VMAR.US,D,20201203,000000,1607.85,1810.35,1580.85,1767.15,4708.518516164259,0
VMAR.US,D,20201204,000000,1779.3,2038.5,1676.7,2012.85,7231.540737125015,0
VMAR.US,D,20201207,000000,1971,2047.95,1795.5,1811.7,4754.548145770897,0
VMAR.US,D,20201208,000000,1845.45,1888.65,1675.35,1741.5,5285.725923283052,0
VMAR.US,D,20201209,000000,1768.5,1976.4,1688.85,1788.75,8184.251847759749,0
VMAR.US,D,20201210,000000,1732.05,1811.7,1714.5,1792.8,2690.577776432533,0
VMAR.US,D,20201211,000000,1755,1822.5,1687.5,1688.85,2648.9555542310445,0
VMAR.US,D,20201214,000000,1748.25,1748.28,1572.75,1621.35,3079.614813275052,0
VMAR.US,D,20201215,000000,1626.75,1659.15,1512,1605.15,2525.392591329941,0
VMAR.US,D,20201216,000000,1580.85,1640.25,1557.4,1607.85,1194.4666660694222,0
VMAR.US,D,20201217,000000,1647,2052,1630.4,1745.55,16952.414806338697,0
VMAR.US,D,20201218,000000,1769.85,1867.01,1714.5,1757.7,3444.6222204999335,0
VMAR.US,D,20201221,000000,1849.5,2253.15,1840.05,2141.1,17321.16295430217,0
VMAR.US,D,20201222,000000,2263.01,2416.5,2043.41,2114.1,11227.718512904503,0
VMAR.US,D,20201223,000000,2092.5,2200.5,1979.1,2031.75,3552.192590816474,0
VMAR.US,D,20201224,000000,2087.1,2087.1,1842.75,1906.2,3442.1333316123114,0
VMAR.US,D,20201228,000000,1930.5,1941.3,1809,1888.65,2181.9333322424,0
VMAR.US,D,20201229,000000,1842.75,1875.15,1710.45,1784.7,3262.155553924511,0
VMAR.US,D,20201230,000000,1779.3,1929.15,1757.7,1875.15,1947.1851842115927,0
VMAR.US,D,20201231,000000,1827.9,1867.05,1786.05,1815.75,1010.5111106058555,0
VMAR.US,D,20210104,000000,1823.85,1875.15,1741.5,1845.45,1391.2296289339924,0
VMAR.US,D,20210105,000000,1829.25,1962.9,1804.95,1931.85,2282.637035895696,0
VMAR.US,D,20210106,000000,1987.2,2159.11,1892.7,1903.5,5115.274071516393,0
VMAR.US,D,20210107,000000,1952.1,2010.15,1933.2,1961.55,1320.125925265874,0
VMAR.US,D,20210108,000000,1960.2,1991.25,1776.6,1800.9,2878.9259244865184,0
VMAR.US,D,20210111,000000,1836,1971,1815.75,1898.1,3814.392590685385,0
VMAR.US,D,20210112,000000,1881.9,1890,1804.96,1853.55,1755.792591714652,0
VMAR.US,D,20210113,000000,1858.95,1964.25,1822.5,1922.4,1849.5999990751775,0
VMAR.US,D,20210114,000000,1956.15,2282.85,1947.06,2134.35,5175.992590004563,0
VMAR.US,D,20210115,000000,2160,2180.25,1919.7,1939.95,3437.725924207052,0
VMAR.US,D,20210119,000000,1957.5,2119.5,1903.55,2079,3608.511109306822,0
VMAR.US,D,20210120,000000,2037.15,2079,1949.4,1996.65,1497.1703696218296,0
VMAR.US,D,20210121,000000,2027.7,2120.85,1991.25,2106,1919.8740731141258,0
VMAR.US,D,20210122,000000,2092.5,2227.5,2065.5,2111.4,3179.903702113763,0
VMAR.US,D,20210125,000000,2147.85,2158.65,1938.6,2049.3,2362.681480300096,0
VMAR.US,D,20210126,000000,2022.3,2137.05,1998,2083.05,1885.3481472054295,0
VMAR.US,D,20210127,000000,2022.3,2133,1903.5,2025,3381.822220531289,0
VMAR.US,D,20210128,000000,2043.9,2124.9,1939.95,2108.7,4917.251849393192,0
VMAR.US,D,20210129,000000,2068.2,2101.95,1950.75,2002.05,2262.711109979733,0
VMAR.US,D,20210201,000000,1999.35,2037.15,1930.5,1998,1228.9111104966444,0
VMAR.US,D,20210202,000000,1998,2004.81,1877.85,1895.4,1557.696295517415,0
VMAR.US,D,20210203,000000,1910.25,1993.95,1863,1945.35,1525.540739978015,0
VMAR.US,D,20210204,000000,1953.45,2001.62,1931.85,1954.8,687.0370366935185,0
VMAR.US,D,20210205,000000,1962.9,2043.9,1911.6,1977.75,876.5703699320852,0
VMAR.US,D,20210208,000000,2012.85,2361.13,1958.85,2188.35,5769.970367485363,0
VMAR.US,D,20210209,000000,2177.55,2214,2065.5,2182.95,2062.5703693390965,0
VMAR.US,D,20210210,000000,2226.15,2227.5,2010.15,2099.25,1243.6962956744148,0
