<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOLT.US,D,20241205,000000,25.61,25.61,25.161,25.1616,12502,0
VOLT.US,D,20241206,000000,25.68,25.68,25.0132,25.1296,65088,0
VOLT.US,D,20241209,000000,25.47,25.47,24.43,24.5352,23026,0
VOLT.US,D,20241210,000000,25.04,25.04,24.21,24.27,15876,0
VOLT.US,D,20241211,000000,24.82,24.82,24.4811,24.6794,8396,0
VOLT.US,D,20241212,000000,24.84,24.84,24.3642,24.3642,43933,0
VOLT.US,D,20241213,000000,24.56,24.56,24.23,24.2718,33826,0
VOLT.US,D,20241216,000000,24.65,24.65,24.186,24.5025,55346,0
VOLT.US,D,20241217,000000,24.96,27.46,23.94,24.1375,147497,0
VOLT.US,D,20241218,000000,24.5,24.5,23.0903,23.1986,118900,0
VOLT.US,D,20241219,000000,24.16,24.16,23.17,23.2474,88303,0
VOLT.US,D,20241220,000000,23.52,23.75,23,23.5141,118136,0
VOLT.US,D,20241223,000000,24.04,24.04,23.25,23.4175,53950,0
VOLT.US,D,20241224,000000,23.8,23.8,23.45,23.6725,7829,0
VOLT.US,D,20241226,000000,23.77,23.77,23.53,23.695,40417,0
VOLT.US,D,20241227,000000,23.53,23.63,23.16,23.39,13033,0
VOLT.US,D,20241230,000000,23.63,23.63,22.8899,23.19,62271,0
VOLT.US,D,20241231,000000,23.49,23.49,23.01,23.0729,38321,0
VOLT.US,D,20250102,000000,23.25,23.3628,22.9425,23.1094,76509,0
VOLT.US,D,20250103,000000,23.54,23.75,23.315,23.75,37639,0
VOLT.US,D,20250106,000000,24.23,24.26,24.0289,24.07,56508,0
VOLT.US,D,20250107,000000,24.45,24.45,23.58,23.77,298755,0
VOLT.US,D,20250108,000000,23.92,23.92,23.0956,23.5647,136066,0
VOLT.US,D,20250110,000000,23.56,23.56,22.8984,23.2,495104,0
VOLT.US,D,20250113,000000,23.2,23.2,22.74,23.0679,61750,0
VOLT.US,D,20250114,000000,23.7,23.7,23.33,23.55,78611,0
VOLT.US,D,20250115,000000,24.48,24.48,23.78,23.93,214014,0
VOLT.US,D,20250116,000000,24.92,26.79,23.8401,24.11,72543,0
VOLT.US,D,20250117,000000,24.47,24.756,24.14,24.34,91433,0
VOLT.US,D,20250121,000000,25.13,25.3,24.56,25.3,95958,0
VOLT.US,D,20250122,000000,25.88,25.89,25.4969,25.55,124695,0
VOLT.US,D,20250123,000000,25.75,25.75,25.2735,25.6,58557,0
VOLT.US,D,20250124,000000,25.65,25.65,25.3597,25.45,37925,0
VOLT.US,D,20250127,000000,23.99,23.99,22.4501,22.66,129138,0
VOLT.US,D,20250128,000000,23.41,23.53,22.3054,22.81,122914,0
VOLT.US,D,20250129,000000,23.21,23.21,22.81,22.94,137252,0
VOLT.US,D,20250130,000000,23.57,23.58,23.2694,23.46,71262,0
VOLT.US,D,20250131,000000,23.97,23.97,23.27,23.31,109596,0
VOLT.US,D,20250203,000000,22.99,23.69,22.45,22.86,43551,0
VOLT.US,D,20250204,000000,23.06,23.06,22.65,22.79,44470,0
VOLT.US,D,20250205,000000,22.84,23.45,22.84,23.18,23295,0
VOLT.US,D,20250206,000000,23.36,23.37,23.1199,23.34,27723,0
VOLT.US,D,20250207,000000,22.93,23.6,22.93,23.29,23167,0
VOLT.US,D,20250210,000000,23.29,23.5499,23.29,23.52,27748,0
VOLT.US,D,20250211,000000,23.54,23.54,23.11,23.18,39092,0
VOLT.US,D,20250212,000000,22.76,23.03,22.73,22.92,25767,0
VOLT.US,D,20250213,000000,23.43,23.43,22.79,23.0293,24953,0
